model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
dinov2_g,13,0.03219745883415424,0.0003911667180712328,0.04059439125298532,-0.008396932418831084,20,37.267294883728034
dinov2_g,14,0.032183611708360906,0.00035075119304170155,0.04059844665746667,-0.008414834949105762,20,37.318591833114624
dinov2_g,15,0.032129103712728715,0.0004457693641081066,0.04057178083075205,-0.00844267711802333,20,37.1080949306488
dinov2_g,16,0.03234246219885056,0.0004342254970139769,0.04060149294319457,-0.008259030744344005,20,37.710226774215705
dinov2_g,17,0.03270523751395322,0.00045560367933018077,0.0405941530328245,-0.007888915518871283,20,40.05812430381775
dinov2_g,18,0.03291478676195618,0.00037733112948500254,0.04062921239393515,-0.007714425631978973,20,39.89197897911072
dinov2_g,19,0.03171705337352012,0.0003515439515081512,0.0406026559112986,-0.008885602537778479,20,39.91537189483642
dinov2_g,20,0.03271572007439057,0.0005360654112973985,0.040620577599092135,-0.007904857524701575,20,39.61471509933472
dinov2_g,21,0.03258397676932863,0.00046188390704839387,0.04056050012782508,-0.007976523358496447,20,39.2411925792694
dinov2_g,22,0.03174141405283976,0.0004460582598134512,0.04060632830534965,-0.008864914252509891,20,39.536623954772956
dinov2_g,23,0.0321078897029658,0.0004455819302752581,0.04063922737853079,-0.008531337675564995,20,36.70242500305176
dinov2_g,24,0.03165107177026789,0.0004283664976320836,0.0406057469239763,-0.008954675153708416,20,37.349755525588996
dinov2_g,25,0.03259604274775507,0.0004285271616838317,0.04052737998662525,-0.007931337238870177,20,36.23088264465332
dinov2_g,26,0.03170495755174156,0.00048292138337000526,0.04061237943072081,-0.00890742187897925,20,35.843736171722405
dinov2_g,27,0.03244159421573722,0.000391233738689492,0.04058749207075789,-0.00814589785502067,20,37.51622200012207
dinov2_g,28,0.03174452169783591,0.00043339370129720717,0.04059306370129944,-0.008848542003463522,20,38.95450758934021
dinov2_g,29,0.032375843482373316,0.00039304390602686636,0.04065946090399185,-0.008283617421618532,20,39.905634641647346
dinov2_l,-1,0.029723104229456367,0.00011737536245415696,0.0432806957116269,-0.013557591482170528,20,92.83609127998352
dinov2_l,0,0.029771039037916863,0.00012126186535004693,0.043147827087162666,-0.013376788049245796,20,97.77174687385559
dinov2_l,1,0.029675494217351512,7.73485082298664e-05,0.043184138475125415,-0.013508644257773894,20,99.91231107711792
dinov2_l,2,0.029655875339371588,0.00011271865991470491,0.04318650685113504,-0.013530631511763444,20,104.93226599693298
dinov2_l,3,0.02967187807596325,0.0001021284373973816,0.0431808870939432,-0.013509009017979945,20,75.60471844673155
