model,transform,star,dec_seed,excessB_real,excessB_star,star_sd,depth,z,r_star,p_star,time_s
i21k_b,deradial,aniso_decoupled,7,-0.0138022938208128,2.9418788763996286e-05,0.0019048991161515615,-0.013831712609576797,-1.3611425023353394,0,0.09090909090909091,324.60972142219543
i21k_b,deradial,aniso_decoupled,8,-0.013016679253501875,0.001519649289391374,0.0026708459856369634,-0.014536328542893249,-1.5818148252310529,0,0.09090909090909091,342.5218210220337
i21k_b,deradial,aniso_decoupled,9,-0.013425027207544099,-0.00023761781114464697,0.003697010536453589,-0.013187409396399452,-1.5498694515659224,0,0.09090909090909091,351.2628469467163
i21k_l,l2norm,aniso,-1,-0.022354632182987763,-0.0006657938210045996,0.003910524044146859,-0.021688838361983164,-2.0027392275575018,0,0.09090909090909091,341.5748076438904
i21k_l,l2norm,aniso_haarhubs,-1,-0.022354632182987763,0.0031562299190799393,0.005329548704980613,-0.025510862102067704,-2.2340861950005957,0,0.09090909090909091,378.1017599105835
i21k_l,l2norm,aniso_decoupled,0,-0.012661588999014262,-0.0012767515136464195,0.0015602683291773985,-0.011384837485367841,-1.265287197863593,0,0.09090909090909091,396.10006308555603
i21k_l,l2norm,aniso_decoupled,1,-0.014479369566351347,-0.0004785060601893959,0.002692208716824196,-0.014000863506161951,-1.641061793132158,0,0.09090909090909091,351.833731174469
i21k_l,l2norm,aniso_decoupled,2,-0.015029048174454426,1.8300678471512565e-05,0.002680202808302313,-0.015047348852925939,-1.5306182634800691,0,0.09090909090909091,374.3282539844513
i21k_l,l2norm,aniso_decoupled,3,-0.010080141903769407,0.0005720459199409014,0.0030671326581428278,-0.010652187823710309,-1.2383464770756583,0,0.09090909090909091,382.2853660583496
i21k_l,l2norm,aniso_decoupled,4,-0.012192250075745648,-0.0005102603396402158,0.002344224942956738,-0.011681989736105432,-1.3163861965249561,0,0.09090909090909091,352.7602171897888
i21k_l,l2norm,aniso_decoupled,5,-0.00990715480714903,-0.001017690513961464,0.0028367288810129563,-0.008889464293187566,-0.915889548229238,0,0.09090909090909091,387.5912547111511
i21k_l,l2norm,aniso_decoupled,6,-0.015578892182660453,0.0004369860598091704,0.002151407546132444,-0.016015878242469625,-2.337159567048199,0,0.09090909090909091,389.4696373939514
i21k_l,l2norm,aniso_decoupled,7,-0.014679995977489133,-0.0005005058856759309,0.0025871709465196875,-0.014179490091813202,-1.7792087784134936,0,0.09090909090909091,336.02143359184265
i21k_l,l2norm,aniso_decoupled,8,-0.008928851218846845,-0.00033733746765813726,0.002160357892546288,-0.008591513751188707,-0.9693814819498741,0,0.09090909090909091,339.95968198776245
i21k_l,l2norm,aniso_decoupled,9,-0.011576634086134241,-0.0008395554698177751,0.002830947200431846,-0.010737078616316465,-1.1462480868150404,0,0.09090909090909091,354.0416512489319
i21k_l,deradial,aniso,-1,-0.03191141066931269,-0.0011273425273315818,0.004197400772346957,-0.03078406814198111,-3.990352665976461,0,0.09090909090909091,289.6537444591522
i21k_l,deradial,aniso_haarhubs,-1,-0.03191141066931269,-0.00018486690721513098,0.006453960847136501,-0.03172654376209756,-3.470941724052747,0,0.09090909090909091,296.96612644195557
i21k_l,deradial,aniso_decoupled,0,-0.015308580271807551,-0.0005059661749878569,0.0031518992876151293,-0.014802614096819693,-1.4168948331712536,0,0.09090909090909091,337.0076701641083
i21k_l,deradial,aniso_decoupled,1,-0.015393760243349916,-0.000829146450501056,0.004016343734518747,-0.01456461379284886,-1.4603640619475906,0,0.09090909090909091,374.0817697048187
i21k_l,deradial,aniso_decoupled,2,-0.015116099894483426,-0.0004252839563842023,0.0028309876523184684,-0.014690815938099223,-1.5693453880460289,0,0.09090909090909091,332.3121542930603
i21k_l,deradial,aniso_decoupled,3,-0.01417955709777291,-0.0005039603833507933,0.0028029420521831607,-0.013675596714422117,-1.4071711730319838,0,0.09090909090909091,281.36701226234436
i21k_l,deradial,aniso_decoupled,4,-0.013102974366951597,-0.00011719563795781623,0.00279212436362029,-0.012985778728993782,-1.3696865426374767,0,0.09090909090909091,292.13243651390076
i21k_l,deradial,aniso_decoupled,5,-0.013438859696080538,0.0006725893232209859,0.0027755662707471007,-0.014111449019301524,-1.4405104625047864,0,0.09090909090909091,281.7115776538849
i21k_l,deradial,aniso_decoupled,6,-0.01751497899857725,0.0005097302836844286,0.0024720617367610664,-0.01802470928226168,-1.891500574233071,0,0.09090909090909091,264.14794969558716
i21k_l,deradial,aniso_decoupled,7,-0.015928923450394816,-0.00037704648974627166,0.003908750447593426,-0.015551876960648544,-1.609262896405233,0,0.09090909090909091,290.56103229522705
i21k_l,deradial,aniso_decoupled,8,-0.01227748025331632,-0.0017006807685320826,0.0033688847408565726,-0.010576799484784237,-1.2500187996069172,0,0.09090909090909091,414.884290933609
i21k_l,deradial,aniso_decoupled,9,-0.014611806733340171,-0.001593315479913468,0.0032193382260313733,-0.013018491253426703,-1.2364596901135123,0,0.09090909090909091,383.76109743118286
