model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
i21k_b,mnist,0.13347234307490144,0.0,0.16324304178741555,0.02736165213925253,-0.02977069871251412,-1.0880446312598795,0.905,181,0.09950248756218906,0,69.48520874977112
i21k_l,mnist,0.12442113794682512,0.0,0.176808454853945,0.02596073472920949,-0.05238731690711988,-2.017944309109894,0.98,196,0.02487562189054726,0,72.58563899993895
dinov1_b,mnist,0.10843945881596892,0.0,0.1530374254383447,0.026699680392821744,-0.04459796662237578,-1.6703558232242368,0.965,193,0.03980099502487562,0,69.16511106491089
dinov2_s,mnist,0.14935831439413907,0.0,0.16905974509321975,0.02746619815946027,-0.019701430699080674,-0.7172973334241692,0.77,154,0.2338308457711443,0,66.18580412864685
dinov2_b,mnist,0.14131261088643954,0.0,0.16904780243525913,0.029296606808334263,-0.027735191548819562,-0.946703204581682,0.81,162,0.19402985074626866,0,65.88983416557312
dinov2_l,mnist,0.15036074346998407,0.0,0.17475047057294513,0.028048675018767486,-0.024389727102961056,-0.869550062048984,0.815,163,0.1890547263681592,0,67.26619267463684
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.17575414850917004,0.030247820091956125,-0.02848019552797093,-0.9415619188883214,0.81,162,0.19402985074626866,0,67.63762593269347
clip_b,mnist,0.13803716575248368,0.0,0.1529017017034228,0.026120083690560632,-0.014864535950939116,-0.5690845453267409,0.685,137,0.31840796019900497,0,65.15206408500671
clip_l,mnist,0.16480574915157226,0.0,0.1822801339431088,0.026777648720011975,-0.017474384791536512,-0.6525735315392805,0.72,144,0.2835820895522388,0,65.10775828361511
siglip_b,mnist,0.1132885938861466,0.0,0.1776082311626129,0.02576083957932564,-0.0643196372764663,-2.496798952472264,1.0,200,0.0049751243781094535,0,65.02119970321654
