model,dataset,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
i21k_t,mnist,cosine_geodesic,haar,p999,0.13651908518733372,0.0,0.16275458261727344,0.024590259997384727,-0.02623549742993972,-1.0669060608846743,0.835,167,0.1691542288557214,58.623496532440186
i21k_s,mnist,cosine_geodesic,haar,p999,0.13388426477664447,0.0,0.17004603168620902,0.028274183628517052,-0.03616176690956455,-1.2789676754129926,0.915,183,0.08955223880597014,58.103614807128906
i21k_b,mnist,cosine_geodesic,haar,p999,0.13798511568504962,2.7755575615628914e-17,0.1479496534870702,0.02160161929059015,-0.009964537802020584,-0.4612866131920592,0.65,130,0.35323383084577115,58.46380972862244
i21k_l,mnist,cosine_geodesic,haar,p999,0.12586348539871434,2.7755575615628914e-17,0.16837542179393075,0.024855342496566697,-0.042511936395216415,-1.7103741942436983,0.98,196,0.024875621890547265,59.83669686317444
dinov1_b,mnist,cosine_geodesic,haar,p999,0.10686137688822758,1.3877787807814457e-17,0.14500636047202886,0.022712500781204025,-0.03814498358380128,-1.6794708760282606,0.965,193,0.03980099502487562,59.19318628311157
dinov2_s,mnist,cosine_geodesic,haar,p999,0.15567375115147228,0.0,0.1595679051529247,0.023615924660869876,-0.0038941540014524323,-0.16489525849075917,0.565,113,0.43781094527363185,56.36730146408081
dinov2_b,mnist,cosine_geodesic,haar,p999,0.14369389965732296,0.0,0.1627131844109348,0.027255362327838213,-0.019019284753611837,-0.6978180852942039,0.735,147,0.26865671641791045,59.56122612953186
dinov2_l,mnist,cosine_geodesic,haar,p999,0.14959090517905,2.7755575615628914e-17,0.16916623793456964,0.027160459654167312,-0.019575332755519648,-0.7207290673564188,0.725,145,0.27860696517412936,59.00894331932068
dinov2_g,mnist,cosine_geodesic,haar,p999,0.15098116969235015,0.0,0.1738775586399891,0.02795016827694213,-0.022896388947638957,-0.8191860857785119,0.785,157,0.21890547263681592,60.884790897369385
clip_b,mnist,cosine_geodesic,haar,p999,0.14058328680495552,2.7755575615628914e-17,0.13843017580644024,0.021218118139763265,0.002153110998515284,0.10147511595197985,0.465,93,0.5373134328358209,59.21895956993103
clip_l,mnist,cosine_geodesic,haar,p999,0.16594388783636366,0.0,0.17352074656651711,0.02138719064936723,-0.007576858730153457,-0.3542708742991277,0.62,124,0.38308457711442784,62.172829151153564
siglip_b,mnist,cosine_geodesic,haar,p999,0.11703023499135819,0.0,0.16090545150312546,0.023545094556004925,-0.043875216511767276,-1.863454674493009,0.985,197,0.01990049751243781,61.31312870979309
