model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
dinov2_b,fashionmnist,haar,p999,10,768,0.08306454514354546,0.0,0.14483432519123593,0.02287502473689818,-0.06176978004769047,-2.700315333344919,1.0,200,0.004975124378109453,68.2295286655426
dinov2_l,fashionmnist,haar,p999,10,1024,0.10601734515806413,0.0,0.14116521578033323,0.01957222188171436,-0.035147870622269095,-1.7958038098426894,0.985,197,0.01990049751243781,69.66511869430542
dinov2_g,fashionmnist,haar,p999,10,1536,0.10173915569675245,1.3877787807814457e-17,0.1472436119578592,0.022555760550536454,-0.04550445626110676,-2.0174206123155756,0.995,199,0.009950248756218905,71.74018502235413
clip_b,fashionmnist,haar,p999,10,512,0.13816459551684931,0.0,0.17313741241416278,0.027445651324415298,-0.03497281689731346,-1.2742571303528183,0.905,181,0.09950248756218906,69.79670476913452
clip_l,fashionmnist,haar,p999,10,768,0.11607822501778646,1.3877787807814457e-17,0.15284402585387377,0.024240424819217173,-0.03676580083608731,-1.5167143773379892,0.94,188,0.06467661691542288,69.43812608718872
siglip_b,fashionmnist,haar,p999,10,768,0.11203997664263372,0.0,0.15401994206033626,0.020961061701837518,-0.04197996541770253,-2.0027594982949948,0.99,198,0.014925373134328358,70.90216326713562
i21k_t,mnist,haar,p999,10,192,0.13427752465995457,0.0,0.1600228967362098,0.02543129649905667,-0.02574537207625524,-1.0123499632513906,0.84,168,0.16417910447761194,68.9076919555664
i21k_s,mnist,haar,p999,10,384,0.12767443878048385,0.0,0.1643914992831338,0.028183016685053405,-0.036717060502649945,-1.3028080319777298,0.905,181,0.09950248756218906,69.92064023017883
i21k_b,mnist,haar,p999,10,768,0.13347234307490144,0.0,0.14648734847933564,0.02217468248261354,-0.013015005404434205,-0.5869308575055744,0.71,142,0.2935323383084577,70.50080728530884
i21k_l,mnist,haar,p999,10,1024,0.12442113794682512,0.0,0.16401967264136574,0.025052931494552552,-0.039598534694540624,-1.5805948578572864,0.965,193,0.03980099502487562,69.94118928909302
dinov1_b,mnist,haar,p999,10,768,0.10843945881596892,0.0,0.1419463941404372,0.022661960308604182,-0.03350693532446827,-1.4785541439566692,0.94,188,0.06467661691542288,69.9525637626648
dinov2_s,mnist,haar,p999,10,384,0.14935831439413907,0.0,0.15359260209683637,0.02324792623785376,-0.0042342877026972925,-0.18213614665564254,0.56,112,0.4427860696517413,67.24709105491638
dinov2_b,mnist,haar,p999,10,768,0.14131261088643957,0.0,0.1585954282560053,0.02723479178245203,-0.017282817369565745,-0.634585992344595,0.735,147,0.26865671641791045,64.66993713378906
dinov2_l,mnist,haar,p999,10,1024,0.15036074346998407,0.0,0.16415567971288642,0.0269046511778451,-0.013794936242902345,-0.5127342537063599,0.66,132,0.34328358208955223,65.40296959877014
dinov2_g,mnist,haar,p999,10,1536,0.1472739529811991,2.7755575615628914e-17,0.1690582383310641,0.027686854390123507,-0.021784285349864985,-0.7868096910870418,0.79,158,0.21393034825870647,66.59836339950562
clip_b,mnist,haar,p999,10,512,0.13803716575248368,0.0,0.1387522176463637,0.021624528596355462,-0.0007150518938800199,-0.03306670435352439,0.52,104,0.48258706467661694,64.2945282459259
clip_l,mnist,haar,p999,10,768,0.16480574915157226,0.0,0.17319857252452295,0.02101773017911249,-0.008392823372950692,-0.39932111133920234,0.63,126,0.373134328358209,65.03343343734741
siglip_b,mnist,haar,p999,10,768,0.11328859388614661,0.0,0.15733861881246775,0.023355206565173252,-0.04405002492632114,-1.886090144542225,0.99,198,0.014925373134328358,65.59198021888733
