cloud,frame,seed,dec_seed,depth,z,star_sd,time_s,built
synthetic_flat_vitl_spectrum,balanced,1,8,8.221742769680147e-05,0.015424002740230256,0.002457773471634045,162.93463683128357,balanced
synthetic_flat_vitl_spectrum,balanced,1,9,-0.002077831199247461,-0.4426774332968963,0.0025559120994954666,129.60671997070312,balanced
synthetic_flat_vitl_spectrum,balanced,2,-1,-0.003817698031798969,-1.0782889662691428,0.0023862530373003838,307.86797738075256,balanced
synthetic_flat_vitl_spectrum,balanced,2,0,-0.0057089664445110575,-1.1127261372259338,0.0022174243153429032,352.2090108394623,balanced
synthetic_flat_vitl_spectrum,balanced,2,1,-0.0061447488130055745,-1.18540739850757,0.002450452420985051,359.4511649608612,balanced
synthetic_flat_vitl_spectrum,balanced,2,2,-0.006024886484908591,-0.9431043494404648,0.0032367753645926854,358.04176473617554,balanced
synthetic_flat_vitl_spectrum,balanced,2,3,-0.004686930816052466,-0.8081282408129891,0.0036104132393360547,346.404753446579,balanced
synthetic_flat_vitl_spectrum,balanced,2,4,-0.006018741462349939,-1.52003423592007,0.0023369691174809585,343.269180059433,balanced
synthetic_flat_vitl_spectrum,balanced,2,5,-0.00297561360663495,-0.575493284049635,0.00304776874543442,358.16073775291443,balanced
synthetic_flat_vitl_spectrum,balanced,2,6,-0.0058322193505176345,-1.0133656465775178,0.002942564387665607,263.34834337234497,balanced
synthetic_flat_vitl_spectrum,balanced,2,7,-0.005836605190077024,-0.9335468680187964,0.003147521805520767,153.2171566486359,balanced
synthetic_flat_vitl_spectrum,balanced,2,8,-0.007152026242677395,-1.0786252716754103,0.0034838256905529532,166.38118243217468,balanced
synthetic_flat_vitl_spectrum,balanced,2,9,-0.006646742258382702,-1.2304219820266509,0.0038729304538225994,157.94334864616394,balanced
synthetic_flat_vitl_spectrum,balanced,3,-1,-0.0014104099913221009,-0.3064520528444453,0.001118182830766949,296.5622730255127,balanced
synthetic_flat_vitl_spectrum,balanced,3,0,-0.0004902415009733043,-0.09140105028754512,0.002806500865176975,345.5541634559632,balanced
synthetic_flat_vitl_spectrum,balanced,3,1,-0.0030705539459427496,-0.6759660686003318,0.0013661025135573792,353.2107126712799,balanced
synthetic_flat_vitl_spectrum,balanced,3,2,-0.00444831497149615,-0.9000688941754518,0.003110386345312845,355.64655232429504,balanced
synthetic_flat_vitl_spectrum,balanced,3,3,-0.0015357996484623836,-0.29756132245510736,0.002203983709246569,349.9767963886261,balanced
synthetic_flat_vitl_spectrum,balanced,3,4,-0.002746925816135916,-0.3894157228822873,0.0034459008869037627,343.4040188789368,balanced
synthetic_flat_vitl_spectrum,balanced,3,5,0.0022358976101644642,0.2566562156209352,0.0031758252341540284,354.7786474227905,balanced
synthetic_flat_vitl_spectrum,balanced,3,6,-0.003587581883023128,-0.5609323611846752,0.003909797440236489,272.0915322303772,balanced
synthetic_flat_vitl_spectrum,balanced,3,7,-0.0029263450618567228,-0.4667832491188293,0.00318631244180277,156.09397268295288,balanced
synthetic_flat_vitl_spectrum,balanced,3,8,-0.00044315889204643837,-0.08195942445621299,0.0025726956877857718,164.61960887908938,balanced
synthetic_flat_vitl_spectrum,balanced,3,9,-0.0023486892355670565,-0.41979833730487504,0.003445182874335439,162.48780703544614,balanced
synthetic_flat_vitl_spectrum,balanced,4,-1,-0.0026356151945839817,-0.5018059183982662,0.0013476162086069052,326.9133450984955,balanced
synthetic_flat_vitl_spectrum,balanced,4,0,-0.004446386700679729,-0.9051647635768271,0.002628736943393489,364.8950054645538,balanced
synthetic_flat_vitl_spectrum,balanced,4,1,-0.0011810899957815071,-0.1777624233528554,0.004012682579221826,363.87923288345337,balanced
synthetic_flat_vitl_spectrum,balanced,4,2,-0.004534858042456439,-0.9120468422204334,0.0030928910868707076,378.05824041366577,balanced
synthetic_flat_vitl_spectrum,balanced,4,3,-0.0041618614463044224,-0.7726092823692766,0.003625305522445135,367.19585490226746,balanced
synthetic_flat_vitl_spectrum,balanced,4,4,-0.006049821451084157,-1.1190329140756472,0.003060521352051749,349.0962896347046,balanced
synthetic_flat_vitl_spectrum,balanced,4,5,-0.004662181131046777,-0.860780450605914,0.001957780381551405,357.9774765968323,balanced
synthetic_flat_vitl_spectrum,balanced,4,6,-0.004518853271289887,-0.8982086939755699,0.0026461243830384145,221.53894972801208,balanced
synthetic_flat_vitl_spectrum,balanced,4,7,-0.0022619996999368908,-0.43770370092993305,0.0019084519500540407,160.87977027893066,balanced
synthetic_flat_vitl_spectrum,balanced,4,8,-0.0047556681283923725,-0.9702624653531864,0.0026974982304561524,160.12061142921448,balanced
synthetic_flat_vitl_spectrum,balanced,4,9,-0.002953559783282063,-0.4775173544465813,0.0027315200046717693,122.33710050582886,balanced
synthetic_flat_vitl_spectrum,balanced,0,-1,-0.029472494425390364,-3.4285665739068265,0.0030109299109832423,138.36520338058472,wn30
synthetic_flat_vitl_spectrum,balanced,0,0,-0.014745931187352781,-1.5590639515673803,0.002219747104340623,181.29037165641785,wn30
