model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
i21k_t,rand6,0.75,2,depth,1000,192,29.854999542236328,-0.005658815742805773,0.00031517564046356077,0.007462353655997481,-0.005973991383269334,-0.4453692665739582,60.38173770904541,,,,,,,,
i21k_t,rand6,0.75,3,depth,1000,192,29.8549919128418,0.0044149902529499185,0.00031518438663543085,0.0074623635767577185,0.004099805866314489,0.2514570774383315,62.23160171508789,,,,,,,,
i21k_t,rand6,0.75,4,depth,1000,192,29.854995727539066,0.0021377198305862766,0.00031517899417602134,0.007462360591185883,0.0018225408364102552,0.12801032234769796,61.18599653244018,,,,,,,,
i21k_t,rand6,1.0,0,depth,1000,192,29.85499382019043,-0.01730281923668464,0.00031518328420569454,0.007462360092968055,-0.01761800252089034,-1.2225751700118663,60.03044033050537,,,,,,,,
i21k_t,rand6,1.0,1,depth,1000,192,29.85499382019043,-0.00650190037775944,0.0003151804509645306,0.0074623606940161765,-0.00681708082872397,-0.4011690582874444,61.00704002380371,,,,,,,,
i21k_t,rand6,1.0,2,depth,1000,192,29.854995727539066,-0.00815311253845688,0.0003151792973478201,0.007462359404802566,-0.0084682918358047,-0.5038634383155967,62.441907167434685,,,,,,,,
i21k_t,rand6,1.0,3,depth,1000,192,29.854995727539066,-0.012092631078058663,0.00031517701010060913,0.007462362048053766,-0.012407808088159273,-0.7473391721188924,60.81822848320007,,,,,,,,
i21k_t,rand6,1.0,4,depth,1000,192,29.854995727539066,-0.012054474313610869,0.0003151806573880811,0.007462357285366513,-0.01236965497099895,-0.7328873137325475,61.35637307167053,,,,,,,,
i21k_t,wn6,0.0,0,depth,1000,192,29.85499382019043,4.179297111450708e-05,0.00031518174918518106,0.0074623611989608875,-0.00027338877807067403,-0.021157690368167004,61.36674118041992,,,,,,,,
i21k_t,wn6,0.25,0,depth,1000,192,29.854995727539066,-0.0018866463581602155,0.00031517715842218074,0.0074623600672403,-0.002201823516582396,-0.21716995846625534,61.49143886566162,,,,,,,,
i21k_t,wn6,0.5,0,depth,1000,192,29.85499763488769,-0.010380679247110641,0.0003151770534818326,0.007462354575891649,-0.010695856300592476,-0.8519497552004573,60.3509418964386,,,,,,,,
i21k_t,wn6,0.75,0,depth,1000,192,29.85499763488769,-0.030223024178778837,0.0003151783177369444,0.0074623584538423965,-0.03053820249651578,-1.8774214422386084,61.336901903152466,,,,,,,,
i21k_t,wn6,1.0,0,depth,1000,192,29.85499382019043,-0.02771018970036021,0.000315181710706472,0.007462362402084161,-0.02802537141106668,-1.4020269846883215,61.716479063034065,,,,,,,,
i21k_t,rand6,0.0,0,census,1000,192,29.85499382019043,,,,,,343.71198177337646,0.08373195403108441,0.000447353973918708,0.09264951627111576,0.004904983972457921,-0.008917562240031346,191.0,0.04975124378109453,
i21k_t,rand6,0.25,0,census,1000,192,29.854999542236328,,,,,,327.17241072654724,0.08163057239164805,0.00030391821695510365,0.09562264128654448,0.0043667603661225116,-0.013992068894896431,199.0,0.009950248756218905,
i21k_t,rand6,0.5,0,census,1000,192,29.85499382019043,,,,,,324.01488137245184,0.08395112812878389,0.000402950436956201,0.09030480254524534,0.005189794571559079,-0.006353674416461452,172.0,0.14427860696517414,
i21k_t,rand6,0.75,0,census,1000,192,29.854995727539066,,,,,,333.5375812053681,0.08111269959683984,0.0003143543037754347,0.09109336450705334,0.005393804247995453,-0.009980664910213502,194.0,0.03482587064676617,
i21k_t,rand6,1.0,0,census,1000,192,29.85499382019043,,,,,,334.5729014873505,0.08064885126188898,0.00032881518989763753,0.09004729136426143,0.005596123099900887,-0.009398440102372452,190.0,0.05472636815920398,
i21k_t,tight06,real,0,depth,1000,192,29.854995727539062,-0.03620079975685736,-0.009124212001632387,0.005149069215044989,-0.027076587755224972,-1.9675880223626476,55.846479654312134,,,,,,,,0.5999999642372131
i21k_t,rand6_t06,0.0,0,depth,1000,192,29.85499382019043,-0.009581131853067443,-0.009212379748116619,0.005097597038372095,-0.00036875210495082404,-0.04562085971752442,58.46292686462402,,,,,,,,0.4397902190685272
i21k_t,rand6_t06,0.0,1,depth,1000,192,29.854995727539062,-0.01981772901459916,-0.009212383378448197,0.005097598998312968,-0.010605345636150964,-1.1579780566099607,58.547685623168945,,,,,,,,0.43068262934684753
i21k_t,rand6_t06,0.5,0,depth,1000,192,29.85499382019043,-0.060616900416448835,-0.009212382346651147,0.005097594462067183,-0.05140451806979769,-5.705465974920403,58.821351051330566,,,,,,,,0.4436171352863312
i21k_t,rand6_t06,0.5,1,depth,1000,192,29.854997634887695,-0.05488132799632478,-0.009199884720964873,0.0050875327872255145,-0.045681443275359904,-3.755799720255939,58.283851861953735,,,,,,,,0.4603084623813629
