model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s,delta_sup_exp19,excess_sup_exp19,nc_adv_pp,nc_R,nc_H
dinov2_g,10,random,2,0.019088704427317228,0.0,0.16245843728585566,0.028873168792829574,-0.14336973285853846,200,0.0049751243781094535,107.63529706001282,0.019088249404089454,-0.13119269732867347,0.20000000000000015,0.9940000000000001,0.996
dinov2_g,10,random,3,0.03730082905420394,6.938893903907227e-18,0.17222712319345634,0.02192354998781209,-0.1349262941392524,200,0.0049751243781094535,108.44181632995605,0.03730236746716984,-0.1170281424287633,1.4000000000000012,0.92,0.934
dinov2_g,10,random,4,0.02879059408767053,0.0,0.16879896693907662,0.02321131054943497,-0.14000837285140608,200,0.0049751243781094535,112.30567860603331,0.028790963021186094,-0.1205433442968274,0.9999999999999898,0.9279999999999999,0.938
dinov2_g,20,coherent,0,0.04248088449088957,0.00024932080806490403,0.12477406899554085,0.009869615519692464,-0.08229318450465127,200,0.0049751243781094535,129.11277437210086,0.04954516859364271,-0.14238879667957272,0.3000000000000003,0.8690000000000001,0.872
dinov2_g,20,coherent,1,0.03279891159334339,0.00012904639977297933,0.13923695834774852,0.009196590468772673,-0.10643804675440513,200,0.0049751243781094535,118.47488927841188,0.034143256047308224,-0.16181475386082272,-1.3000000000000012,0.902,0.889
dinov2_g,20,coherent,2,0.11116750324679732,0.002141885243931191,0.15658957198453646,0.011830654179734876,-0.04542206873773913,200,0.0049751243781094535,116.77994608879091,0.11989617598147435,-0.08077798171468416,-0.3000000000000003,0.833,0.83
dinov2_g,20,coherent,3,0.034773605544704315,0.0002064684925848952,0.1231396332854832,0.009060315403673929,-0.08836602774077887,200,0.0049751243781094535,122.32722973823549,0.038517828828783414,-0.16104947062844216,0.5000000000000004,0.948,0.953
dinov2_g,20,coherent,4,0.12966904142660693,0.00014278071893825036,0.14422465236085175,0.008743352503119153,-0.014555610934244843,193,0.03980099502487562,118.81604266166687,0.1436730173676343,-0.055226950674006035,-0.10000000000000007,0.815,0.8140000000000001
dinov2_g,20,random,0,0.08242613741133646,0.00018831718677673196,0.12032869172411807,0.00960102074710915,-0.03790255431278161,200,0.0049751243781094535,130.71090030670166,0.09071989813287096,-0.10971401534445918,1.6999999999999904,0.9329999999999999,0.95
dinov2_g,20,random,1,0.024707553412080124,0.00014652451174842487,0.12797498023944745,0.00808044441548687,-0.10326742682736732,200,0.0049751243781094535,111.77647185325623,0.02884156378147748,-0.16652809672027372,1.200000000000001,0.95,0.9620000000000001
dinov2_g,20,random,2,0.02254116218572297,8.768885422198494e-05,0.12554761881133614,0.008594945894995877,-0.10300645662561317,200,0.0049751243781094535,120.49342679977416,0.024960677354870217,-0.1716467336342853,0.8000000000000007,0.97,0.978
dinov2_g,20,random,3,0.0287516147831136,0.0004904624022758254,0.12508557780877422,0.008657321523564914,-0.09633396302566062,200,0.0049751243781094535,116.67329382896423,0.03730236746716984,-0.15969397437517732,1.200000000000001,0.919,0.9309999999999999
dinov2_g,20,random,4,0.026831900598470487,6.241504216834316e-05,0.13072596087298385,0.00829918264787045,-0.10389406027451334,200,0.0049751243781094535,118.6315689086914,0.02965017880187383,-0.16607149713009467,1.6000000000000014,0.92,0.9359999999999999
dinov2_g,50,coherent,0,0.0407219837465467,0.00030122700298508944,0.08717560994281989,0.002839455830520587,-0.04645362619627319,200,0.0049751243781094535,126.82556128501892,0.06473293099662107,-0.1143266168256818,1.0399999999999965,0.8484,0.8588
dinov2_g,50,coherent,1,0.030949647458913362,0.00026269148114892296,0.07665918784353128,0.002180143661853514,-0.04570954038461792,200,0.0049751243781094535,119.11831068992615,0.05910922706363734,-0.11414520233394056,-0.5600000000000049,0.932,0.9264
dinov2_g,50,coherent,2,0.09574043796170507,0.0002896648756539278,0.12101937723703896,0.004948430604545076,-0.025278939275333867,200,0.0049751243781094535,130.7265815734863,0.12198754667477787,-0.07040748053777962,-0.3599999999999937,0.8088,0.8052
dinov2_g,50,coherent,3,0.04066465510134764,0.00015870626721962167,0.09313355406279734,0.0023605361129348285,-0.05246889896144969,200,0.0049751243781094535,132.08001923561096,0.07738431597504028,-0.10676705375142018,1.3599999999999943,0.8648,0.8784
dinov2_g,50,coherent,4,0.055384078649775695,0.0011012722717221536,0.09413603068155947,0.002487308103383825,-0.038751952031783776,200,0.0049751243781094535,128.05583190917972,0.12799725622998245,-0.05377496669965071,-0.20000000000000015,0.836,0.8340000000000001
dinov2_g,50,random,0,0.07549519547570935,0.0002312164513726897,0.07938364122255187,0.002058175957536871,-0.0038884457468425365,195,0.02985074626865672,126.01808214187622,0.09231857087298977,-0.0787338959028925,2.200000000000002,0.9064,0.9284
dinov2_g,50,random,1,0.025917038222695327,9.434084613403784e-05,0.07598966401991639,0.0019516216166988781,-0.05007262579722106,200,0.0049751243781094535,119.00620913505554,0.037058579670516525,-0.1329922510562247,1.1199999999999988,0.9384,0.9496
dinov2_g,50,random,2,0.027750094841907682,0.0002544424319210475,0.07247450599729595,0.00190735684747896,-0.04472441115538827,200,0.0049751243781094535,126.25630474090576,0.06942589219953857,-0.10116109160028276,1.0000000000000009,0.956,0.966
dinov2_g,50,random,3,0.028068874859243143,0.00010912116766525718,0.08010587193611968,0.002012666592850463,-0.05203699707687653,200,0.0049751243781094535,128.00485634803772,0.05073696390278089,-0.12108997195920285,1.0000000000000009,0.9176,0.9276
dinov2_g,50,random,4,0.035776615137526245,0.000210183447923106,0.08073224278614702,0.0020421163783296034,-0.04495562764862079,200,0.0049751243781094535,129.14203882217407,0.050685197962943414,-0.12194678748428413,2.239999999999997,0.9072,0.9296
dinov2_g,100,coherent,0,0.047194698455389865,0.0011653080050881327,0.06782315228734417,0.0012258039109435846,-0.02062845383195432,200,0.0049751243781094535,123.9797112941742,0.08092199325102628,-0.06253183470675,1.419999999999999,0.8518,0.866
dinov2_g,100,coherent,1,0.030674381312998118,0.00017189147950682782,0.06084514426366931,0.0008881753396709533,-0.030170762950671188,200,0.0049751243781094535,116.85079884529114,0.050774217080074485,-0.09024680574966333,-0.38000000000000256,0.9166,0.9128
dinov2_g,100,coherent,2,0.07951821688368202,0.0006921283164240353,0.1037076571528862,0.0027875745702672025,-0.024189440269204183,200,0.0049751243781094535,120.09255003929138,0.11953653826349075,-0.0384624668213906,-0.6800000000000028,0.8014,0.7946
dinov2_g,100,coherent,3,0.037262310144450216,0.00027182049298815126,0.07424592832731647,0.0012660631601157215,-0.036983618182866274,200,0.0049751243781094535,125.33837556838988,0.07169015501434199,-0.0728254386357501,1.4600000000000055,0.8188,0.8334
dinov2_g,100,coherent,4,0.04904106730913015,0.00019809763531558058,0.0767316190088856,0.0014260350472466619,-0.02769055169975545,200,0.0049751243781094535,124.70760202407835,0.12932993563033032,-0.016223585974351556,-0.0200000000000089,0.8524,0.8522
dinov2_g,100,random,0,0.05813508882748284,0.001437185086715725,0.0632239865403252,0.0009499973171737164,-0.005088897712842357,200,0.0049751243781094535,124.14080166816713,0.08762479115506874,-0.0532355757132654,1.2399999999999969,0.9062,0.9186
dinov2_g,100,random,1,0.034054639455650425,0.0005984175791085446,0.06396765960475316,0.0009496894568081395,-0.02991302014910274,200,0.0049751243781094535,123.50893831253052,0.058799695483765166,-0.08261864633654033,1.200000000000001,0.892,0.904
dinov2_g,100,random,2,0.03732903732376302,0.0004779874899945722,0.06179497011872447,0.0010054450010576971,-0.024465932794961454,200,0.0049751243781094535,123.43590688705444,0.06690018212812476,-0.07368348163943961,1.1599999999999944,0.9179999999999999,0.9296
dinov2_g,100,random,3,0.04082172601246567,0.0005922933557966729,0.06036842023664156,0.0008654392264356872,-0.019546694224175896,200,0.0049751243781094535,114.5838828086853,0.06598010128194022,-0.07383553503040498,1.2800000000000034,0.9198,0.9326
dinov2_g,100,random,4,0.0332483912280732,0.00033403510794407766,0.06376007751965132,0.001013774129491371,-0.030511686291578133,200,0.0049751243781094535,116.9186553955078,0.0605916557086115,-0.08083798397988137,1.6399999999999968,0.9122,0.9286
dinov2_g,200,coherent,0,0.03192857082532029,0.00030613185109774134,0.0580921121639709,0.0007225249668294018,-0.026163541338650613,200,0.0049751243781094535,142.61009860038754,0.07275842234824012,-0.046062372609253166,1.429999999999998,0.8095,0.8238
