model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
i21k_s,fashionmnist,0.10164670080883054,0.0,0.16152851588425074,0.025359925206933965,-0.0598818150754202,-2.3612772745499733,1.0,0,7.046192646026611
i21k_b,fashionmnist,0.09840654422505626,0.0,0.16741413722911924,0.025457161520561204,-0.06900759300406298,-2.710733989267697,1.0,0,8.05092740058899
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814457e-17,0.17247172565564708,0.028632650458701205,-0.07910424438877461,-2.7627286723900037,1.0,0,9.366910457611084
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.16993331938563697,0.027407432002644744,-0.034897434538366634,-1.2732836310603315,0.9,0,8.049360275268555
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814457e-17,0.1672860989718905,0.02691567919103452,-0.060568928154185284,-2.2503213730664653,1.0,0,7.09683895111084
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.1719110660724866,0.031355111405720976,-0.08884652092894114,-2.8335578138858226,1.0,0,7.935055255889893
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.17451354563136848,0.02962019595657229,-0.06849620047330435,-2.312483029272669,1.0,0,9.089911460876465
dinov2_g,fashionmnist,0.10173915569675245,1.3877787807814457e-17,0.1771707015345363,0.028685770359809508,-0.07543154583778384,-2.6295806210408763,1.0,0,10.574206590652466
clip_b,fashionmnist,0.13816459551684931,0.0,0.18065380232655912,0.0298533323612556,-0.0424892068097098,-1.4232651248291917,0.95,0,7.7769880294799805
clip_l,fashionmnist,0.11607822501778646,1.3877787807814457e-17,0.17368955940976016,0.030899453000387746,-0.057611334391973704,-1.8644774841564593,1.0,0,7.643001079559326
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17983663787033527,0.027093692109413148,-0.06779666122770155,-2.502304261594048,1.0,0,7.996989965438843
i21k_t,mnist,0.13427752465995457,0.0,0.17485551575190159,0.031732404409024195,-0.04057799109194701,-1.2787556394688855,0.95,0,6.645490407943726
i21k_s,mnist,0.12767443878048385,0.0,0.17869761057766115,0.032603931416231004,-0.0510231717971773,-1.5649392444672108,1.0,0,7.22407603263855
i21k_b,mnist,0.13347234307490144,0.0,0.1740811539105438,0.030311550038981998,-0.040608810835642356,-1.3397140952349063,1.0,0,8.228019714355469
i21k_l,mnist,0.12442113794682512,0.0,0.18426810660819137,0.026055744642989632,-0.059846968661366254,-2.2968819153463818,1.0,0,9.503123044967651
dinov1_b,mnist,0.10843945881596892,0.0,0.16611916665372778,0.029577079419756805,-0.05767970783775886,-1.9501488642326918,1.0,0,8.364657402038574
dinov2_s,mnist,0.14935831439413907,0.0,0.1779323897714058,0.028723043420692755,-0.028574075377266722,-0.9948136400017168,0.85,0,7.0811381340026855
dinov2_b,mnist,0.14131261088643957,0.0,0.17711066692963665,0.03412040898622476,-0.03579805604319708,-1.0491684334044655,0.9,0,8.122591972351074
dinov2_l,mnist,0.15036074346998407,0.0,0.18226289931841994,0.03001195066331402,-0.031902155848435865,-1.0629817503809371,0.95,0,9.477049112319946
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.18391578190121513,0.029287511848079668,-0.03664182892001602,-1.2511076089387418,0.95,0,10.68224048614502
clip_b,mnist,0.13803716575248368,0.0,0.16585608667045848,0.02780288957425937,-0.027818920917974804,-1.0005766071067044,0.8,0,7.680531978607178
clip_l,mnist,0.16480574915157226,0.0,0.188299919965159,0.026539565853522087,-0.023494170813586734,-0.8852507589331498,0.75,0,7.679568529129028
siglip_b,mnist,0.11328859388614661,0.0,0.1800054360547497,0.02386841400097551,-0.06671684216860309,-2.7951937722328912,1.0,0,8.076081991195679
