model,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_b,wn6,0.5,0,depth,1000,768,18.712228775024414,1.762626886367798,-0.006764112721198465,0.0019217238618180266,0.005757513011859238,-0.008685836583016492,-0.8313683288893973,110.52330470085144,,,,,,,
dinov2_b,wn6,0.75,0,depth,1000,768,18.712228775024414,1.7909833192825315,-0.01239306686400138,0.0019217246079866594,0.005757513392403901,-0.014314791471988038,-0.9476478283145902,106.62800478935242,,,,,,,
dinov2_b,wn6,1.0,0,depth,1000,768,18.712228775024414,1.779125452041626,-0.010466834495308427,0.0019217246693558235,0.0057575129963932424,-0.012388559164664251,-0.783919021071835,105.1824197769165,,,,,,,
dinov2_b,rand6,0.0,0,census,1000,768,18.712230682373047,1.7034717798233032,,,,,,520.3023951053618,0.040645617242715835,0.00034085831798326947,0.066524134285826,0.002739660399834664,-0.025878517043110158,200.0,0.0049751243781094535
dinov2_b,rand6,0.25,0,census,1000,768,18.71222686767578,1.694549322128296,,,,,,480.4026160240173,0.04111698437073398,0.00041474707513998606,0.06805377840633194,0.0026414307211909908,-0.026936794035597955,200.0,0.0049751243781094535
dinov2_b,rand6,0.5,0,census,1000,768,18.71222686767578,1.714358925819397,,,,,,530.6837368011476,0.04200290236977208,0.00023266327438572755,0.06602226517044504,0.0030038147036815623,-0.02401936280067296,200.0,0.0049751243781094535
dinov2_b,rand6,0.75,0,census,1000,768,18.71222686767578,1.749092936515808,,,,,,507.19782090187067,0.041488773750736896,0.00040779889608092643,0.06714661543728154,0.0033640710305517705,-0.02565784168654464,200.0,0.0049751243781094535
dinov2_b,rand6,1.0,0,census,1000,768,18.712228775024414,1.7895218133926392,,,,,,542.9960122108461,0.04128954435162534,0.0003759681714573024,0.06872677725517434,0.0034440688745491603,-0.027437232903549002,200.0,0.0049751243781094535
dinov2_b,tight06,real,0,depth,1000,768,18.712228775024414,0.6000000238418579,-0.10505333504077254,-0.04333029690237121,0.003766252180493173,-0.061723038138401326,-7.304438854838694,76.36215615272522,,,,,,,
dinov2_b,rand6_t06,0.0,0,depth,1000,768,18.712230682373047,0.2756263315677643,-0.04279077747181098,-0.043255686156381354,0.003786836418621229,0.0004649086845703726,0.04062639282753102,66.03768515586853,,,,,,,
dinov2_b,rand6_t06,0.0,1,depth,1000,768,18.712228775024414,0.27039387822151184,-0.04403315767900259,-0.04325568518628064,0.0037868349612548776,-0.0007774724927219478,-0.06879416276025686,75.60036110877991,,,,,,,
