model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
dinov1_b,dtd,0.095200424225416,0.0003949681991277883,0.13606078183303905,0.01035185451861132,-0.04086035760762305,-3.9442834765466253,1.0,0,7.287960767745972
dinov2_s,dtd,0.10531931977064338,0.00042696525002554325,0.1375554161962929,0.009224158754589602,-0.032236096425649535,-3.4910086554071063,1.0,0,7.332771062850952
dinov2_b,dtd,0.07665548771119285,0.00038836079159903727,0.13407121392846957,0.007553569498436188,-0.057415726217276725,-7.591111644373393,1.0,0,7.296490669250488
dinov2_l,dtd,0.06926402629604358,0.00039434552188302675,0.13438538267646968,0.007415633091452448,-0.0651213563804261,-8.769241072323595,1.0,0,7.370425462722778
dinov2_g,dtd,0.07308887946938485,0.0002303184640741918,0.13436601763069317,0.0075190984604699895,-0.06127713816130832,-8.145712091673545,1.0,0,7.20124888420105
clip_b,dtd,0.09882658147110926,0.00018551046647280768,0.13392261752686724,0.011206120806992084,-0.03509603605575798,-3.1314340308794075,1.0,0,7.137020111083984
clip_l,dtd,0.09791602685789025,0.00023660329674651888,0.13716153159319797,0.010704721205797218,-0.03924550473530772,-3.6652913417427344,1.0,0,7.3017659187316895
siglip_b,dtd,0.0961696797036115,0.00023303961698772178,0.13477556986703718,0.010258073888761966,-0.03860589016342568,-3.7624930687537215,1.0,0,7.185105562210083
i21k_t,fashionmnist,0.1533356490177405,0.0,0.16494920423233525,0.02710796890492553,-0.011613555214594756,-0.42841849403496135,0.55,0,6.589417934417725
i21k_s,fashionmnist,0.10164670080883054,0.0,0.16152851588425074,0.025359925206933965,-0.0598818150754202,-2.3612772745499733,1.0,0,6.824529647827148
i21k_b,fashionmnist,0.09840654422505626,0.0,0.16741413722911924,0.025457161520561204,-0.06900759300406298,-2.710733989267697,1.0,0,7.272167921066284
i21k_l,fashionmnist,0.09336748126687247,1.3877787807814457e-17,0.17247172565564708,0.028632650458701205,-0.07910424438877461,-2.7627286723900037,1.0,0,8.368271589279175
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.16993331938563697,0.027407432002644744,-0.034897434538366634,-1.2732836310603315,0.9,0,7.104894399642944
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814457e-17,0.1672860989718905,0.02691567919103452,-0.060568928154185284,-2.2503213730664653,1.0,0,6.505091905593872
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.1719110660724866,0.031355111405720976,-0.08884652092894114,-2.8335578138858226,1.0,0,7.100744247436523
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.17451354563136848,0.02962019595657229,-0.06849620047330435,-2.312483029272669,1.0,0,8.535791158676147
dinov2_g,fashionmnist,0.10173915569675245,1.3877787807814457e-17,0.1771707015345363,0.028685770359809508,-0.07543154583778384,-2.6295806210408763,1.0,0,9.237566471099854
clip_b,fashionmnist,0.13816459551684931,0.0,0.18065380232655912,0.0298533323612556,-0.0424892068097098,-1.4232651248291917,0.95,0,7.044742822647095
clip_l,fashionmnist,0.11607822501778646,1.3877787807814457e-17,0.17368955940976016,0.030899453000387746,-0.057611334391973704,-1.8644774841564593,1.0,0,7.643327474594116
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17983663787033527,0.027093692109413148,-0.06779666122770155,-2.502304261594048,1.0,0,7.457063674926758
i21k_t,mnist,0.13427752465995457,0.0,0.17485551575190159,0.031732404409024195,-0.04057799109194701,-1.2787556394688855,0.95,0,6.6299591064453125
i21k_s,mnist,0.12767443878048385,0.0,0.17869761057766115,0.032603931416231004,-0.0510231717971773,-1.5649392444672108,1.0,0,6.901064157485962
i21k_b,mnist,0.13347234307490144,0.0,0.1740811539105438,0.030311550038981998,-0.040608810835642356,-1.3397140952349063,1.0,0,7.5199294090271
i21k_l,mnist,0.12442113794682512,0.0,0.18426810660819137,0.026055744642989632,-0.059846968661366254,-2.2968819153463818,1.0,0,8.575934886932373
dinov1_b,mnist,0.10843945881596892,0.0,0.16611916665372778,0.029577079419756805,-0.05767970783775886,-1.9501488642326918,1.0,0,7.485426187515259
dinov2_s,mnist,0.14935831439413907,0.0,0.1779323897714058,0.028723043420692755,-0.028574075377266722,-0.9948136400017168,0.85,0,6.568074941635132
dinov2_b,mnist,0.14131261088643957,0.0,0.17711066692963665,0.03412040898622476,-0.03579805604319708,-1.0491684334044655,0.9,0,7.0273356437683105
dinov2_l,mnist,0.15036074346998407,0.0,0.18226289931841994,0.03001195066331402,-0.031902155848435865,-1.0629817503809371,0.95,0,8.40600037574768
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.18391578190121513,0.029287511848079668,-0.03664182892001602,-1.2511076089387418,0.95,0,9.528498888015747
clip_b,mnist,0.13803716575248368,0.0,0.16585608667045848,0.02780288957425937,-0.027818920917974804,-1.0005766071067044,0.8,0,7.112262725830078
clip_l,mnist,0.16480574915157226,0.0,0.188299919965159,0.026539565853522087,-0.023494170813586734,-0.8852507589331498,0.75,0,7.660442590713501
siglip_b,mnist,0.11328859388614661,0.0,0.1800054360547497,0.02386841400097551,-0.06671684216860309,-2.7951937722328912,1.0,0,7.479760646820068
