model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17053848218333542,0.026043804940868876,-0.0584985055407017,-2.246158181322566,1.0,200,0.004975124378109453,0,56.49008560180664
i21k_t,mnist,0.13427752465995457,0.0,0.16713770542579026,0.028956831752184817,-0.03286018076583569,-1.1347988981341635,0.89,178,0.11442786069651742,0,58.36893129348755
i21k_s,mnist,0.12767443878048385,0.0,0.17147678516425605,0.029622173929362245,-0.0438023463837722,-1.4787012758828686,0.93,186,0.07462686567164178,0,58.51627588272095
i21k_b,mnist,0.13347234307490144,0.0,0.16324304178741555,0.027361652139252526,-0.029770698712514115,-1.0880446312598797,0.905,181,0.09950248756218906,0,58.97444558143616
i21k_l,mnist,0.12442113794682512,0.0,0.176808454853945,0.025960734729209494,-0.05238731690711988,-2.017944309109894,0.98,196,0.024875621890547265,0,59.48091268539429
dinov1_b,mnist,0.10843945881596892,0.0,0.1530374254383447,0.026699680392821744,-0.04459796662237578,-1.6703558232242368,0.965,193,0.03980099502487562,0,59.23506546020508
dinov2_s,mnist,0.14935831439413907,0.0,0.16905974509321975,0.02746619815946027,-0.019701430699080674,-0.7172973334241692,0.77,154,0.23383084577114427,0,58.61280632019043
dinov2_b,mnist,0.14131261088643957,0.0,0.16904780243525913,0.029296606808334263,-0.027735191548819565,-0.9467032045816819,0.81,162,0.19402985074626866,0,59.126487255096436
dinov2_l,mnist,0.15036074346998407,0.0,0.17475047057294513,0.028048675018767486,-0.024389727102961056,-0.869550062048984,0.815,163,0.1890547263681592,0,59.57396078109741
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.17575414850917004,0.030247820091956125,-0.02848019552797093,-0.9415619188883214,0.81,162,0.19402985074626866,0,58.085010290145874
clip_b,mnist,0.13803716575248368,0.0,0.1529017017034228,0.02612008369056063,-0.014864535950939117,-0.5690845453267409,0.685,137,0.31840796019900497,0,58.59377717971802
clip_l,mnist,0.16480574915157226,0.0,0.18228013394310877,0.026777648720011978,-0.017474384791536512,-0.6525735315392805,0.72,144,0.2835820895522388,0,59.292412519454956
siglip_b,mnist,0.11328859388614661,0.0,0.1776082311626129,0.025760839579325637,-0.0643196372764663,-2.4967989524722642,1.0,200,0.004975124378109453,0,58.597113609313965
