model,dataset,paradigm,NC_COS,NC_HN,NC_RTN,NC_RN,FS_COS,FS_HN,FS_RTN,FS_RN,FS_HN_COS_diff,FS_HN_COS_ci95,time_s
dinov2_b,imagenet,SSL,0.79468,0.7894,0.78922,0.78918,0.9841866666666667,0.9778799999999999,0.9712266666666666,0.9711333333333332,-0.006306666666666667,0.0010848547571889776,3.2102854251861572
dinov2_b,cifar100,SSL,0.8812,0.8799,0.8751,0.8746,0.9763333333333333,0.9728933333333332,0.9673333333333333,0.96696,-0.0034399999999999986,0.0007508211726843558,1.636622428894043
dinov2_b,cifar10,SSL,0.9761,0.9746,0.9718,0.9721,0.9494133333333333,0.9536933333333333,0.9478933333333334,0.9483066666666666,0.004280000000000001,0.0013926784103158924,1.796259880065918
dinov2_b,dtd,SSL,0.7585106382978724,0.7468085106382979,0.7404255319148936,0.7420212765957447,0.9067333333333334,0.9032666666666667,0.8924666666666667,0.89248,-0.003466666666666667,0.0017678963388414177,0.7999212741851807
dinov2_b,fashionmnist,SSL,0.8375,0.829,0.8322,0.8327,0.86112,0.8592799999999999,0.8599733333333334,0.8599600000000001,-0.0018399999999999977,0.0010727266997578337,1.9589827060699463
dinov2_b,mnist,SSL,0.8081,0.7906,0.8083,0.807,0.7673466666666666,0.7720933333333334,0.77144,0.7661333333333332,0.004746666666666666,0.001693081838667779,1.9422917366027832
dinov2_l,imagenet,SSL,0.8102,0.804,0.79878,0.79874,0.9837466666666665,0.9713066666666667,0.9627733333333333,0.9627466666666666,-0.012440000000000001,0.0013775293734379843,3.7731831073760986
dinov2_l,cifar100,SSL,0.8814,0.8766,0.8595,0.8598,0.9786533333333332,0.97124,0.9625466666666667,0.9619999999999999,-0.007413333333333335,0.0010707857088159353,1.3088319301605225
dinov2_l,cifar10,SSL,0.9854,0.9834,0.9798,0.9799,0.9505066666666666,0.9516533333333334,0.9416933333333334,0.94216,0.0011466666666666671,0.0017547524359179563,2.1518287658691406
dinov2_l,dtd,SSL,0.7643617021276595,0.7526595744680851,0.7457446808510638,0.7452127659574468,0.8945866666666666,0.8847466666666667,0.8717333333333334,0.8718666666666667,-0.009840000000000003,0.002042643255287945,0.8513131141662598
dinov2_l,fashionmnist,SSL,0.849,0.8455,0.8442,0.8447,0.87996,0.8797066666666667,0.8786,0.8782933333333333,-0.000253333333333334,0.0010157226902741605,2.3527722358703613
dinov2_l,mnist,SSL,0.7456,0.7273,0.7435,0.7422,0.7079200000000001,0.7125600000000001,0.7109866666666667,0.7067733333333334,0.004640000000000001,0.0016865409425395588,2.5552897453308105
dinov2_g,imagenet,SSL,0.79616,0.78324,0.78498,0.78488,0.9878666666666666,0.97132,0.9628399999999999,0.9628133333333333,-0.016546666666666668,0.0014401622149620664,5.377456188201904
dinov2_g,cifar100,SSL,0.9176,0.91,0.8994,0.8996,0.9836266666666665,0.9726266666666665,0.9622533333333333,0.96216,-0.011,0.00122698017732788,2.6498301029205322
dinov2_g,cifar10,SSL,0.9846,0.9821,0.9773,0.9778,0.94848,0.9383866666666666,0.9230533333333333,0.9238533333333332,-0.010093333333333333,0.0021317418297553976,2.7696824073791504
dinov2_g,dtd,SSL,0.7441489361702127,0.7313829787234043,0.7308510638297873,0.7297872340425532,0.8987066666666667,0.88488,0.8732933333333333,0.8739866666666667,-0.013826666666666668,0.002139365872801253,1.1326262950897217
dinov2_g,fashionmnist,SSL,0.8626,0.859,0.8584,0.859,0.8933333333333333,0.8926,0.8908400000000001,0.8907733333333333,-0.0007333333333333348,0.001020196265213491,3.320201873779297
dinov2_g,mnist,SSL,0.7966,0.7863,0.7974,0.7955,0.73148,0.7387199999999999,0.7360133333333333,0.7298133333333333,0.007239999999999999,0.0017984881394771555,3.02873158454895
clip_b,imagenet,Contrastive,0.61566,0.60124,0.61612,0.6151,0.9674666666666667,0.9688933333333333,0.9679599999999999,0.9674266666666665,0.0014266666666666677,0.0006990610491986139,2.6492691040039062
clip_b,cifar100,Contrastive,0.6548,0.6513,0.6592,0.6561,0.8769866666666667,0.8890399999999999,0.8816666666666666,0.8772533333333333,0.01205333333333333,0.001436331364701985,1.1351134777069092
clip_b,cifar10,Contrastive,0.8776,0.8846,0.8817,0.8786,0.8928400000000001,0.9018133333333332,0.8969733333333334,0.89328,0.008973333333333335,0.0011421405831819088,2.0163233280181885
clip_b,dtd,Contrastive,0.6393617021276595,0.6382978723404256,0.6436170212765957,0.6414893617021277,0.8194133333333334,0.8323066666666666,0.826,0.82128,0.012893333333333335,0.0015034983854759834,0.7866191864013672
clip_b,fashionmnist,Contrastive,0.7599,0.7526,0.7597,0.7595,0.7890266666666667,0.7900666666666666,0.7914933333333334,0.7891066666666666,0.0010400000000000008,0.0014048741378564053,1.6499302387237549
clip_b,mnist,Contrastive,0.7012,0.6624,0.7033,0.7009,0.7091466666666668,0.6974000000000001,0.7128800000000001,0.7094666666666666,-0.011746666666666667,0.0020852433357561786,1.680478572845459
clip_l,imagenet,Contrastive,0.75458,0.74846,0.75392,0.7532,0.9840133333333333,0.9861733333333332,0.9847466666666667,0.984,0.002159999999999999,0.0005688164788361494,3.2864129543304443
clip_l,cifar100,Contrastive,0.7499,0.75,0.7513,0.7495,0.9004800000000001,0.9127333333333334,0.9057066666666665,0.90108,0.012253333333333335,0.0013073039032825452,1.6325268745422363
clip_l,cifar10,Contrastive,0.9603,0.9595,0.9607,0.9609,0.9253066666666666,0.93444,0.93004,0.9261866666666667,0.009133333333333337,0.001026136905745687,1.780057668685913
clip_l,dtd,Contrastive,0.6851063829787234,0.6909574468085107,0.6888297872340425,0.6872340425531915,0.8508933333333333,0.8632533333333333,0.8566933333333334,0.8522266666666667,0.01236,0.0014450743257224598,0.8049287796020508
clip_l,fashionmnist,Contrastive,0.764,0.761,0.7645,0.7641,0.7684933333333334,0.77528,0.7725333333333333,0.7686000000000001,0.006786666666666669,0.0014741421629258004,1.9439337253570557
clip_l,mnist,Contrastive,0.8508,0.8617,0.8591,0.8514,0.8374666666666667,0.8480666666666666,0.8437866666666667,0.8375733333333333,0.0106,0.0015436318709099292,1.965811014175415
