model,seed,s,K,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_g,2,0.25,30,-0.0013444148994050944,-0.0005876180106710718,0.006938573779942345,-0.0007567968887340224,-0.06238454467029686,0.07685732984943905,0.009661618323368109,238.95867466926572
dinov2_g,2,0.5,30,-0.007088959481521912,-0.00012655871596071734,0.007126362978230228,-0.006962400765561194,-0.5916493638156903,0.07394363664314155,0.008998303167104727,233.7551426887512
dinov2_g,2,0.75,30,-0.014370355325234547,-0.00015956930333533849,0.007319599323897429,-0.014210786021899213,-1.3944516805712357,0.07544813600639738,0.004579866879137894,192.32126808166504
dinov2_g,2,1.0,30,-0.01722940305208999,-0.00038843002133256136,0.007424650489452295,-0.016840973030757427,-1.5105791137515632,0.07680671713459483,0.0055602785071002395,198.42640376091003
dinov2_g,3,0.0,30,4.919449784282493e-05,0.000338930930589132,0.006042543873638216,-0.00028973643274630696,-0.023403925809462288,0.07909711923979759,0.010290876366057765,200.25676012039185
dinov2_g,3,0.25,30,-0.0011693718447536169,0.0002262400763369296,0.006084460500825882,-0.0013956119210905462,-0.11606401161987676,0.07721454505859196,0.010037893898351965,189.5731627941132
dinov2_g,3,0.5,30,-0.011289372672389358,0.00012053271552330684,0.006179457999648329,-0.011409905387912663,-1.0126138996643312,0.07012323918048688,0.009083991817869728,193.88103222846985
dinov2_g,3,0.75,30,-0.01968740612679902,0.00013520280855086053,0.00641626549229733,-0.019822608935349883,-2.2310284711476034,0.06964662356840477,0.00467930836415893,198.29269433021545
dinov2_g,3,1.0,30,-0.02192972765999468,6.9318466952982e-05,0.006542880721856607,-0.021999046126947662,-2.4676573503236687,0.07137645416684199,0.003818725988029583,182.3202261924744
dinov2_g,4,0.0,30,-0.000582603335374382,0.000845914335924712,0.007671771551393594,-0.001428517671299094,-0.11077412320170764,0.07914651832507777,0.0097473761633359,171.6729440689087
dinov2_g,4,0.25,30,-0.0014672593626145342,0.0007630079038094928,0.007464725059412021,-0.002230267266424027,-0.18332660660668504,0.07673127078430922,0.009275916441024505,194.40756392478943
dinov2_g,4,0.5,30,-0.008780060504555126,0.0005999251408312422,0.0074202341352708765,-0.009379985645386368,-0.9529764072226646,0.07218908257980018,0.00603294899069514,201.7769460678101
dinov2_g,4,0.75,30,-0.015499746616286406,0.00016341469596207193,0.0073855164880240265,-0.015663161312248482,-1.4918758824341252,0.07388405349837587,0.00561825946321696,178.5582709312439
dinov2_g,4,1.0,30,-0.016720876802324813,-0.0001355697454178587,0.0074264317545162375,-0.016585307056906955,-1.5025413869367592,0.0764874259107862,0.006237706656752981,182.36477613449097
dinov2_l,0,0.0,30,-0.003651503003176057,-0.000435057261606564,0.005396539730139321,-0.003216445741569493,-0.2800681634360028,0.06861030467980603,0.009339167491611605,211.72849011421204
dinov2_l,0,0.25,30,-0.00404484856499429,-0.0005529749542359131,0.00531472059869101,-0.0034918736107583787,-0.30800225832306954,0.06980750532453478,0.0092758763240644,221.11235284805298
