model,dataset,n,d,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_sup,delta_sup_sd,time_s,p_bh,genuine_bh,delta_sup_expR37,excess_gauss_sup_expR37,z_expR37
clip_l,cifar100,1000,768,0.08438517065519814,0.00041131784449143036,0.08071883326108946,0.0039021344674679283,0.003666337394108682,0.9343956187953468,35,0.8258706467661692,0.13193227765320786,0.005530821226446429,654.9755027294159,0.9009497964721845,False,0.13193227765320786,0.0021771144013993105,0.21152689677625156
siglip_b,cifar100,1000,768,0.07811693666912736,0.0002287747025502216,0.08547841364421947,0.002619586786791287,-0.007361476975092109,-2.7995116646225897,199,0.009950248756218905,0.11335280723936335,0.005138527879534489,631.9313476085663,0.026533996683250415,True,0.11335280723936335,-0.019419339912189082,-2.2537215641433197
i21k_t,dtd,1034,192,0.08731984473665974,0.0003813084680400715,0.08770690972253499,0.003983987672397697,-0.0003870649858752628,-0.09671320800994804,111,0.4477611940298508,0.12380204253480767,0.003473960839949904,402.9836127758026,0.5970149253731345,False,0.12380204253480767,-0.012665663072140676,-2.0610554078516032
i21k_s,dtd,1034,384,0.07023389445874087,0.0002920523859761015,0.07639961097252973,0.002991422256181664,-0.0061657165137888464,-2.051378844379344,197,0.01990049751243781,0.10275242799979492,0.005364085887239558,463.8685073852539,0.04776119402985075,True,0.10275242799979492,-0.016521954033907604,-2.4161503244185942
i21k_b,dtd,1034,768,0.05976541110062252,0.00021672515997426425,0.06775247570453134,0.0023368844331894943,-0.00798706460390882,-3.403222036722022,200,0.0049751243781094535,0.09150173898126657,0.0038617544139532955,689.0936229228972,0.01492537313432836,True,0.09150173898126657,-0.01903532030994108,-3.038655497241637
i21k_l,dtd,1034,1024,0.055816469919906506,0.0002429819432846526,0.06307805189775104,0.0017365457429388172,-0.0072615819778445315,-4.141281188256457,200,0.0049751243781094535,0.09232937170277623,0.007512009205615672,890.3714838027954,0.01492537313432836,True,0.09232937170277623,-0.010755114334601329,-1.2425419795727497
dinov1_b,dtd,1034,768,0.07521935171345948,0.00035454158877285734,0.07439033561635963,0.002321887810468492,0.0008290160970998438,0.35295299694799404,80,0.6019900497512438,0.10971405716514028,0.0030109851552328967,677.1876802444457,0.760408483896308,False,0.10971405716514028,-0.006925918003746839,-1.5408560870118986
dinov2_s,dtd,1034,384,0.09046145348300133,0.0004194471833274238,0.08464009593144667,0.002591487233141392,0.005821357551554661,2.2174802922896593,0,1.0,0.14532227099660472,0.006301659005059095,231.89088702201843,1.0,False,0.14532227099660472,0.012566643007194513,1.7450352058118692
dinov2_b,dtd,1034,768,0.07255239231634439,0.000461146610459863,0.07442096043666405,0.0020065221498094077,-0.0018685681203196578,-0.9075866960190164,162,0.19402985074626866,0.13870121224312584,0.01080727366309722,684.9895329475403,0.31044776119402984,False,0.13870121224312584,0.023338866140124426,2.1058814773014527
dinov2_l,dtd,1034,1024,0.06398666275214046,0.0004264548887867491,0.06995540599160999,0.0015599734075445704,-0.005968743239469526,-3.690756821068,200,0.0049751243781094535,0.13068727661889984,0.01269799157912978,853.6270575523376,0.01492537313432836,True,0.13068727661889984,0.02013404887045525,1.485980425212141
dinov2_g,dtd,1034,1536,0.06454137426263447,0.0006557001130538912,0.07239678129118812,0.0019196285570169652,-0.007855407028553654,-3.872471078519212,200,0.0049751243781094535,0.13602385443680004,0.009127217772423923,460.292845249176,0.01492537313432836,True,0.13602385443680004,0.023178450814774487,2.281312622483015
clip_b,dtd,1034,512,0.08874875254377007,0.0003732487868705373,0.08665652450976533,0.0036501482091762564,0.002092228034004759,0.5702164759329793,71,0.6467661691542289,0.12499193911077583,0.005829024413858487,505.1042115688324,0.7761194029850748,False,0.12499193911077583,-0.00848363035476897,-1.1741129883941683
clip_l,dtd,1034,768,0.08236400690080957,0.0003051592430734229,0.08318200068914909,0.002879741983889161,-0.0008179937883395078,-0.2824695532381096,124,0.38308457711442784,0.1203484801454034,0.005205839571148525,720.1943893432617,0.5408252853380158,False,0.1203484801454034,-0.010811065649297109,-1.3333013668152445
siglip_b,dtd,1034,768,0.07853773621654582,0.0001767508701306341,0.08293390388050832,0.0030094771973880672,-0.004396167663962503,-1.4582616544526943,184,0.0845771144278607,0.11418326868151435,0.007327379592242869,357.17147755622864,0.14498933901918978,False,0.11418326868151435,-0.015214080128211948,-1.6613962042878063
