model,dataset,excess,sd_null,sd_boot,sd_est,z_joint,joint_genuine,genuine_bh_record,n_boot,n_boot_genuine,boot_bh_genuine,boot_excess_mean,boot_frac_negative
dinov2_g,dtd,-0.037320354025694,0.0037006273732505296,0.002638478945577992,0.0002303184640741918,-8.200936652901268,True,True,30,30,True,-0.03692602563680524,1.0
dinov2_l,dtd,-0.040635163058453966,0.003462317167970737,0.001622260416491283,0.0003943455218830268,-10.571583965826044,True,True,30,30,True,-0.03984871723607507,1.0
dinov2_s,dtd,-0.01706149778294556,0.004855484033963303,0.002494785595499091,0.00042696525002554325,-3.115925039347892,True,True,30,30,True,-0.015788971256251876,1.0
i21k_b,dtd,-0.019792287605266537,0.0047515853142902536,0.0016766861401664914,0.0004494266024590538,-3.912495588282048,True,True,30,30,True,-0.020113859126728764,1.0
i21k_l,dtd,-0.0299565917826857,0.0043635221211568214,0.0017373375220302242,0.0003670979005732898,-6.35887383971079,True,True,30,30,True,-0.028982782114548487,1.0
i21k_s,dtd,-0.017822838708900557,0.00547260391567091,0.002044543028262631,0.0003461725965027012,-3.045443076666442,True,True,30,30,True,-0.017891676301166712,1.0
i21k_t,dtd,-0.01374971283545835,0.006896399654083597,0.0015639843574209368,0.0002472334637240465,-1.943191831862148,False,True,30,12,False,-0.013205798149025925,1.0
siglip_b,dtd,-0.02256920678423678,0.005422228985542925,0.0013628960501278313,0.00023303961698772178,-4.033280187464267,True,True,30,30,True,-0.02241662755180138,1.0
clip_b,fashionmnist,-0.032454101086040604,0.023967831751377986,0.001145985337231946,0.0,-1.3525239907457156,False,False,30,0,False,-0.03397382123696578,1.0
clip_l,fashionmnist,-0.032931593537799383,0.022253238660109868,0.0010790015007595027,1.3877787807814454e-17,-1.4781196854192653,False,False,30,0,False,-0.03461076619612213,1.0
dinov1_b,fashionmnist,-0.0016174309572140884,0.019399000223677403,0.0006883966265100994,0.0,-0.08332457902220078,False,False,30,0,False,-0.004002530344017801,1.0
dinov2_b,fashionmnist,-0.05624359816035211,0.02159511418736107,0.0016635069318876184,0.0,-2.5967663560714365,True,True,30,30,True,-0.05759828080714614,1.0
dinov2_g,fashionmnist,-0.03494929143551344,0.019766379227593292,0.0017570639099835366,1.3877787807814454e-17,-1.7611735800029096,False,True,30,23,False,-0.03704940841251276,1.0
dinov2_l,fashionmnist,-0.024145138531716626,0.017977460522765595,0.000956710452009461,0.0,-1.3411805612026542,False,False,30,30,True,-0.02658531904344645,1.0
dinov2_s,fashionmnist,-0.02519820067145944,0.01883388835215293,0.0011988129166811629,1.3877787807814454e-17,-1.3352160060589395,False,False,30,0,False,-0.027795900684561226,1.0
i21k_b,fashionmnist,-0.03469355036432431,0.018160018544925,0.0012027198073141854,0.0,-1.9062597244106154,False,True,30,30,True,-0.03719800012657328,1.0
i21k_l,fashionmnist,-0.04143889269744608,0.01856996272248952,0.0016784200320211916,1.3877787807814454e-17,-2.22244180883775,True,True,30,30,True,-0.04488456202823896,1.0
i21k_s,fashionmnist,-0.026586199621639883,0.01819408207827892,0.0011987411156753548,0.0,-1.4580939705322236,False,False,30,30,True,-0.030000509350426915,1.0
i21k_t,fashionmnist,0.02372881591799822,0.018245915182954764,0.0005751648027450652,0.0,1.2998545072259957,False,False,30,0,False,0.021597845176550258,0.0
siglip_b,fashionmnist,-0.033405207069290746,0.019056030856694054,0.0011133093764690368,0.0,-1.7500151449010533,False,True,30,30,True,-0.03762698558291984,1.0
clip_b,imagenet,-0.006535779666525632,0.005095204775934671,0.0008973882340721228,0.00026180391642323636,-1.261673373452588,False,False,30,0,False,-0.006763760298927024,1.0
clip_l,imagenet,-0.009082363977024402,0.004354742480465061,0.0006284348758557117,0.00028942422421858796,-2.0597906611644574,True,True,30,11,False,-0.009371264691949436,1.0
dinov1_b,imagenet,-0.020271317676652027,0.0022356270649542547,0.00027780661708878314,0.0003731814462132311,-8.877218773582765,True,True,30,30,True,-0.020445853319150394,1.0
dinov2_b,imagenet,-0.0166963704040312,0.0004649428282511209,0.0001856649724777679,0.00016182450755775234,-31.73329087962402,True,True,30,30,True,-0.016470800166349463,1.0
dinov2_g,imagenet,-0.008008716670314005,0.0003309457268645882,0.0003618411298914436,0.0004987619777615,-11.450169049670263,True,True,30,30,True,-0.008347934612593066,1.0
dinov2_l,imagenet,-0.013525104341861702,0.00040253340051200144,0.0001346260510893382,0.00011737536245415696,-30.71236951521914,True,True,30,30,True,-0.013456350187368595,1.0
dinov2_s,imagenet,-0.016158383331784244,0.0009185174251243883,0.00035993194728435173,0.00023910565046815884,-15.918262444607768,True,True,30,30,True,-0.01607420258625825,1.0
i21k_b,imagenet,-0.016164503722339418,0.00303026000902415,0.0006060531736076866,0.00019941582908156085,-5.219914910488188,True,True,30,30,True,-0.01573659035656373,1.0
i21k_l,imagenet,-0.01573635276959557,0.003118945696711309,0.00041568431746348203,0.00017080526901697715,-4.993833375400453,True,True,30,30,True,-0.015758304610419032,1.0
i21k_s,imagenet,-0.01228672145380938,0.003316291027539963,0.0006638438945989871,0.00026560569479597545,-3.6217362180866353,True,True,30,30,True,-0.012044204929678217,1.0
i21k_t,imagenet,-0.004973650254346138,0.004587452328049639,0.0010728684469826755,0.0003035147351940353,-1.0535151765374353,False,False,30,0,False,-0.004929854534175899,1.0
siglip_b,imagenet,-0.0075862405503088065,0.004516231970899704,0.0005786300363835319,0.00034010496388139314,-1.6615237047140223,False,False,30,0,False,-0.00784030662636376,1.0
clip_b,mnist,0.005281426117277055,0.020437896437696813,0.0019230378195212608,0.0,0.25727702995013474,False,False,30,0,False,0.004019117041699385,0.03333333333333333
clip_l,mnist,-0.0006876705690744277,0.019179406283030425,0.001120600482096511,0.0,-0.035793589700449664,False,False,30,0,False,-0.0020531310413850886,0.9666666666666667
dinov1_b,mnist,-0.029610111074765105,0.021559381038228125,0.0008093729891699445,0.0,-1.372454397458628,False,False,30,0,False,-0.03062124676527427,1.0
dinov2_b,mnist,-0.012413160979026228,0.02429187353010868,0.0008294906972592454,0.0,-0.5107029053265609,False,False,30,0,False,-0.012621136437795274,1.0
dinov2_g,mnist,-0.017926952366479426,0.023902632294385343,0.0013956666084944931,2.7755575615628914e-17,-0.7487238399364354,False,False,30,0,False,-0.015236626627238048,1.0
dinov2_l,mnist,-0.008996601313130044,0.023948935682207486,0.00163669383909128,0.0,-0.37478347559053077,False,False,30,0,False,-0.009338587619817647,1.0
dinov2_s,mnist,0.003128688071433766,0.020338101253054124,0.0012307992336281894,0.0,0.15355291173152075,False,False,30,0,False,0.001958387434897066,0.0
i21k_b,mnist,-0.006739735407465114,0.020304240799151867,0.0012421492432444857,0.0,-0.3313179094068877,False,False,30,0,False,-0.007974965166000542,1.0
i21k_l,mnist,-0.03125642747591319,0.02161527024303591,0.0009614709144637616,0.0,-1.4446061257708063,False,False,30,0,False,-0.032899063230993834,1.0
i21k_s,mnist,-0.033540022588426886,0.02502248269682283,0.0009979945991896533,0.0,-1.3393306440813577,False,False,30,0,False,-0.03349983217952018,1.0
i21k_t,mnist,-0.0219435683804593,0.023161724333085408,0.0019506135773761921,0.0,-0.9440645244325205,False,False,30,0,False,-0.024660726876516766,1.0
siglip_b,mnist,-0.022319579651511254,0.017431402347033532,0.0008734043473811371,0.0,-1.2788193871701794,False,False,30,0,False,-0.023314253171388213,1.0
