model,dataset,excess,sd_null,sd_boot,sd_est,z_joint,joint_genuine,genuine_bh_record,n_boot,n_boot_genuine,boot_bh_genuine,boot_excess_mean,boot_frac_negative
dinov2_l,cifar100,-0.03483349695675417,0.0015687160243546545,0.00031768893337566414,0.00016461804818072786,-21.64909918197312,True,True,30,30,True,-0.034783211010660994,1.0
dinov2_s,cifar100,-0.03058468175699114,0.003114416408953809,0.0004041631299090757,0.00028089798370294533,-9.699973717456313,True,True,30,30,True,-0.030332609591405567,1.0
i21k_b,cifar100,0.00572755330353926,0.007242950937969663,0.0010726184173725107,0.00041531548991135056,0.7809896407620616,False,False,30,0,False,0.006415529901889522,0.0
i21k_l,cifar100,-0.020476674267324704,0.00510465479628416,0.0005818955189711624,0.00021135002477319732,-3.9821934866476956,True,True,30,30,True,-0.019790218982495014,1.0
i21k_s,cifar100,-0.0003497380347863982,0.006989204424546322,0.0011755758755393596,0.0003118169999520069,-0.04929889926745718,False,False,30,0,False,0.0005587380878417587,0.36666666666666664
i21k_t,cifar100,-0.006446282005206167,0.008440346745269561,0.0017904491112702733,0.00018946347045129994,-0.7469411452773524,False,False,30,0,False,-0.0042177875738978205,1.0
siglip_b,cifar100,-0.02196548191386928,0.00505942208036326,0.0007739427867195156,0.0005469030512733434,-4.267287188611996,True,True,30,30,True,-0.02114750722408105,1.0
clip_b,dtd,-0.02396591049614459,0.0065203900653839145,0.0021514018451794146,0.00018551046647280768,-3.489170467524689,True,True,30,30,True,-0.023875501628641414,1.0
clip_l,dtd,-0.026618316393753144,0.005827877381952468,0.00215345248905731,0.0002366032967465189,-4.281182455811177,True,True,30,30,True,-0.026563154449197303,1.0
dinov1_b,dtd,-0.02715425349143953,0.005597052401097143,0.0023625966266417717,0.0003949681991277883,-4.46022426409669,True,True,30,30,True,-0.02622403274000477,1.0
dinov2_b,dtd,-0.035036328011150475,0.0040189928913698676,0.0016017731977084383,0.00038836079159903727,-8.065780173716506,True,True,30,30,True,-0.03401281433485711,1.0
dinov2_g,dtd,-0.038635562101190964,0.0038877217614811423,0.002610006471249654,0.0002303184640741918,-8.240958543292793,True,True,30,30,True,-0.03819833718000033,1.0
dinov2_l,dtd,-0.04195624531231597,0.0036145014258347156,0.001599305682544987,0.0003943455218830268,-10.562626218861162,True,True,30,30,True,-0.04114483634575596,1.0
dinov2_s,dtd,-0.01786566245563284,0.004989508978836911,0.0024923354108159755,0.00042696525002554325,-3.1939024831176495,True,True,30,30,True,-0.0165845720293012,1.0
i21k_b,dtd,-0.02077319833729968,0.0049248230149972795,0.0016856525326601449,0.0004494266024590538,-3.975974562345207,True,True,30,30,True,-0.021090596832826596,1.0
i21k_l,dtd,-0.031101010901936232,0.0045526190960846254,0.0017248846714821072,0.0003670979005732898,-6.3702257500828905,True,True,30,30,True,-0.030142639069028608,1.0
i21k_s,dtd,-0.01859695631436166,0.0055539828562728285,0.0020310976103415546,0.0003461725965027012,-3.139339717915319,True,True,30,30,True,-0.018686341874622283,1.0
i21k_t,dtd,-0.014207274847269332,0.006972941435007293,0.0015542985382719847,0.0002472334637240465,-1.9874906264354868,False,True,30,13,False,-0.013724720024087986,1.0
siglip_b,dtd,-0.023298665622887002,0.005572360841775366,0.001355588099755549,0.00023303961698772178,-4.059276232203137,True,True,30,30,True,-0.023122837786237853,1.0
clip_b,fashionmnist,-0.03497281689731346,0.027445651324415298,0.0011211763318564943,0.0,-1.2731952277322107,False,False,30,0,False,-0.038536930033683886,1.0
clip_l,fashionmnist,-0.03676580083608731,0.024240424819217173,0.001084370549146587,1.3877787807814454e-17,-1.5151990810124039,False,False,30,0,False,-0.040668869837762064,1.0
dinov1_b,fashionmnist,-0.006739486410870493,0.020591499756717747,0.000684130476049958,0.0,-0.3271140978421911,False,False,30,0,False,-0.011502212561894655,1.0
dinov2_b,fashionmnist,-0.06176978004769047,0.022875024736898186,0.0016070800139407007,0.0,-2.6936758804215315,True,True,30,30,True,-0.0657249464506156,1.0
dinov2_g,fashionmnist,-0.04550445626110676,0.022555760550536454,0.0016966797252066837,1.3877787807814454e-17,-2.0117371499490804,True,True,30,30,True,-0.05068764566596533,1.0
dinov2_l,fashionmnist,-0.035147870622269095,0.01957222188171436,0.0009575750101438139,0.0,-1.7936583745364345,False,True,30,29,True,-0.04102561869890301,1.0
dinov2_s,fashionmnist,-0.031369965832551264,0.020059024304783117,0.0011972213195681582,1.3877787807814454e-17,-1.5611048542327135,False,False,30,30,True,-0.036786523466860975,1.0
i21k_b,fashionmnist,-0.041870949662005885,0.01964937088947689,0.001225196623173885,0.0,-2.126775029579459,True,True,30,30,True,-0.04672887454637861,1.0
i21k_l,fashionmnist,-0.05069717987626343,0.020008579054677574,0.0016884529426115806,1.3877787807814454e-17,-2.5247984357948208,True,True,30,30,True,-0.05664811864969435,1.0
i21k_s,fashionmnist,-0.03319951607563343,0.019323105613359048,0.0012187517774882935,0.0,-1.7147179891824103,False,True,30,30,True,-0.03882900672476282,1.0
i21k_t,fashionmnist,0.018373914817505332,0.02022444667831633,0.0005672707176383754,0.0,0.9081430848444312,False,False,30,0,False,0.014464879073325748,0.0
siglip_b,fashionmnist,-0.04197996541770253,0.020961061701837518,0.0011154287984336004,0.0,-1.999929834827275,False,True,30,30,True,-0.04765456536742353,1.0
clip_b,imagenet,-0.006540010113242317,0.005097624167832604,0.0008978900930974019,0.00026180391642323636,-1.2618891649279216,False,False,30,0,False,-0.006777989665877522,1.0
clip_l,imagenet,-0.009086321812250622,0.004356511235507545,0.0006279866947329207,0.00028942422421858796,-2.0599020079193755,True,True,30,12,False,-0.009385939684037262,1.0
dinov1_b,imagenet,-0.020274922147878814,0.002235248793202896,0.00027783787186589704,0.0003731814462132311,-8.880222629964443,True,True,30,30,True,-0.02045210615438186,1.0
dinov2_b,imagenet,-0.016706598152992566,0.0004683316427349872,0.00018616086108371845,0.00016182450755775234,-31.562496569985782,True,True,30,30,True,-0.016484784126754314,1.0
dinov2_g,imagenet,-0.008022129613251487,0.00033107855369757705,0.0003615070212171022,0.0004987619777615,-11.471148325463346,True,True,30,30,True,-0.008364943472775454,1.0
dinov2_l,imagenet,-0.013536811002684362,0.00040368130181218297,0.00013434765272802283,0.00011737536245415696,-30.671764827228355,True,True,30,30,True,-0.013470178085655145,1.0
dinov2_s,imagenet,-0.016158652205060874,0.0009185910204642494,0.0003604105271317117,0.00023910565046815884,-15.914821306281329,True,True,30,30,True,-0.016075272091786448,1.0
i21k_b,imagenet,-0.01617013303992254,0.003029123212252993,0.0006054359792335768,0.00019941582908156085,-5.223812992101401,True,True,30,30,True,-0.015746597821750228,1.0
i21k_l,imagenet,-0.015742108627564776,0.003115564280340811,0.00041558911616171887,0.00017080526901697715,-5.000991417068427,True,True,30,30,True,-0.015768649484851353,1.0
i21k_s,imagenet,-0.01229009036623202,0.003315142360881404,0.0006641480300529063,0.00026560569479597545,-3.6238650951740565,True,True,30,30,True,-0.012054682748813541,1.0
i21k_t,imagenet,-0.004977223881738825,0.0045870907694923035,0.001072916905189935,0.0003035147351940353,-1.0543481431075414,False,False,30,0,False,-0.004944426869974441,1.0
siglip_b,imagenet,-0.007590153917773262,0.004517535511246537,0.0005794909920878074,0.00034010496388139314,-1.6618717618238341,False,False,30,0,False,-0.007850402362184707,1.0
clip_b,mnist,-0.0007150518938800199,0.021624528596355462,0.0019626854067347622,0.0,-0.03293134262861274,False,False,30,0,False,-0.004203629236187689,1.0
clip_l,mnist,-0.008392823372950692,0.02101773017911249,0.0011987188948737561,0.0,-0.3986732271073257,False,False,30,0,False,-0.011475544533715042,1.0
dinov1_b,mnist,-0.03350693532446826,0.022661960308604186,0.000826408072451907,0.0,-1.4775720150312996,False,False,30,0,False,-0.036518696933577566,1.0
dinov2_b,mnist,-0.017282817369565745,0.02723479178245203,0.000816371661392343,0.0,-0.6343010902368371,False,False,30,0,False,-0.020385809824924033,1.0
dinov2_g,mnist,-0.021784285349864985,0.02768685439012351,0.0013692382037855126,2.7755575615628914e-17,-0.7858492853409285,False,False,30,0,False,-0.02174897932227469,1.0
dinov2_l,mnist,-0.013794936242902343,0.0269046511778451,0.0016481653170817422,0.0,-0.5117748775891178,False,False,30,0,False,-0.016622115131070783,1.0
dinov2_s,mnist,-0.004234287702697293,0.02324792623785376,0.0012021562810506585,0.0,-0.1818931223704847,False,False,30,0,False,-0.0078689682682874,1.0
i21k_b,mnist,-0.013015005404434205,0.02217468248261354,0.0012462239825105723,0.0,-0.5860061443380495,False,False,30,0,False,-0.016751221680022306,1.0
i21k_l,mnist,-0.039598534694540624,0.025052931494552552,0.0009160351159160402,0.0,-1.579539347462763,False,False,30,0,False,-0.044126985195916214,1.0
i21k_s,mnist,-0.036717060502649945,0.028183016685053405,0.0010194666893005198,0.0,-1.3019565104966193,False,False,30,0,False,-0.039652392114654725,1.0
i21k_t,mnist,-0.02574537207625524,0.02543129649905667,0.0019153589419064658,0.0,-1.0094909168597443,False,False,30,0,False,-0.02993828257797784,1.0
siglip_b,mnist,-0.04405002492632114,0.02335520656517325,0.0008438365231116791,0.0,-1.8848602816031026,False,True,30,30,True,-0.04909843418421467,1.0
