task,model,dataset,mine_R,mine_H,repo_R,repo_H,dR,dH
retr,dinov2_l,cifar100,0.7853999733924866,0.7148999571800232,0.7854,0.7149,-2.660751341476697e-06,-4.281997678656779e-06
retr,dinov2_l,cifar10,0.9515999555587769,0.9330999851226807,0.9516,0.9331,-4.4441223145952335e-06,-1.4877319376438436e-06
retr,dinov2_l,dtd,0.6527999639511108,0.6444000005722046,0.6528,0.6444,-3.604888920705207e-06,5.7220461702200964e-08
retr,dinov2_l,fashionmnist,0.7894999980926514,0.7759999632835388,0.7895,0.776,-1.9073486123843963e-07,-3.6716461204733264e-06
retr,dinov2_l,mnist,0.5997999906539917,0.5801999568939209,0.5998,0.5802,-9.346008300603614e-07,-4.310607915058995e-06
retr,dinov2_l,imagenet,0.724299967288971,0.7228999733924866,0.7243,0.7229,-3.27110291076238e-06,-2.660751341476697e-06
retr,dinov2_g,cifar100,0.8370999693870544,0.7757999897003174,0.8371,0.7758,-3.0612945511876433e-06,-1.0299682662306964e-06
retr,dinov2_g,cifar10,0.9490999579429626,0.9147999882698059,0.9491,0.9148,-4.2057037408227416e-06,-1.1730194038328534e-06
retr,dinov2_g,dtd,0.6362999677658081,0.6152999997138977,0.6363,0.6153,-3.2234191871260975e-06,-2.861022529998536e-08
retr,dinov2_g,fashionmnist,0.8102999925613403,0.7949999570846558,0.8103,0.795,-7.438659688219218e-07,-4.291534427824928e-06
retr,dinov2_g,mnist,0.6251999735832214,0.6078999638557434,0.6252,0.6079,-2.64167785424263e-06,-3.6144256587711254e-06
retr,dinov2_g,imagenet,0.733299970626831,0.7292999625205994,0.7334,0.7293,-0.010002937316899718,-3.747940058307364e-06
retr,clip_b,cifar100,0.4405999779701233,0.3959999978542328,0.4406,0.396,-2.2029876700635498e-06,-2.1457672305658093e-07
retr,clip_b,cifar10,0.8026999831199646,0.7795000076293945,0.8027,0.7795,-1.6880035369482016e-06,7.629394560559888e-07
retr,clip_b,dtd,0.48979997634887695,0.45829999446868896,0.4898,0.4583,-2.365112306002004e-06,-5.53131102032367e-07
retr,clip_b,fashionmnist,0.6809999942779541,0.668999969959259,0.681,0.669,-5.722045948175492e-07,-3.0040741005876725e-06
retr,clip_b,mnist,0.6918999552726746,0.6722999811172485,0.6919,0.6723,-4.472732539895219e-06,-1.8882751473547899e-06
retr,clip_b,imagenet,0.40609997510910034,0.40230000019073486,0.4061,0.4023,-2.4890899674723244e-06,1.9073487234066988e-08
retr,clip_l,cifar100,0.5511000156402588,0.5009999871253967,0.5511,0.501,1.5640258754778813e-06,-1.2874603272372553e-06
retr,clip_l,cifar10,0.8634999990463257,0.8341000080108643,0.8635,0.8341,-9.536743617033494e-08,8.010864305241228e-07
retr,clip_l,dtd,0.5519999861717224,0.5241999626159668,0.552,0.5242,-1.3828277634075903e-06,-3.7384033202414457e-06
retr,clip_l,fashionmnist,0.6487999558448792,0.6255999803543091,0.6488,0.6256,-4.415512089295248e-06,-1.964569096291058e-06
retr,clip_l,mnist,0.818399965763092,0.7967999577522278,0.8184,0.7968,-3.423690797532686e-06,-4.224777216954578e-06
retr,clip_l,imagenet,0.5519999861717224,0.5418999791145325,0.552,0.5419,-1.3828277634075903e-06,-2.088546757761378e-06
retr,siglip_b,cifar100,0.5509999990463257,0.508899986743927,0.5509,0.5089,0.00999990463257383,-1.3256073017053893e-06
retr,siglip_b,cifar10,0.8288999795913696,0.7975999712944031,0.8289,0.7976,-2.0408630341250955e-06,-2.8705596899492036e-06
retr,siglip_b,dtd,0.6345999836921692,0.614300012588501,0.6346,0.6143,-1.6307830863482309e-06,1.25885010193727e-06
retr,siglip_b,fashionmnist,0.761900007724762,0.7450000047683716,0.7619,0.745,7.724761941219072e-07,4.768371586472142e-07
retr,siglip_b,mnist,0.8901999592781067,0.8697999715805054,0.8902,0.8698,-4.072189330184273e-06,-2.8419494646492183e-06
retr,siglip_b,imagenet,0.574999988079071,0.5503000020980835,0.575,0.5503,-1.1920928910669204e-06,2.0980834847250662e-07
clust,i21k_t,cifar100,0.30756143667296787,0.2394125312194592,0.3075614366729678,0.2394125312194592,5.551115123125783e-15,0.0
clust,i21k_s,cifar100,0.3552735203247107,0.2747931563775224,0.3552735203247107,0.2747931563775224,0.0,0.0
clust,i21k_b,cifar100,0.3882798485150488,0.3632465543644717,0.3882798485150488,0.3632465543644717,0.0,0.0
clust,i21k_l,cifar100,0.3800397758090761,0.3462905972691147,0.3800397758090761,0.3462905972691147,0.0,0.0
clust,dinov1_b,cifar100,0.21582373560340512,0.1874755734600006,0.2158237356034051,0.1874755734600006,2.7755575615628914e-15,0.0
clust,dinov2_s,cifar100,0.11836676172117698,0.04248128445225429,0.1183667617211769,0.0424812844522542,8.326672684688674e-15,9.020562075079397e-15
clust,dinov2_b,cifar100,0.017072096170185985,0.003402168150371929,0.0170720961701859,0.0034021681503719,8.673617379884035e-15,2.905661822261152e-15
clust,dinov2_l,cifar100,0.005092961894827269,0.002574370709382151,0.0050929618948272,0.0025743707093821,6.852157730108388e-15,5.117434254131581e-15
clust,dinov2_g,cifar100,0.003402168150371929,0.003402168150371929,0.0034021681503719,0.0034021681503719,2.905661822261152e-15,2.905661822261152e-15
clust,clip_b,cifar100,0.1794548649121032,0.16325766211770837,0.1794548649121032,0.1632576621177083,0.0,5.551115123125783e-15
clust,clip_l,cifar100,0.3487145989828769,0.22435752814980414,0.3487145989828769,0.2243575281498041,0.0,5.551115123125783e-15
clust,siglip_b,cifar100,0.22195602525637007,0.1687225852654194,0.22195602525637,0.1687225852654194,5.551115123125783e-15,0.0
