model,seed,s,K,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
i21k_s,1,0.5,30,-0.027923925034357797,0.0005452421943734159,0.0024308784928444675,-0.02846916722873121,-3.3873995750758277,0.07666534242000819,0.005711082667116107,157.1817569732666
i21k_s,1,0.75,30,-0.032481185108975116,-0.00019730312163624835,0.0023701482414105095,-0.03228388198733887,-4.53740604327357,0.07892827915675017,0.0037956543564987635,174.16077327728271
i21k_s,1,1.0,30,-0.03210001048913397,-0.0020315699738951793,0.0026733987016007645,-0.030068440515238787,-3.92860220826005,0.08225718783050581,0.0032021638723196957,151.92972230911255
i21k_s,2,0.0,30,-0.013309821478221587,0.0009806503075794296,0.0033287374959599905,-0.014290471785801017,-1.2314481160837447,0.08233851838114771,0.008482958500177686,149.72245836257935
i21k_s,2,0.25,30,-0.018372694358434555,0.0016563607910248356,0.0030022439400356113,-0.02002905514945939,-1.865676847970503,0.08192265095602927,0.007164306680328614,165.00332593917847
i21k_s,2,0.5,30,-0.024421430359443844,0.00190695300167298,0.002689951206817735,-0.026328383361116824,-3.533834849655857,0.08054004378293919,0.004368313936872114,146.5981764793396
i21k_s,2,0.75,30,-0.025071014153615817,0.0012796040923868852,0.0022716596761655837,-0.026350618246002704,-2.9878857724052907,0.08637836617815302,0.004802711306099968,147.68412065505981
i21k_s,2,1.0,30,-0.024689425440477267,0.001819080439766843,0.0021089203866454624,-0.02650850588024411,-2.7756550677593843,0.09080314758282243,0.0058093484725620205,105.71649694442749
i21k_s,3,0.0,30,-0.013356193338675534,0.0009248564242415588,0.004502117494609626,-0.014281049762917093,-1.1118738066182685,0.08272683951566119,0.009913731025685402,153.8209204673767
i21k_s,3,0.25,30,-0.02047459730344485,0.0007016216567159644,0.003804514442494285,-0.021176218960160816,-1.847548574831992,0.07583387486466046,0.007951787464416885,141.49730110168457
i21k_s,3,0.5,30,-0.024730402922634204,0.0005685356212352957,0.0031839094257551724,-0.025298938543869498,-3.432237243735892,0.07676797927062828,0.0032046906282749347,153.35951852798462
i21k_s,3,0.75,30,-0.030032760878875034,0.0005658862577428661,0.002910793851316539,-0.0305986471366179,-4.235538459110714,0.07912986019020185,0.0042654255989865155,151.16225576400757
i21k_s,3,1.0,30,-0.03229505802528901,0.0011554595459340635,0.0035647919448343643,-0.033450517571223075,-3.992794113895246,0.08006943686695589,0.005304976324560214,145.10763812065125
i21k_s,4,0.0,30,-0.018721316975789062,0.000903507149759461,0.004046099395359429,-0.019624824125548522,-1.5583906362104933,0.07838225709797116,0.008964926975003513,159.08864974975586
i21k_s,4,0.25,30,-0.025046998096925344,0.0006294946102469459,0.0035883247971197933,-0.025676492707172288,-2.245027205467342,0.07496240787985795,0.0076150425150286055,160.0827295780182
i21k_s,4,0.5,30,-0.027027570029753104,6.87600462825344e-06,0.002423884390805078,-0.027034446034381356,-2.4244257713295165,0.07782855177430362,0.007970346375758415,154.90525937080383
i21k_s,4,0.75,30,-0.02965239158699426,0.000526624263806931,0.0020782199383390797,-0.03017901585080119,-2.3675679543549455,0.0817707796632758,0.00931075293386998,150.5050356388092
i21k_s,4,1.0,30,-0.030214017703348917,0.0013526930128420684,0.002641047055184019,-0.031566710716190986,-2.7829363985651216,0.0837290644193568,0.007654482186297225,141.90335607528687
i21k_b,0,0.0,30,-0.01296866116680008,0.0013977922589188327,0.0026086725968621797,-0.014366453425718913,-1.4729010269659601,0.07294885834204148,0.006739376624324714,192.3238866329193
i21k_b,0,0.25,30,-0.02023780984855142,0.000869284763729282,0.0026373404730743897,-0.0211070946122807,-2.635789655002374,0.0710045149005412,0.004412731560986882,186.31458234786987
i21k_b,0,0.5,30,-0.02821779917942495,0.00027166250269977237,0.002276789652143383,-0.028489461682124722,-3.7803189221743287,0.07333046699651165,0.004772675359955241,185.6441888809204
i21k_b,0,0.75,30,-0.03202891419265208,-6.613427126916094e-05,0.0024521098479775554,-0.03196277992138292,-3.631018208842149,0.07923960058009276,0.005978563482815599,196.8675458431244
i21k_b,0,1.0,30,-0.031765314732827926,0.0002542974494840602,0.003058988585003667,-0.03201961218231199,-3.390748085982079,0.08363918021934427,0.005522615643209699,187.12080574035645
i21k_b,1,0.0,30,-0.010928306555472181,-9.652293791418548e-05,0.003747161303238494,-0.010831783617557995,-1.0703663969735706,0.07484135106899834,0.007307703467208242,190.140394449234
i21k_b,1,0.25,30,-0.019640690377496314,-0.0008311631979030107,0.0037292341128061807,-0.018809527179593305,-2.175564249678164,0.06976205983058702,0.00500896410695258,207.68520164489746
i21k_b,1,0.5,30,-0.023654001438090655,-0.0012956319942110273,0.00340176216376802,-0.022358369443879627,-2.4288464475052853,0.07374674676830953,0.005230767329750465,180.3902554512024
i21k_b,1,0.75,30,-0.023689594527112404,-0.0008420472410621271,0.002187323264603241,-0.022847547286050277,-2.3922974009846865,0.08452278419576023,0.006231446207078807,208.5363426208496
i21k_b,1,1.0,30,-0.026476231594523794,-0.00019108541551743908,0.003605846177313135,-0.026285146179006354,-2.7064183763064475,0.08691347412119221,0.006082683709817265,191.29395198822021
