model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov1_b,cifar100,10,iso,10,-0.03501062693400975,-0.044755996110186234,0.0035504914715859173,0.00974536917617648,0.8949078824664607,0.11419533445939305,0.003757323252225307,20.36631345748901
dinov1_b,cifar100,10,aniso,10,-0.03501062693400975,-0.0009800443057640439,0.0054708414099872895,-0.0340305826282457,-2.919044093368492,0.11419533445939305,0.003757323252225307,20.561302661895756
dinov1_b,cifar100,5,iso,10,-0.011260063845703131,-0.02101594131001266,0.003416907962899281,0.009755877464309531,1.1300538744352293,0.11419533445939305,0.003757323252225307,21.67856311798096
dinov1_b,cifar100,5,aniso,10,-0.011260063845703131,-0.0011529710155923714,0.003905897838349328,-0.01010709283011076,-1.1435870272190154,0.11419533445939305,0.003757323252225307,20.737114191055298
dinov2_s,cifar100,20,iso,10,-0.01969533231040524,-0.025913441934430268,0.003161252716663771,0.0062181096240250325,0.5512925831601104,0.11326184133440935,0.00335544793386342,21.783831357955933
dinov2_s,cifar100,20,aniso,10,-0.01969533231040524,-0.00010672446183716823,0.005578257874239732,-0.019588607848568067,-1.6083133152705422,0.11326184133440935,0.00335544793386342,22.60456609725952
dinov2_s,cifar100,10,iso,10,-0.007239776017942803,-0.02445758340151871,0.0016213345966142275,0.017217807383575902,1.7819499887903512,0.11326184133440935,0.00335544793386342,19.570008277893066
dinov2_s,cifar100,10,aniso,10,-0.007239776017942803,-0.0017573252010307766,0.0054754941557547355,-0.005482450816912026,-0.4989964824841992,0.11326184133440935,0.00335544793386342,19.526970863342285
dinov2_s,cifar100,5,iso,10,0.005580662011519022,-0.009594661138530395,0.005060279376482741,0.015175323150049418,1.995778565433009,0.11326184133440935,0.00335544793386342,21.627511501312256
dinov2_s,cifar100,5,aniso,10,0.005580662011519022,-0.0004118891259649565,0.003232877251538428,0.005992551137483979,0.9174739780108698,0.11326184133440935,0.00335544793386342,21.84078025817871
dinov2_b,cifar100,20,iso,10,0.012388433575810405,-0.02815644575692505,0.0026433830753815786,0.04054487933273545,5.3979217437748765,0.11196180005418092,0.002229551727113432,21.142444849014282
dinov2_b,cifar100,20,aniso,10,0.012388433575810405,0.002194585001226543,0.008232645762951525,0.010193848574583863,0.9415885192192486,0.11196180005418092,0.002229551727113432,21.53869867324829
dinov2_b,cifar100,10,iso,10,0.0060708356707942215,-0.022719392409438623,0.0026136868350996557,0.02879022808023285,5.273363597585932,0.11196180005418092,0.002229551727113432,23.904941320419308
dinov2_b,cifar100,10,aniso,10,0.0060708356707942215,-0.002075868907197734,0.002701680490745879,0.008146704577991956,1.4806200583842684,0.11196180005418092,0.002229551727113432,23.73675012588501
