model,dataset,stat,n_quads,delta,delta_sd,null_mean,null_sd,excess,time_s
clip_b,imagenet,p999,100000,0.08695395326971014,0.000681332002529889,0.09368401271168025,0.001137096686674769,-0.00673005944197011,2.3124756813049316
clip_b,imagenet,max,500000,0.12302522715153039,0.005644122493340373,0.14759392375521083,0.004849848936418459,-0.02456869660368044,8.174167156219482
clip_b,imagenet,p999,500000,0.08668419602221591,0.0002675039684350675,0.09388881497231355,0.0015860344309818514,-0.007204618950097635,8.174267292022705
clip_b,imagenet,max,1000000,0.1266171150996368,0.00638202032789417,0.15206415363207368,0.0008586672133902064,-0.025447038532436878,12.80686092376709
clip_b,imagenet,p999,1000000,0.08664684405148507,0.00021890670634014858,0.09376096962779013,0.0014864819439416443,-0.007114125576305058,12.806905031204224
clip_b,imagenet,max,2000000,0.12688086246996158,0.0036793121052672577,0.15757500982604644,0.0027988009429246088,-0.03069414735608486,28.685601234436035
clip_b,imagenet,p999,2000000,0.08674436881342787,0.00012677477551303266,0.09372270226995892,0.0015646950166223073,-0.006978333456531052,28.68566346168518
i21k_l,cifar100,max,10000,0.11406177477798347,0.006245324250835968,0.15931966624867164,0.004459324174506222,-0.045257891470688164,0.08201766014099121
i21k_l,cifar100,p999,10000,0.09290266660500805,0.0024699040715508176,0.12677717664256674,0.002880711826156223,-0.03387451003755869,0.08205819129943848
i21k_l,cifar100,max,50000,0.12338291095823557,0.007188325159428858,0.1702869617386246,0.003626563325353963,-0.04690405078038902,0.2475733757019043
i21k_l,cifar100,p999,50000,0.09357719045145904,0.0008251944832446653,0.12781713715206763,0.0010676157182546134,-0.03423994670060859,0.24761462211608887
i21k_l,cifar100,max,100000,0.13102627640134412,0.004842375520728692,0.17837806221066277,0.002261099915234784,-0.04735178580931865,0.4742434024810791
i21k_l,cifar100,p999,100000,0.09372781871010441,0.0006421159086221621,0.12761006705729236,0.001668816454904976,-0.03388224834718795,0.4743473529815674
i21k_l,cifar100,max,500000,0.13567005864275186,0.002268764796920949,0.18476073966064255,0.006693536549513465,-0.049090681017890686,3.34162974357605
i21k_l,cifar100,p999,500000,0.09395713512929824,0.00021135002477319726,0.12728801239906234,0.0018539566050845687,-0.03333087726976411,3.3417434692382812
i21k_l,cifar100,max,1000000,0.13750761121756155,0.0010206745842564855,0.1892160197347832,0.005819497855849299,-0.05170840851722164,6.637710094451904
i21k_l,cifar100,p999,1000000,0.09392513625632108,0.0001400892418995047,0.1272894188103719,0.0017297639366790122,-0.033364282554050814,6.63775372505188
i21k_l,cifar100,max,2000000,0.1378248132313599,0.0006833290044907683,0.19127622480021853,0.0036135740596502917,-0.05345141156885863,12.822583198547363
i21k_l,cifar100,p999,2000000,0.09395561505304571,0.00018759544220324316,0.12729640686378385,0.001967503725203129,-0.03334079181073814,12.822646141052246
dinov2_l,cifar100,max,10000,0.05342729054902996,0.016301670367265403,0.12484204319428911,0.0023249218156304215,-0.07141475264525915,0.15204858779907227
dinov2_l,cifar100,p999,10000,0.03614482043410687,0.00120176836376056,0.10555532829900571,0.0028452479590208566,-0.06941050786489884,0.15215325355529785
dinov2_l,cifar100,max,50000,0.08446160354508786,0.014625319245439328,0.13900020379771336,0.0008916791788366958,-0.054538600252625496,0.3431575298309326
dinov2_l,cifar100,p999,50000,0.036391831950997926,0.00031502762251690316,0.10619287562390552,0.0029475324164227293,-0.0698010436729076,0.34322047233581543
dinov2_l,cifar100,max,100000,0.08842774990662196,0.01008271616908169,0.14246259831999794,0.0009172483684064199,-0.05403484841337598,0.5751914978027344
dinov2_l,cifar100,p999,100000,0.03644939494022511,0.0005337435574440556,0.10522212596825235,0.0032401694861423,-0.06877273102802725,0.5752918720245361
dinov2_l,cifar100,max,500000,0.0983998808058492,0.0019029998758363228,0.1485327585711685,0.0026584382236903943,-0.050132877765319286,3.035377264022827
dinov2_l,cifar100,p999,500000,0.03646468310739012,0.00016461804818072786,0.10553390112892876,0.0032703355295899315,-0.06906921802153863,3.0354690551757812
dinov2_l,cifar100,max,1000000,0.09985008118281762,0.0013897392576177996,0.15185221884628383,0.004739600224396596,-0.052002137663466216,5.903060436248779
dinov2_l,cifar100,p999,1000000,0.03654440854878405,8.787706627048153e-05,0.10549549555865863,0.00334475685847188,-0.06895108700987457,5.903136491775513
dinov2_l,cifar100,max,2000000,0.09987669134726371,0.0016466834896630396,0.15497894378952184,0.006033150039168001,-0.05510225244225814,13.668456792831421
dinov2_l,cifar100,p999,2000000,0.036559730484728825,6.338585529896553e-05,0.1055344590502149,0.003362682751206134,-0.06897472856548607,13.668527364730835
clip_b,cifar100,max,10000,0.1180764229500261,0.006056690997944352,0.16275593261561094,0.006346985662324399,-0.04467950966558484,0.09411168098449707
clip_b,cifar100,p999,10000,0.10116375728823242,0.003130123736802803,0.13219624403795488,0.004257165048704071,-0.031032486749722463,0.09416532516479492
clip_b,cifar100,max,50000,0.12950020493149436,0.0054304372960274,0.17650960119743694,0.003510370896785562,-0.04700939626594258,0.2297806739807129
clip_b,cifar100,p999,50000,0.10088821723051966,0.0009501028165582049,0.1316549867757628,0.001988219993786995,-0.030766769545243128,0.22983503341674805
clip_b,cifar100,max,100000,0.13415053860563877,0.006196326913686083,0.18396126465430748,0.00332229434165626,-0.04981072604866871,0.40072035789489746
clip_b,cifar100,p999,100000,0.10157364752882155,0.0006079092513711255,0.13164049244511247,0.0025668202079383376,-0.030066844916290927,0.4008052349090576
clip_b,cifar100,max,500000,0.14103894015431093,0.0027354401390508286,0.18996623910303226,0.006223393333868958,-0.04892729894872133,2.6865763664245605
clip_b,cifar100,p999,500000,0.1009863390958035,0.00035877607415080425,0.1314549068920414,0.002871853614904166,-0.030468567796237897,2.686641216278076
clip_b,cifar100,max,1000000,0.14283730943282727,0.0030960095899395155,0.19451330745309567,0.0044797835804434895,-0.0516759980202684,5.905540704727173
clip_b,cifar100,p999,1000000,0.10110894225371507,0.00034401551131828625,0.13145997268118653,0.002651796528714941,-0.030351030427471462,5.905642986297607
clip_b,cifar100,max,2000000,0.14484884674383436,0.0018459480139492175,0.19593813076810998,0.0059579920674716555,-0.05108928402427562,10.517524719238281
clip_b,cifar100,p999,2000000,0.10107840831681394,0.0001534465771728815,0.13154447673355765,0.002865777431929581,-0.030466068416743708,10.517568111419678
i21k_l,dtd,max,10000,0.09018159202728555,0.0036241452360736763,0.15372640882130323,0.0015402542886698114,-0.06354481679401768,0.09972953796386719
i21k_l,dtd,p999,10000,0.0772490683611544,0.0015352731422017037,0.1288859670481969,0.007375376940708404,-0.05163689868704251,0.09979605674743652
i21k_l,dtd,max,50000,0.0955166961464922,0.000711478789579458,0.16550558754710434,0.003958423318285352,-0.06998889140061214,0.2190556526184082
i21k_l,dtd,p999,50000,0.07747995617399198,0.0008607568770152757,0.1308798357663846,0.005505312658707644,-0.05339987959239262,0.21909642219543457
i21k_l,dtd,max,100000,0.096728705191888,0.0012401261301277884,0.17277221754627792,0.0024200703529067107,-0.07604351235438991,0.4075753688812256
i21k_l,dtd,p999,100000,0.07723645547486256,0.0006496488739244143,0.13064459936787798,0.005355412526141952,-0.05340814389301542,0.40761423110961914
i21k_l,dtd,max,500000,0.09745994519203147,1.3877787807814457e-17,0.18008029156589825,0.003543218936973816,-0.08262034637386678,2.5651822090148926
i21k_l,dtd,p999,500000,0.07733017339604878,0.0003670979005732898,0.13088658722535543,0.005537229068954546,-0.05355641382930665,2.565260648727417
i21k_l,dtd,max,1000000,0.09739759777990378,0.00018704223638307536,0.1813734479959749,0.005672466771138593,-0.08397585021607112,5.798900127410889
i21k_l,dtd,p999,1000000,0.0771178619220478,0.00019490340714668365,0.1308194426303468,0.0054869933495123304,-0.053701580708299015,5.799005508422852
i21k_l,dtd,max,2000000,0.09745994519203147,1.3877787807814457e-17,0.1813734479959749,0.005672466771138593,-0.08391350280394344,9.597193717956543
i21k_l,dtd,p999,2000000,0.07706561726540453,0.00011027089505064124,0.1307911291055993,0.005636011087509208,-0.05372551184019478,9.59728479385376
dinov2_l,dtd,max,10000,0.08954529827759541,0.007715447407594448,0.15789966374365375,0.010898063265231121,-0.06835436546605833,0.0796041488647461
dinov2_l,dtd,p999,10000,0.0686930465739913,0.0028890464158272903,0.1329561475864819,0.005936325949212613,-0.06426310101249058,0.07964468002319336
dinov2_l,dtd,max,50000,0.09747501468861568,0.003659937158306063,0.16919992691757832,0.007036105454959742,-0.07172491222896264,0.21400713920593262
dinov2_l,dtd,p999,50000,0.06914427549710334,0.001481869396120895,0.1337858082044814,0.00633448480404666,-0.06464153270737807,0.21404767036437988
dinov2_l,dtd,max,100000,0.10024241950530408,0.001828599257954726,0.17499616963383335,0.009591394907737145,-0.07475375012852928,0.3498058319091797
dinov2_l,dtd,p999,100000,0.06912236647907077,0.0006487726663913425,0.1332160445481848,0.005489765868161202,-0.06409367806911404,0.34984683990478516
dinov2_l,dtd,max,500000,0.10201216077699407,1.3877787807814457e-17,0.18486401903813873,0.01207901059010576,-0.08285185826114466,2.409964084625244
dinov2_l,dtd,p999,500000,0.06926402629604358,0.00039434552188302675,0.13332528513624622,0.006067526082309524,-0.06406125884020264,2.4100098609924316
dinov2_l,dtd,max,1000000,0.10201216077699407,1.3877787807814457e-17,0.18636463747470686,0.013150180083009699,-0.08435247669771279,5.396231412887573
dinov2_l,dtd,p999,1000000,0.06903940143395115,0.00012174407029874646,0.13342613181446808,0.0061786340513052904,-0.06438673038051693,5.39627480506897
dinov2_l,dtd,max,2000000,0.10201216077699407,1.3877787807814457e-17,0.18636463747470686,0.013150180083009699,-0.08435247669771279,8.560470581054688
dinov2_l,dtd,p999,2000000,0.0691697395254702,0.00016921896400624137,0.13328427489371816,0.006267858722707327,-0.06411453536824796,8.560518026351929
clip_b,dtd,max,10000,0.11207439152282102,0.004690556430554535,0.1601569101646503,0.008644314202902213,-0.04808251864182929,0.07173037528991699
clip_b,dtd,p999,10000,0.09772949828045233,0.002433897412798156,0.1326070804280024,0.005030212168255142,-0.034877582147550074,0.0718224048614502
clip_b,dtd,max,50000,0.1164990784256325,0.0023372781782939685,0.1712566438275166,0.008630521622063871,-0.054757565401884103,0.23275136947631836
clip_b,dtd,p999,50000,0.0991535063376435,0.0006325495740783903,0.13436992602053574,0.004871698702341542,-0.03521641968289224,0.23279166221618652
clip_b,dtd,max,100000,0.11749334020246154,0.001835498752663765,0.17672756386926824,0.005796061740487143,-0.05923422366680671,0.40735650062561035
clip_b,dtd,p999,100000,0.09852383346728445,0.0005290045835701076,0.1336208394627495,0.004168882492065731,-0.035097005995465044,0.4074387550354004
clip_b,dtd,max,500000,0.11979528802337283,1.3877787807814457e-17,0.18491369407976274,0.011530594177140042,-0.06511840605638991,2.281975269317627
clip_b,dtd,p999,500000,0.09882658147110926,0.00018551046647280768,0.13387584907125885,0.004196938933492619,-0.03504926760014959,2.2820441722869873
clip_b,dtd,max,1000000,0.11979528802337283,1.3877787807814457e-17,0.1853691644818466,0.012027011927321368,-0.06557387645847376,4.088253498077393
clip_b,dtd,p999,1000000,0.0984745492678045,0.0002295679669357641,0.13388778632332113,0.0040412526539307944,-0.03541323705551663,4.088296413421631
clip_b,dtd,max,2000000,0.11979528802337283,1.3877787807814457e-17,0.1853691644818466,0.012027011927321368,-0.06557387645847376,8.30692982673645
clip_b,dtd,p999,2000000,0.09860773430673947,0.00015819280689328567,0.13378328094973482,0.0039982404324066575,-0.03517554664299535,8.306975603103638
