model,dataset,b,n_per_class,delta,excess
clip_b,cifar100,-1,500,0.14252931907632957,-0.04696117961207244
clip_b,cifar100,0,500,0.13947974052827214,-0.05028030984979978
clip_b,cifar100,1,500,0.14295817264154517,-0.04684102290033648
clip_b,cifar100,2,500,0.14104414029798998,-0.047792657959434465
clip_b,cifar100,3,500,0.14231169205316,-0.04714605967362309
clip_b,cifar100,4,500,0.14333393873234554,-0.04604038124180074
clip_b,cifar100,5,500,0.14435161741427846,-0.045412652275397675
clip_b,cifar100,6,500,0.144150841913899,-0.045044026155533906
clip_b,cifar100,7,500,0.14119692801672654,-0.048073165741286006
clip_b,cifar100,8,500,0.142227011571926,-0.047175036466739345
clip_b,cifar100,9,500,0.1412089825975664,-0.04805244682265597
clip_b,cifar100,10,500,0.1433459350127252,-0.046535329595060376
clip_b,cifar100,11,500,0.14056056944083983,-0.0484634429067447
clip_b,cifar100,12,500,0.1430501100131684,-0.046738246547092216
clip_b,cifar100,13,500,0.1449084690304613,-0.04498356994110006
clip_b,cifar100,14,500,0.13802598424465443,-0.051938298249459086
clip_b,cifar100,15,500,0.14176469354606852,-0.04864532213889397
clip_b,cifar100,16,500,0.14397110096949617,-0.04534040729646735
clip_b,cifar100,17,500,0.14110774935449416,-0.047911229979574005
clip_b,cifar100,18,500,0.1420100204910346,-0.04744553196454607
clip_b,cifar100,19,500,0.14297645806030784,-0.045863075076519405
clip_b,cifar100,20,500,0.1411277382831411,-0.04807650428925453
clip_b,cifar100,21,500,0.14401057900676018,-0.04551933426900395
clip_b,cifar100,22,500,0.14261768718856294,-0.04653335848672374
clip_b,cifar100,23,500,0.1418371248795978,-0.04734877814876823
clip_b,cifar100,24,500,0.1398207148033201,-0.04905511154432943
clip_b,cifar100,25,500,0.1386524368257307,-0.05110789351731859
clip_b,cifar100,26,500,0.14121715424416278,-0.04852287665182631
clip_b,cifar100,27,500,0.14019899353348872,-0.04878099474129527
clip_b,cifar100,28,500,0.14062486732857046,-0.04847863278195319
clip_b,cifar100,29,500,0.139952795633604,-0.04900410095084026
i21k_l,dtd,-1,80,0.09745994519203145,-0.08296189377974779
i21k_l,dtd,0,80,0.0988261363214386,-0.0840349376309748
i21k_l,dtd,1,80,0.09636426644781369,-0.08316743083530377
i21k_l,dtd,2,80,0.09673556342512539,-0.0840064378902068
i21k_l,dtd,3,80,0.10079413405358732,-0.0795077935042642
i21k_l,dtd,4,80,0.10261580186191825,-0.07813788267372655
i21k_l,dtd,5,80,0.108557137482642,-0.07190180711182113
i21k_l,dtd,6,80,0.10661062613719348,-0.07437024007301175
i21k_l,dtd,7,80,0.10588202255979608,-0.07428194109510443
i21k_l,dtd,8,80,0.09606941544963554,-0.08488742602046892
i21k_l,dtd,9,80,0.1060554476555074,-0.07425033818520033
i21k_l,dtd,10,80,0.09758755732397738,-0.08326743009388145
i21k_l,dtd,11,80,0.09879967571602677,-0.08041950165513417
i21k_l,dtd,12,80,0.11036016074742193,-0.06951792085263948
i21k_l,dtd,13,80,0.09871936356096013,-0.08047626934844208
i21k_l,dtd,14,80,0.09813653046247356,-0.08179189956571992
i21k_l,dtd,15,80,0.1012208599174181,-0.07930046694432467
i21k_l,dtd,16,80,0.0985244123136703,-0.081545967742454
i21k_l,dtd,17,80,0.10884939757607719,-0.07130499557941967
i21k_l,dtd,18,80,0.09955988710446063,-0.08281446988228287
i21k_l,dtd,19,80,0.09798939175220388,-0.08248713116425534
i21k_l,dtd,20,80,0.09771347343174253,-0.0830864011411829
i21k_l,dtd,21,80,0.09370316423148685,-0.08626683501024478
i21k_l,dtd,22,80,0.09138186597032656,-0.08772206561340988
i21k_l,dtd,23,80,0.10215029918013402,-0.0780104530096088
i21k_l,dtd,24,80,0.09419170550963539,-0.08721904228443979
i21k_l,dtd,25,80,0.10014718981671082,-0.08089253549004878
i21k_l,dtd,26,80,0.09208729662535804,-0.0892589152856154
i21k_l,dtd,27,80,0.10141627390536105,-0.0809825699537995
i21k_l,dtd,28,80,0.10266860537761224,-0.07685959379007129
i21k_l,dtd,29,80,0.10313180279274466,-0.07667464709528936
dinov2_l,dtd,-1,80,0.10201216077699406,-0.0883590785996919
dinov2_l,dtd,0,80,0.10114722347509697,-0.08851641857762443
dinov2_l,dtd,1,80,0.10196963203747661,-0.08807684571116986
dinov2_l,dtd,2,80,0.09295804963023054,-0.09615076625955855
dinov2_l,dtd,3,80,0.10768276731507039,-0.08247953867630876
dinov2_l,dtd,4,80,0.10979030995934769,-0.07944563370962737
dinov2_l,dtd,5,80,0.10294118326908756,-0.08471547779520867
dinov2_l,dtd,6,80,0.10057953389408707,-0.08941555602475258
dinov2_l,dtd,7,80,0.10783764249289107,-0.08105640455214583
dinov2_l,dtd,8,80,0.09435439819493519,-0.09433536524981756
dinov2_l,dtd,9,80,0.09969961222599684,-0.08912903341738386
dinov2_l,dtd,10,80,0.10030769275490699,-0.08739829782466606
