model,family,size,dataset,modality,K,n,d,curv,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_999_native,delta_999_native_sd,excessB_real,excessB_star,depth,z_depth,depth_regime,time_s,p_bh,genuine_bh
meru_b,meru,b,imagenet,image,30,1000,512,0.10000000149011612,0.0869921721017013,0.00030618551813678987,0.09708160200629838,0.00493445174860625,-0.010089429904597077,-2.04076618841222,196,0.02487562189054726,0.08683109440661989,0.00031341056803818514,-0.011471250719583105,0.0001405776323491259,-0.01161182835193223,-0.8584714483188877,validated,579.3919517993928,0.04975124378109452,True
meru_b,meru,b,imagenet,text,30,1000,512,0.10000000149011612,0.08962371019941161,0.0003591036901193553,0.09074866899923947,0.003486400751525757,-0.001124958799827866,-0.3209723884396385,132,0.34328358208955223,0.0894910241408691,0.00037487912452686994,0.007612389668265024,-0.00099098542074197,0.008603375089006994,0.7628259913090601,validated,544.8648276329039,0.4119402985074627,False
clip_b,clip,b,cifar100,image,20,100,512,0.0,0.10324967885428613,0.0002958612508025213,0.1329807352432372,0.0062143209402058894,-0.029731056388951068,-4.778867805738393,200,0.0049751243781094535,0.10505212049154472,0.0003146061014067639,-0.03858854111102717,-0.0015110358646977518,-0.03707750524632941,-3.2828442795016337,unvalidated,166.83129739761353,0.01492537313432836,True
clip_b,clip,b,cifar100,text,20,100,512,0.0,0.08839629449658239,0.00040015426990191533,0.10507689648938684,0.003691263335282114,-0.016680601992804453,-4.492620097152034,200,0.0049751243781094535,0.09354787453149048,0.000681586521552722,0.004935764922233078,0.0019855275062456933,0.0029502374159873835,0.31036894207036875,unvalidated,169.72531127929688,0.01492537313432836,True
clip_b,clip,b,imagenet,image,30,1000,512,0.0,0.08538653498149491,0.0003063111870813772,0.09394758206852223,0.0051456463443959564,-0.008561047087027318,-1.6608056998548135,187,0.06965174129353234,0.10650366342690168,0.00022195612933126191,-0.012001219878219796,-0.0005687346798707582,-0.011432485198349038,-0.9932810002196932,validated,583.0365936756134,0.11144278606965173,False
clip_b,clip,b,imagenet,text,30,1000,512,0.0,0.09200222545207663,0.0004258194250684439,0.08440998033591632,0.003916663046102397,0.007592245116160316,1.9270916719321227,2,0.9900497512437813,0.09997998423764493,0.00044225452431122784,0.004229216068076774,0.0024072099357029674,0.0018220061323738074,0.17718895316933622,validated,572.1559162139893,0.9900497512437813,False
meru_l,meru,l,cifar100,image,20,100,512,0.10000000149011612,0.11805290185547887,0.0005776100350159427,0.13019207587243786,0.006001704373310554,-0.012139174016958965,-2.0133185994975227,195,0.02985074626865672,0.11795995255565304,0.0005616334983552087,-0.003380701689377264,0.0005163651951062582,-0.003897066884483522,-0.2886388571363096,unvalidated,179.05197954177856,0.055109070034443174,False
meru_l,meru,l,cifar100,text,20,100,512,0.10000000149011612,0.10239843380324552,0.0004339311732107896,0.10866942719689904,0.003462369851761237,-0.006270993393653543,-1.7971265116122308,190,0.05472636815920398,0.10227820416307976,0.00042756099379983,0.0064094525427936255,0.0007971461864561437,0.005612306356337482,0.5846947735891204,unvalidated,174.73619627952576,0.09381663113006397,False
meru_l,meru,l,imagenet,image,30,1000,512,0.10000000149011612,0.0880371963631458,0.00041106739872550486,0.09553552200120748,0.0046836627210345245,-0.007498325638061673,-1.5948227692810582,184,0.0845771144278607,0.08784094947973832,0.0004058052017085079,-0.005503570657636458,-7.510392532980582e-07,-0.005502819618383161,-0.5239199213470397,validated,561.8856365680696,0.11940298507462688,False
meru_l,meru,l,imagenet,text,30,1000,512,0.10000000149011612,0.09306237285244087,0.0005141378463243364,0.09191866482589854,0.003392429310744487,0.001143708026542331,0.33332905931995505,75,0.6268656716417911,0.09286824578259853,0.0004964120020661965,0.00528075915811968,-0.00016208060329485352,0.005442839761414534,0.5158904938086274,validated,563.4269247055054,0.7164179104477613,False
clip_l,clip,l,cifar100,image,20,100,512,0.0,0.11229421882495416,0.00027312028972194057,0.1286542331877394,0.005912884749927149,-0.016360014362785225,-2.7638944822115747,199,0.009950248756218905,0.1232721391317045,0.00025820585651356966,-0.0212438422182594,-0.0018017165672001235,-0.019442125651059274,-1.6824762314916968,unvalidated,176.15205311775208,0.023880597014925373,True
clip_l,clip,l,cifar100,text,20,100,512,0.0,0.09201059402356512,0.0005027860200439127,0.10400683325577706,0.003324577927960892,-0.011996239232211936,-3.567780078210045,200,0.0049751243781094535,0.09808187804396362,0.0004496558844490131,0.0036064172407068436,-0.001917029412483759,0.005523446653190603,0.484738988465204,unvalidated,167.43464469909668,0.01492537313432836,True
clip_l,clip,l,imagenet,image,30,1000,512,0.0,0.08406910472394867,0.0001726778753030312,0.09403545626627537,0.004648180648181762,-0.009966351542326696,-2.14266229639739,197,0.01990049751243781,0.10388022409564636,0.00021782187887243358,-0.013036298856796164,0.00014809489234201,-0.013184393749138174,-1.2064515360110373,validated,587.4447450637817,0.04341926729986431,True
clip_l,clip,l,imagenet,text,30,1000,512,0.0,0.09215643290131093,0.00031638216280678886,0.08590438517377269,0.0036571504681795213,0.0062520477275382355,1.7031792594988149,5,0.9751243781094528,0.10117525810076948,0.0002843830793008161,0.003765226323631521,6.596000134866109e-05,0.0036992663222828602,0.3949537856845502,validated,572.0500476360321,0.9900497512437813,False
