model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
i21k_t,fashionmnist,haar,p999,10,192,0.1533356490177405,0.0,0.13496173420023516,0.02022444667831633,0.01837391481750533,0.9085002477326092,0.17,34,0.8308457711442786,69.71171236038208,False,0.8308457711442786,False
i21k_s,fashionmnist,haar,p999,10,384,0.10164670080883054,0.0,0.13484621688446394,0.019323105613359048,-0.03319951607563343,-1.7181252713684343,0.98,196,0.02487562189054726,68.66562223434447,True,0.03731343283582089,True
i21k_b,fashionmnist,haar,p999,10,768,0.09840654422505626,0.0,0.14027749388706215,0.01964937088947689,-0.041870949662005885,-2.1309053555719504,1.0,200,0.0049751243781094535,69.30622458457947,True,0.009426551453260016,True
i21k_l,fashionmnist,haar,p999,10,1024,0.09336748126687247,1.3877787807814454e-17,0.1440646611431359,0.020008579054677574,-0.05069717987626343,-2.5337721253329843,1.0,200,0.0049751243781094535,70.50452709197998,True,0.009426551453260016,True
dinov1_b,fashionmnist,haar,p999,10,768,0.13503588484727033,0.0,0.14177537125814085,0.020591499756717747,-0.006739486410870493,-0.3272945871109661,0.635,127,0.3681592039800995,71.09522819519044,False,0.4009801737580753,False
dinov2_s,fashionmnist,haar,p999,10,384,0.10671717081770522,1.3877787807814454e-17,0.1380871366502565,0.020059024304783117,-0.031369965832551264,-1.5638829364731874,0.965,193,0.03980099502487562,67.87165665626526,True,0.056189640035118525,False
dinov2_b,fashionmnist,haar,p999,10,768,0.08306454514354546,0.0,0.14483432519123593,0.022875024736898182,-0.06176978004769047,-2.700315333344919,1.0,200,0.0049751243781094535,68.2295286655426,True,0.009426551453260016,True
dinov2_l,fashionmnist,haar,p999,10,1024,0.10601734515806413,0.0,0.14116521578033325,0.01957222188171436,-0.035147870622269095,-1.7958038098426894,0.985,197,0.01990049751243781,69.66511869430542,True,0.030485868529691963,True
dinov2_g,fashionmnist,haar,p999,10,1536,0.10173915569675243,1.3877787807814454e-17,0.1472436119578592,0.022555760550536454,-0.04550445626110676,-2.017420612315576,0.995,199,0.009950248756218905,71.74018502235413,True,0.017057569296375266,True
clip_b,fashionmnist,haar,p999,10,512,0.13816459551684931,0.0,0.17313741241416278,0.027445651324415298,-0.03497281689731346,-1.2742571303528183,0.905,181,0.09950248756218906,69.79670476913452,False,0.1279317697228145,False
clip_l,fashionmnist,haar,p999,10,768,0.11607822501778645,1.3877787807814454e-17,0.15284402585387374,0.024240424819217173,-0.03676580083608731,-1.5167143773379892,0.94,188,0.06467661691542287,69.43812608718872,False,0.08623548922056383,False
siglip_b,fashionmnist,haar,p999,10,768,0.11203997664263372,0.0,0.15401994206033626,0.020961061701837518,-0.04197996541770253,-2.0027594982949948,0.99,198,0.01492537313432836,70.90216326713563,True,0.024423337856173677,True
i21k_t,mnist,haar,p999,10,192,0.13427752465995454,0.0,0.1600228967362098,0.02543129649905667,-0.02574537207625524,-1.0123499632513906,0.84,168,0.16417910447761194,68.90769195556639,False,0.19701492537313434,False
i21k_s,mnist,haar,p999,10,384,0.12767443878048385,0.0,0.1643914992831338,0.028183016685053405,-0.036717060502649945,-1.3028080319777298,0.905,181,0.09950248756218906,69.92064023017882,False,0.1279317697228145,False
i21k_b,mnist,haar,p999,10,768,0.13347234307490144,0.0,0.14648734847933564,0.02217468248261354,-0.013015005404434205,-0.5869308575055744,0.71,142,0.2935323383084577,70.50080728530885,False,0.3302238805970149,False
i21k_l,mnist,haar,p999,10,1024,0.12442113794682512,0.0,0.16401967264136574,0.025052931494552552,-0.039598534694540624,-1.5805948578572864,0.965,193,0.03980099502487562,69.94118928909303,True,0.056189640035118525,False
dinov1_b,mnist,haar,p999,10,768,0.10843945881596892,0.0,0.1419463941404372,0.022661960308604186,-0.033506935324468266,-1.4785541439566692,0.94,188,0.06467661691542287,69.9525637626648,False,0.08623548922056383,False
dinov2_s,mnist,haar,p999,10,384,0.14935831439413907,0.0,0.15359260209683634,0.02324792623785376,-0.004234287702697293,-0.1821361466556425,0.56,112,0.4427860696517413,67.24709105491638,False,0.46722907203114866,False
dinov2_b,mnist,haar,p999,10,768,0.14131261088643954,0.0,0.1585954282560053,0.02723479178245203,-0.017282817369565745,-0.634585992344595,0.735,147,0.26865671641791045,64.66993713378906,False,0.30703624733475476,False
dinov2_l,mnist,haar,p999,10,1024,0.15036074346998407,0.0,0.16415567971288642,0.0269046511778451,-0.013794936242902343,-0.5127342537063599,0.66,132,0.34328358208955223,65.40296959877014,False,0.3802525832376578,False
dinov2_g,mnist,haar,p999,10,1536,0.1472739529811991,2.7755575615628914e-17,0.1690582383310641,0.02768685439012351,-0.021784285349864985,-0.7868096910870418,0.79,158,0.21393034825870647,66.59836339950562,False,0.25250795204306337,False
