model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,store_centroids,time_s
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814454e-17,0.15578422974539066,0.025646068079391102,-0.04906705892768541,-1.913239049970204,0.98,196,0.02487562189054726,0,55.42147707939148
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.16068459099206506,0.027664045027261063,-0.0776200458485196,-2.8058096989081043,1.0,200,0.0049751243781094535,0,56.24285626411438
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.16406292543412954,0.025180259082898192,-0.05804558027606541,-2.305201868057368,0.995,199,0.009950248756218905,0,56.94061231613159
dinov2_g,fashionmnist,0.10173915569675243,1.3877787807814454e-17,0.16820434329814218,0.02615404447364369,-0.06646518760138974,-2.5412967263387864,1.0,200,0.0049751243781094535,0,62.00738573074341
clip_b,fashionmnist,0.13816459551684931,0.0,0.17494661429583974,0.02972693580482858,-0.036782018778990455,-1.2373296400436908,0.885,177,0.11940298507462685,0,57.412331819534295
clip_l,fashionmnist,0.11607822501778645,1.3877787807814454e-17,0.16348546043006773,0.028516066083253095,-0.04740723541228127,-1.6624745949835829,0.955,191,0.04975124378109453,0,56.092454195022576
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17053848218333542,0.02604380494086888,-0.0584985055407017,-2.246158181322566,1.0,200,0.0049751243781094535,0,56.49008560180664
i21k_t,mnist,0.13427752465995454,0.0,0.16713770542579026,0.02895683175218482,-0.03286018076583569,-1.1347988981341637,0.89,178,0.11442786069651742,0,58.36893129348755
i21k_s,mnist,0.12767443878048385,0.0,0.17147678516425605,0.029622173929362245,-0.0438023463837722,-1.4787012758828686,0.93,186,0.07462686567164177,0,58.516275882720954
i21k_b,mnist,0.13347234307490144,0.0,0.16324304178741555,0.02736165213925253,-0.02977069871251412,-1.0880446312598795,0.905,181,0.09950248756218906,0,58.97444558143616
i21k_l,mnist,0.12442113794682512,0.0,0.176808454853945,0.02596073472920949,-0.05238731690711988,-2.017944309109894,0.98,196,0.02487562189054726,0,59.48091268539429
dinov1_b,mnist,0.10843945881596892,0.0,0.1530374254383447,0.026699680392821744,-0.04459796662237578,-1.6703558232242368,0.965,193,0.03980099502487562,0,59.23506546020508
dinov2_s,mnist,0.14935831439413907,0.0,0.16905974509321975,0.02746619815946027,-0.019701430699080674,-0.7172973334241692,0.77,154,0.2338308457711443,0,58.61280632019043
dinov2_b,mnist,0.14131261088643954,0.0,0.16904780243525913,0.029296606808334263,-0.027735191548819562,-0.946703204581682,0.81,162,0.19402985074626866,0,59.126487255096436
dinov2_l,mnist,0.15036074346998407,0.0,0.17475047057294513,0.028048675018767486,-0.024389727102961056,-0.869550062048984,0.815,163,0.1890547263681592,0,59.573960781097405
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.17575414850917004,0.030247820091956125,-0.02848019552797093,-0.9415619188883214,0.81,162,0.19402985074626866,0,58.08501029014587
clip_b,mnist,0.13803716575248368,0.0,0.1529017017034228,0.026120083690560632,-0.014864535950939116,-0.5690845453267409,0.685,137,0.31840796019900497,0,58.593777179718025
clip_l,mnist,0.16480574915157226,0.0,0.1822801339431088,0.026777648720011975,-0.017474384791536512,-0.6525735315392805,0.72,144,0.2835820895522388,0,59.29241251945496
siglip_b,mnist,0.1132885938861466,0.0,0.1776082311626129,0.02576083957932564,-0.0643196372764663,-2.496798952472264,1.0,200,0.0049751243781094535,0,58.597113609313965
