epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
1,1100,6105,76.1,0.96875,0.0666,1e-05,1790080239.5359168
1,1150,6155,76.1,0.9609375,0.1829,1e-05,1790080405.6578312
1,1200,6205,76.2,0.9609375,0.1789,1e-05,1790080570.6310956
1,1250,6255,76.1,0.98828125,0.0316,1e-05,1790080745.3356965
1,1300,6305,76.0,0.96875,0.1665,1e-05,1790080919.1431491
1,1350,6355,75.9,0.94140625,0.2162,1e-05,1790081094.0016906
1,1400,6405,75.8,0.88671875,0.5806,1e-05,1790081267.8359847
1,1450,6455,75.8,0.953125,0.1364,1e-05,1790081436.9615345
1,1500,6505,75.7,0.96875,0.1407,1e-05,1790081614.4395113
1,1550,6555,75.6,0.94921875,0.1383,1e-05,1790081786.0503047
1,1600,6605,75.6,0.93359375,0.3622,1e-05,1790081959.2796385
1,1650,6655,75.4,0.9296875,0.2569,1e-05,1790082139.7089593
1,1700,6705,75.3,0.96484375,0.1514,1e-05,1790082320.9689949
1,1750,6755,75.1,0.9765625,0.0634,1e-05,1790082505.1361487
1,1800,6805,74.9,0.9375,0.1988,1e-05,1790082689.4806437
1,1850,6855,74.8,0.96875,0.1382,1e-05,1790082869.8717177
1,1900,6905,74.8,0.98046875,0.0927,1e-05,1790083045.6143029
1,1950,6955,74.7,0.90625,0.4636,1e-05,1790083222.1546993
1,2000,7005,74.6,0.953125,0.1367,1e-05,1790083400.5578542
1,2050,7055,74.5,0.95703125,0.2254,1e-05,1790083580.0557125
1,2100,7105,74.6,0.9375,0.2203,1e-05,1790083745.0175314
1,2150,7155,74.7,0.97265625,0.0736,1e-05,1790083911.8520093
1,2200,7205,74.7,0.9296875,0.2896,1e-05,1790084078.749667
1,2250,7255,74.7,0.9453125,0.2456,1e-05,1790084249.1793008
1,2300,7305,74.7,0.96875,0.1519,1e-05,1790084419.7203329
1,2350,7355,74.7,0.9765625,0.0629,1e-05,1790084593.9231908
1,2400,7405,74.7,0.9609375,0.2523,1e-05,1790084769.6318314
1,2450,7455,74.2,0.9453125,0.159,1e-05,1790084989.5260923
1,2500,7505,74.0,0.96484375,0.1186,1e-05,1790085190.8291223
1,2550,7555,74.0,0.9609375,0.1129,1e-05,1790085366.4443424
1,2600,7605,73.9,0.99609375,0.0317,1e-05,1790085545.5833185
1,2650,7655,73.9,0.94140625,0.2329,1e-05,1790085713.8172767
1,2700,7705,74.0,0.89453125,0.4971,1e-05,1790085886.0114295
1,2750,7755,73.9,0.96484375,0.1415,1e-05,1790086063.5258574
1,2800,7805,73.9,0.92578125,0.2919,1e-05,1790086243.783725
1,2850,7855,73.8,0.9375,0.3576,1e-05,1790086422.227683
1,2900,7905,73.8,0.9921875,0.0331,1e-05,1790086594.772226
1,2950,7955,73.8,0.9765625,0.0682,1e-05,1790086765.7567582
1,3000,8005,73.9,0.9453125,0.2977,1e-05,1790086936.2626536
1,3050,8055,73.9,0.9609375,0.2349,1e-05,1790087110.3733718
1,3100,8105,73.9,0.92578125,0.5485,1e-05,1790087282.5809069
1,3150,8155,73.8,0.94921875,0.1588,1e-05,1790087459.4682302
1,3200,8205,73.9,0.9296875,0.3009,1e-05,1790087627.4745548
1,3250,8255,73.9,0.9375,0.2032,1e-05,1790087797.3768861
1,3300,8305,73.9,0.92578125,0.2214,1e-05,1790087969.5625126
1,3350,8355,73.9,0.91015625,0.229,1e-05,1790088144.5603092
1,3400,8405,73.9,0.88671875,0.5288,1e-05,1790088317.4235563
