model,paradigm,n,d,variant,delta_max,delta_max_std
dinov1_b,SSL,1000,768,l2_chord,0.1369906834204536,0.007340329155590028
dinov1_b,SSL,1000,768,l2_geodesic,0.15193870663642883,0.00822912622243166
dinov1_b,SSL,1000,768,shufcoord,0.08208209354612281,0.00310572358967695
dinov1_b,SSL,1000,768,grp_wordnet,0.08350591977775533,0.0035433103618364254
dinov1_b,SSL,1000,768,grp_random,0.1168268839381025,0.004067096543006557
dinov1_b,SSL,1000,768,cls_random100,0.0950400969080603,0.005193525807369602
dinov2_s,SSL,1000,384,real,0.11934023713553761,0.010010055187258783
dinov2_s,SSL,1000,384,gauss,0.08123805180704702,0.003737401876795263
dinov2_s,SSL,1000,384,sphere,0.08715023053613043,0.005034072744254588
dinov2_s,SSL,1000,384,whitened,0.07114418146473589,0.004093131024363034
dinov2_s,SSL,1000,384,l2_chord,0.13944329209656856,0.012586317343897924
dinov2_s,SSL,1000,384,l2_geodesic,0.15925179421901703,0.018196795135736465
dinov2_s,SSL,1000,384,shufcoord,0.0815090993073027,0.0034573469217222146
dinov2_s,SSL,1000,384,grp_wordnet,0.07726398175704727,0.0023383443530767324
dinov2_s,SSL,1000,384,grp_random,0.10047862342795025,0.0033349439159986393
dinov2_s,SSL,1000,384,cls_random100,0.11740636533062998,0.010061755270739782
dinov2_b,SSL,1000,768,real,0.09609312291691063,0.01010475682590284
dinov2_b,SSL,1000,768,gauss,0.06129660191534527,0.002314976710283877
dinov2_b,SSL,1000,768,sphere,0.06543179547407021,0.002822320965577449
dinov2_b,SSL,1000,768,whitened,0.04867750514106396,0.012911444330665295
dinov2_b,SSL,1000,768,l2_chord,0.12018877157220068,0.00832560975893027
dinov2_b,SSL,1000,768,l2_geodesic,0.13598933815956116,0.014455522410571575
dinov2_b,SSL,1000,768,shufcoord,0.06243283341631637,0.00309924248789592
dinov2_b,SSL,1000,768,grp_wordnet,0.0682275712951893,0.0020672477817988226
dinov2_b,SSL,1000,768,grp_random,0.06945668948553538,0.00253683008971772
dinov2_b,SSL,1000,768,cls_random100,0.09682780603993887,0.0045114314584089555
dinov2_l,SSL,1000,1024,real,0.06707243551446997,0.013010494749811322
dinov2_l,SSL,1000,1024,gauss,0.0548860379455315,0.004534545953850686
dinov2_l,SSL,1000,1024,sphere,0.056358864135728784,0.0032828944089775443
dinov2_l,SSL,1000,1024,whitened,3.450411047785359e-09,2.114058836714337e-10
dinov2_l,SSL,1000,1024,l2_chord,0.09623726976447687,0.011482208753549215
dinov2_l,SSL,1000,1024,l2_geodesic,0.10618384927511215,0.010033016093075275
dinov2_l,SSL,1000,1024,shufcoord,0.05371775331798839,0.002167041811318799
dinov2_l,SSL,1000,1024,grp_wordnet,0.05995061575815243,0.003331374970269678
dinov2_l,SSL,1000,1024,grp_random,0.057916837530617604,0.0019436636719387505
dinov2_l,SSL,1000,1024,cls_random100,0.05161170563696125,0.0026314287097731195
dinov2_g,SSL,1000,1536,real,0.080310193643202,0.00731793959984157
dinov2_g,SSL,1000,1536,gauss,0.04573940277688114,0.0019514792608189228
dinov2_g,SSL,1000,1536,sphere,0.047271331236493006,0.001837867358131558
dinov2_g,SSL,1000,1536,whitened,8.608963069044907e-09,2.701818367825244e-10
dinov2_g,SSL,1000,1536,l2_chord,0.09836816162561161,0.010730228013666484
dinov2_g,SSL,1000,1536,l2_geodesic,0.10620144754648209,0.004511934705078602
dinov2_g,SSL,1000,1536,shufcoord,0.04554163666907618,0.001691257599719922
dinov2_g,SSL,1000,1536,grp_wordnet,0.05439482086484394,0.0017623535038052498
dinov2_g,SSL,1000,1536,grp_random,0.05623756377956438,0.002518574918586113
dinov2_g,SSL,1000,1536,cls_random100,0.07557107067486077,0.007047390375764322
clip_b,Contrastive,1000,512,real,0.12182197580918697,0.0037969401405856143
clip_b,Contrastive,1000,512,gauss,0.07376468533229993,0.00384753445102169
clip_b,Contrastive,1000,512,sphere,0.07620066029383496,0.0037718947738196525
clip_b,Contrastive,1000,512,whitened,0.06027370375536156,0.0066368566100492975
clip_b,Contrastive,1000,512,l2_chord,0.12096970669377083,0.003469079925685078
clip_b,Contrastive,1000,512,l2_geodesic,0.12280454486608505,0.0037675173953175545
clip_b,Contrastive,1000,512,shufcoord,0.09609117255378148,0.004476373170470056
clip_b,Contrastive,1000,512,grp_wordnet,0.12572762699084092,0.0054294540977649405
clip_b,Contrastive,1000,512,grp_random,0.17421573942625904,0.007781480433937385
clip_b,Contrastive,1000,512,cls_random100,0.12774087780165536,0.002763190969735544
clip_l,Contrastive,1000,768,real,0.11797463893929158,0.005085736507342754
clip_l,Contrastive,1000,768,gauss,0.06129660191534527,0.002314976710283877
clip_l,Contrastive,1000,768,sphere,0.06543179547407021,0.002822320965577449
clip_l,Contrastive,1000,768,whitened,0.04449096950372143,0.00708703349838638
clip_l,Contrastive,1000,768,l2_chord,0.11664223701527851,0.005853350935499191
clip_l,Contrastive,1000,768,l2_geodesic,0.11866746097803116,0.006170698907226324
clip_l,Contrastive,1000,768,shufcoord,0.0732588412546368,0.004182142020992729
clip_l,Contrastive,1000,768,grp_wordnet,0.1170777369274066,0.003786808577255938
clip_l,Contrastive,1000,768,grp_random,0.16181357806703228,0.004925564842150682
clip_l,Contrastive,1000,768,cls_random100,0.11988469017061618,0.0035720368923928937
siglip_b,Contrastive,1000,768,real,0.11547823498516958,0.006815697976247283
siglip_b,Contrastive,1000,768,gauss,0.06129660191534527,0.002314976710283877
siglip_b,Contrastive,1000,768,sphere,0.06543179547407021,0.002822320965577449
siglip_b,Contrastive,1000,768,whitened,0.0408016319065743,0.003913808762164664
siglip_b,Contrastive,1000,768,l2_chord,0.11766980409131311,0.0038737171264759942
siglip_b,Contrastive,1000,768,l2_geodesic,0.12155107408761978,0.004130660090595484
siglip_b,Contrastive,1000,768,shufcoord,0.08633664305370481,0.004527323903124334
siglip_b,Contrastive,1000,768,grp_wordnet,0.11826515175066787,0.0042282674227366104
siglip_b,Contrastive,1000,768,grp_random,0.15821605967023908,0.003692565164432269
siglip_b,Contrastive,1000,768,cls_random100,0.12782608670117543,0.0045715316049514685
