level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier3,12,0.1,iso,1000,1,-0.10557181749531287,-0.07863625623342478,-0.02693556126188809,-1.1048159608116606,40.87799620628357
hier3,12,0.1,iso,1000,2,-0.0970561266703787,-0.0803501912230905,-0.016705935447288198,-0.6513860336152191,40.77389645576478
hier3,12,0.1,iso,1000,3,-0.095694295223382,-0.07924624408708313,-0.016448051136298866,-0.6723229790917784,39.86695790290833
hier3,12,0.1,iso,1000,4,-0.0923873192231417,-0.07911539221587881,-0.013271927007262888,-0.5520926991423648,42.400433540344245
hier3,12,0.1,aniso,100,0,-0.1003981359422365,-0.08573088002870766,-0.01466725591352884,-0.6226301381397388,20.784372806549076
hier3,12,0.1,aniso,100,1,-0.10463812894878467,-0.08800908169116084,-0.016629047257623833,-0.6572615171417197,19.15993094444275
hier3,12,0.1,aniso,100,2,-0.09461017149384693,-0.08385426644979721,-0.010755905044049718,-0.4184842343065228,18.621634960174557
hier3,12,0.1,aniso,100,3,-0.08837402468613295,-0.08432240341258335,-0.004051621273549605,-0.16180082255192962,20.076538562774655
hier3,12,0.1,aniso,100,4,-0.09507163383756424,-0.08591365880117856,-0.009157975036385685,-0.40905161819100266,20.128192901611328
hier3,12,0.1,aniso,1000,0,-0.0935578439228918,-0.07750356040890856,-0.016054283513983247,-0.6695265480903515,39.774218559265144
hier3,12,0.1,aniso,1000,1,-0.10527311457591428,-0.07867601633144901,-0.026597098244465267,-1.070091281605108,37.909331560134895
hier3,12,0.1,aniso,1000,2,-0.09485542323801584,-0.08038052905537456,-0.014474894182641281,-0.5787764593832012,39.58185338973999
hier3,12,0.1,aniso,1000,3,-0.09641510219995847,-0.07881057995475241,-0.017604522245206047,-0.6965431604230646,38.51110291481018
hier3,12,0.1,aniso,1000,4,-0.09394884365636276,-0.07916360958206163,-0.014785234074301127,-0.6489610173320641,38.60403943061829
hier3,12,0.3,iso,100,0,-0.08373937943706923,-0.07826491147496233,-0.005474467962106919,-0.2481794071389036,8.79683780670166
hier3,12,0.3,iso,100,1,-0.09774707225452844,-0.08479496791425728,-0.012952104340271164,-0.5987186316527101,8.822271347045898
hier3,12,0.3,iso,100,2,-0.09110055057799367,-0.07865827892382643,-0.01244227165416724,-0.5152529932116869,8.746987819671629
hier3,12,0.3,iso,100,3,-0.07864648361079662,-0.0788693998744949,0.0002229162636982751,0.01014415581271473,9.169326066970823
hier3,12,0.3,iso,100,4,-0.08945205873454602,-0.0794178464110402,-0.01003421232350582,-0.40183075325814427,8.823061466217041
hier3,12,0.3,iso,1000,0,-0.08982684330780047,-0.07007013535326648,-0.019756707954533992,-0.8792162507271633,29.09022331237793
hier3,12,0.3,iso,1000,1,-0.0952032078949858,-0.07282760067093674,-0.02237560722404905,-0.9956390682948292,41.96155548095703
hier3,12,0.3,iso,1000,2,-0.09154733595818897,-0.07271196525364293,-0.01883537070454605,-0.799300619116145,41.20913577079772
hier3,12,0.3,iso,1000,3,-0.08879267802191856,-0.07221956240928272,-0.01657311561263583,-0.7278967819969355,37.703452587127686
hier3,12,0.3,iso,1000,4,-0.08322768026155307,-0.07241910044961734,-0.010808579811935726,-0.4827089362091898,37.63624811172485
hier3,12,0.3,aniso,100,0,-0.09030565941030932,-0.0792190482235594,-0.011086611186749931,-0.4860004100792503,20.497506380081177
hier3,12,0.3,aniso,100,1,-0.09982852534176014,-0.08400413215081459,-0.015824393190945543,-0.7024573112610735,19.602923870086673
hier3,12,0.3,aniso,100,2,-0.09268917270425436,-0.07927717439034444,-0.013411998313909906,-0.5654167098685965,20.404479026794434
hier3,12,0.3,aniso,100,3,-0.08089075720067301,-0.07886400023007449,-0.002026756970598509,-0.09112063107433023,19.99083256721497
hier3,12,0.3,aniso,100,4,-0.08577957141992636,-0.08055648533755297,-0.005223086082373374,-0.21951377863001906,20.67220950126648
hier3,12,0.3,aniso,1000,0,-0.08514213834735959,-0.07037729841911709,-0.0147648399282425,-0.624419193094744,50.4617965221405
hier3,12,0.3,aniso,1000,1,-0.0903722471807566,-0.07342574389867128,-0.016946503282085332,-0.7904001196885343,51.790988206863396
hier3,12,0.3,aniso,1000,2,-0.08671590432250864,-0.07287020392175657,-0.013845700400752059,-0.6305019823234178,59.46545243263245
hier3,12,0.3,aniso,1000,3,-0.08372820949324404,-0.07226201145890311,-0.01146619803434093,-0.5306233912036549,73.02142643928528
hier3,12,0.3,aniso,1000,4,-0.07538585304442508,-0.07255066602195108,-0.002835187022474012,-0.11584320903590985,61.350223779678345
hier3,12,0.6,iso,100,0,-0.06996263741827691,-0.065380420606181,-0.0045822168120959045,-0.2398017893282872,20.164708852767944
hier3,12,0.6,iso,100,1,-0.0756261284786938,-0.0707456576097275,-0.0048804708689663,-0.2537951739323594,9.81607437133789
hier3,12,0.6,iso,100,2,-0.07512604533158998,-0.06518931659443987,-0.009936728737150109,-0.5289728399422232,9.790549993515016
hier3,12,0.6,iso,100,3,-0.06356046016864132,-0.06503117574735799,0.0014707155787166831,0.0826003375425847,9.756703853607178
hier3,12,0.6,iso,100,4,-0.07565029538126798,-0.06524178427633594,-0.010408511104932044,-0.5300848777991608,9.821189403533936
hier3,12,0.6,iso,1000,0,-0.0692324788289172,-0.05492820637658356,-0.014304272452333644,-0.877886457494328,33.807876348495476
hier3,12,0.6,iso,1000,1,-0.07229060492797403,-0.056683284201516276,-0.01560732072645774,-0.9409054640073671,32.77941370010376
