model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,time_s,genuine,p_bh,genuine_bh,record_excess,record_genuine_bh,verdict_changed
i21k_l,dtd,haar_centered,p999,47,1024,0.07733017339604878,0.0003670979005732898,0.10728676517873448,0.004363522121156821,-0.0299565917826857,-6.841065351754431,200,0.0049751243781094535,183.43405604362488,True,0.01085481682496608,True,-0.031101010901936232,True,False
dinov1_b,dtd,haar_centered,p999,47,768,0.095200424225416,0.0003949681991277883,0.1216315217457694,0.005470148554162669,-0.0264310975203534,-4.819332923836852,200,0.0049751243781094535,187.2764904499054,True,0.01085481682496608,True,-0.02715425349143953,True,False
dinov2_s,dtd,haar_centered,p999,47,384,0.10531931977064338,0.00042696525002554325,0.12238081755358896,0.004855484033963303,-0.01706149778294556,-3.5003541849268616,200,0.0049751243781094535,191.1357080936432,True,0.01085481682496608,True,-0.01786566245563284,True,False
dinov2_b,dtd,haar_centered,p999,47,768,0.07665548771119285,0.00038836079159903727,0.11045474149108857,0.0038686238489627775,-0.033799253779895705,-8.693071147186368,200,0.0049751243781094535,189.296284198761,True,0.01085481682496608,True,-0.035036328011150475,True,False
dinov2_l,dtd,haar_centered,p999,47,1024,0.06926402629604357,0.0003943455218830268,0.10989918935449756,0.003462317167970737,-0.040635163058453966,-11.661014963661154,200,0.0049751243781094535,193.3964502811432,True,0.01085481682496608,True,-0.04195624531231597,True,False
dinov2_g,dtd,haar_centered,p999,47,1536,0.07308887946938485,0.0002303184640741918,0.11040923349507883,0.0037006273732505296,-0.037320354025694,-10.065396713839604,200,0.0049751243781094535,194.4266972541809,True,0.01085481682496608,True,-0.038635562101190964,True,False
clip_b,dtd,haar_centered,p999,47,512,0.09882658147110926,0.00018551046647280768,0.12225576473148772,0.006431983593503349,-0.02342918326037846,-3.641092078117485,200,0.0049751243781094535,190.47751569747925,True,0.01085481682496608,True,-0.02396591049614459,True,False
clip_l,dtd,haar_centered,p999,47,768,0.09791602685789023,0.0002366032967465189,0.12391608944207552,0.005772767182933138,-0.02600006258418526,-4.500138492217345,200,0.0049751243781094535,164.4785490036011,True,0.01085481682496608,True,-0.026618316393753144,True,False
siglip_b,dtd,haar_centered,p999,47,768,0.0961696797036115,0.00023303961698772178,0.11873888648784828,0.005422228985542925,-0.02256920678423678,-4.158509580317984,200,0.0049751243781094535,145.3020100593567,True,0.01085481682496608,True,-0.023298665622887002,True,False
i21k_t,fashionmnist,haar_centered,p999,10,192,0.1533356490177405,0.0,0.12960683309974227,0.018245915182954764,0.02372881591799822,1.3005001766184658,19,0.9054726368159204,188.96511554718015,False,0.9054726368159203,False,0.018373914817505332,False,False
i21k_s,fashionmnist,haar_centered,p999,10,384,0.10164670080883054,0.0,0.12823290043047042,0.01819408207827892,-0.026586199621639883,-1.4612553415585567,192,0.04477611940298507,162.9907126426697,True,0.07164179104477612,False,-0.03319951607563343,True,True
i21k_b,fashionmnist,haar_centered,p999,10,768,0.09840654422505626,0.0,0.13310009458938055,0.018160018544925,-0.03469355036432431,-1.910435844462272,198,0.01492537313432836,163.57610893249512,True,0.028279654359780047,True,-0.041870949662005885,True,False
i21k_l,fashionmnist,haar_centered,p999,10,1024,0.09336748126687247,1.3877787807814454e-17,0.13480637396431855,0.01856996272248952,-0.04143889269744608,-2.231501124515489,200,0.0049751243781094535,161.28334021568295,True,0.01085481682496608,True,-0.05069717987626343,True,False
dinov1_b,fashionmnist,haar_centered,p999,10,768,0.13503588484727033,0.0,0.13665331580448442,0.019399000223677403,-0.0016174309572140886,-0.08337702657686129,104,0.482587064676617,153.77651834487915,False,0.5186010247271108,False,-0.006739486410870493,False,False
dinov2_s,fashionmnist,haar_centered,p999,10,384,0.10671717081770522,1.3877787807814454e-17,0.13191537148916466,0.018833888352152932,-0.025198200671459437,-1.3379181292947924,184,0.0845771144278607,149.97658801078796,False,0.11710677382319173,False,-0.031369965832551264,False,False
dinov2_b,fashionmnist,haar_centered,p999,10,768,0.08306454514354546,0.0,0.13930814330389754,0.02159511418736107,-0.05624359816035211,-2.60445940097273,199,0.009950248756218905,158.62930035591125,True,0.01936264622831787,True,-0.06176978004769047,True,False
