level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,6,0.3,iso,100,4,-0.15020554951413956,-0.053991553159082294,-0.09621399635505726,-12.97471984627558,22.500484228134155
hier2,6,0.3,iso,1000,0,-0.15305932743912454,-0.05256992382019808,-0.10048940361892646,-12.713665966257222,82.12900447845459
hier2,6,0.3,iso,1000,1,-0.16282606293321472,-0.052450225607528655,-0.11037583732568607,-14.394628647301595,77.56075930595398
hier2,6,0.3,iso,1000,2,-0.16281718780990484,-0.052422900719627796,-0.11039428709027704,-14.628255269085889,78.0314109325409
hier2,6,0.3,iso,1000,3,-0.15853734865586383,-0.05265160656962374,-0.10588574208624009,-15.083516765594633,77.22113394737244
hier2,6,0.3,iso,1000,4,-0.1576758819533896,-0.052403205210900625,-0.10527267674248898,-13.418607323703872,55.51795816421509
hier2,6,0.3,aniso,100,0,-0.13699202614713432,-0.050718361434036775,-0.08627366471309755,-8.235551206792794,21.3048038482666
hier2,6,0.3,aniso,100,1,-0.15550389904315573,-0.05161991624471105,-0.10388398279844469,-8.751895075101132,20.740065097808838
hier2,6,0.3,aniso,100,2,-0.13947666791388358,-0.05179993245083061,-0.08767673546305296,-9.44655341517467,20.711790084838867
hier2,6,0.3,aniso,100,3,-0.15441993216671906,-0.05284026883652465,-0.10157966333019441,-10.147019287947431,20.59233856201172
hier2,6,0.3,aniso,100,4,-0.14732857474323802,-0.05371591235729243,-0.0936126623859456,-12.958328998158189,20.70469617843628
hier2,6,0.3,aniso,1000,0,-0.14242037083937084,-0.048933449061998216,-0.09348692177737263,-11.231560170662405,80.91688394546509
hier2,6,0.3,aniso,1000,1,-0.1463962152182466,-0.04976308038583949,-0.09663313483240712,-10.850677718842183,73.44848084449768
hier2,6,0.3,aniso,1000,2,-0.14194405659422582,-0.04859324739915892,-0.0933508091950669,-10.472699087060919,54.38425397872925
hier2,6,0.3,aniso,1000,3,-0.13994410458396528,-0.04785261649319321,-0.09209148809077207,-11.28347200464883,54.10492396354675
hier2,6,0.3,aniso,1000,4,-0.1423395509439638,-0.04826935585414166,-0.09407019508982215,-11.136743547081988,54.43744659423828
hier2,6,0.6,iso,100,0,-0.13219504140890848,-0.013567815406402204,-0.11862722600250628,-10.6597835606958,17.84443736076355
hier2,6,0.6,iso,100,1,-0.14581927249153803,-0.013983365772805711,-0.13183590671873233,-12.600878661539303,17.804504871368408
hier2,6,0.6,iso,100,2,-0.14181442379873954,-0.011937770956846503,-0.12987665284189304,-13.489795961703779,17.590223789215088
hier2,6,0.6,iso,100,3,-0.13819829815261928,-0.012601313923704598,-0.1255969842289147,-18.381766364052158,17.66598677635193
hier2,6,0.6,iso,100,4,-0.1291926902005194,-0.015478730169700899,-0.1137139600308185,-13.87340649034772,17.65356683731079
