level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,12,0.6,iso,100,4,-0.10946588284707863,-0.009872661624518204,-0.0995932212225604,-9.147270108855967,21.54874062538147
hier2,12,0.6,iso,1000,0,-0.10615396948900616,-0.015037521196031262,-0.0911164482929749,-11.738648462435432,78.52021956443788
hier2,12,0.6,iso,1000,1,-0.11420114161616317,-0.015222683700556171,-0.098978457915607,-14.384857272624213,77.3784580230713
hier2,12,0.6,iso,1000,2,-0.11318468865230635,-0.014446558807281157,-0.0987381298450252,-14.961540363785806,78.00397706031801
hier2,12,0.6,iso,1000,3,-0.10770070309736668,-0.016415267612002418,-0.09128543548536423,-15.7237568151441,76.86851406097412
hier2,12,0.6,iso,1000,4,-0.10749374114682313,-0.014165859704459204,-0.09332788144236392,-14.821187951115062,80.83488249778749
hier2,12,0.6,aniso,100,0,-0.07494092141192189,-0.01271901276147272,-0.06222190865044917,-6.1043694441427006,32.99371957778931
hier2,12,0.6,aniso,100,1,-0.03407187347731802,-0.0028374690973621552,-0.031234404379955862,-2.952096535996762,32.08475232124329
hier2,12,0.6,aniso,100,2,-0.058165297245668525,-0.00133610333988083,-0.0568291939057877,-5.619219710193794,23.21471261978149
hier2,12,0.6,aniso,100,3,-0.044511192165299085,-0.007419067642209774,-0.03709212452308931,-2.9530689546245306,23.369043111801147
hier2,12,0.6,aniso,100,4,-0.042118322113790435,-0.006861808019274334,-0.0352565140945161,-3.743437188524959,23.6311628818512
hier2,12,0.6,aniso,1000,0,-0.04548946025944886,-0.0026719650297345925,-0.042817495229714266,-3.754344779031429,58.88055086135864
hier2,12,0.6,aniso,1000,1,-0.039640541076930484,-0.0060765883165293105,-0.03356395276040118,-3.0234612448235647,60.59303903579712
hier2,12,0.6,aniso,1000,2,-0.04259548587600778,0.0008176372126233427,-0.04341312308863113,-3.0001582835426803,86.86319041252136
hier2,12,0.6,aniso,1000,3,-0.0359399638960555,-0.0013085882310636494,-0.03463137566499185,-3.2445383353475483,85.34455442428589
hier2,12,0.6,aniso,1000,4,-0.042762404003885424,-0.00018543306353748792,-0.04257697094034794,-3.7012445206314553,71.46636915206909
hier3,12,0.1,iso,1000,0,-0.14429204067242285,-0.005313741788176737,-0.13897829888424612,-16.842775465582047,77.89466571807861
hier3,12,0.1,iso,1000,1,-0.14788033676548068,-0.0052616104565346815,-0.14261872630894598,-17.966669152334198,53.77105498313904
hier3,12,0.1,iso,1000,2,-0.1468180784217457,-0.00524930380124275,-0.14156877462050296,-17.799075098594848,62.15482640266418
hier3,12,0.1,iso,1000,3,-0.13841494126431236,-0.003624135677879074,-0.13479080558643328,-16.50377791405485,79.9445400238037
hier3,12,0.1,iso,1000,4,-0.14333207118222469,-0.00484883625775561,-0.13848323492446907,-13.055337265533431,80.91380620002747
hier3,12,0.1,aniso,1000,0,-0.1420057799448557,-0.0051784010194396045,-0.13682737892541608,-16.61809365144102,75.80552315711975
hier3,12,0.1,aniso,1000,1,-0.14604991451047536,-0.004921814018558506,-0.14112810049191685,-18.7843515238143,61.978925466537476
hier3,12,0.1,aniso,1000,2,-0.1466988185508317,-0.005184528039151947,-0.14151429051167974,-17.94657689368396,64.54390525817871
hier3,12,0.1,aniso,1000,3,-0.1386109772323765,-0.003671177754864677,-0.13493979947751186,-15.355503163338375,64.95521903038025
hier3,12,0.1,aniso,1000,4,-0.14340961311742215,-0.004330974607953685,-0.1390786385094685,-13.448564934342725,64.87023162841797
hier3,12,0.3,iso,1000,0,-0.13494781135179645,-0.00399007120626563,-0.1309577401455308,-16.883133594548017,54.1569402217865
hier3,12,0.3,iso,1000,1,-0.13753020923668274,-0.004910061664095815,-0.13262014757258694,-17.089382956325725,55.46739411354065
hier3,12,0.3,iso,1000,2,-0.13643247609885578,-0.004748579966049596,-0.13168389613280618,-17.180748636053607,54.456589937210076
hier3,12,0.3,iso,1000,3,-0.12919280337557745,-0.0026838753630452003,-0.12650892801253225,-16.039369036231893,53.66452836990357
hier3,12,0.3,iso,1000,4,-0.13431660743412965,-0.003825997116887458,-0.13049061031724218,-14.010526150408511,54.45367622375488
hier3,12,0.3,aniso,1000,0,-0.12873205088296366,-0.0034125912238124217,-0.1253194596591512,-17.143590510870364,64.56248354911804
hier3,12,0.3,aniso,1000,1,-0.13181978196213778,-0.003649338490766815,-0.12817044347137094,-17.373309184750447,65.05107879638672
hier3,12,0.3,aniso,1000,2,-0.12753895664323867,-0.004532314078797209,-0.12300664256444145,-13.25842747867379,63.798197984695435
hier3,12,0.3,aniso,1000,3,-0.1259726406443129,-0.0024350369214706487,-0.12353760372284225,-13.680043447515795,65.90510535240172
hier3,12,0.3,aniso,1000,4,-0.12776690448487282,-0.002792314812807021,-0.1249745896720658,-13.297731322217162,64.3119809627533
hier3,12,0.6,iso,1000,0,-0.11179515254678846,-0.0015948041585604727,-0.11020034838822798,-14.063795649690983,52.24034547805786
hier3,12,0.6,iso,1000,1,-0.11617235430753095,-0.0033096388820693452,-0.1128627154254616,-14.883969425755426,56.008044719696045
hier3,12,0.6,iso,1000,2,-0.11402310567088135,-0.0020005077139357086,-0.11202259795694564,-20.47134097054565,77.41979217529297
hier3,12,0.6,iso,1000,3,-0.11005757406519123,-0.0004960283283308713,-0.10956154573686036,-15.069037849726017,66.18458485603333
hier3,12,0.6,iso,1000,4,-0.11293323190948705,-0.0027413031280903084,-0.11019192878139672,-13.88892375825684,53.22428488731384
hier3,12,0.6,aniso,1000,0,-0.04223548592538645,-0.0027298346252989988,-0.03950565130008745,-3.1506228381572856,63.444595098495476
hier3,12,0.6,aniso,1000,1,-0.04697591403746895,0.004088353084557832,-0.05106426712202678,-5.489452788080028,55.98014497756958
hier3,12,0.6,aniso,1000,2,-0.04609666229607663,0.0019129235256444472,-0.04800958582172108,-3.9249066042011567,56.8397057056427
hier3,12,0.6,aniso,1000,3,-0.05134469066478434,-0.002330901761649164,-0.049013788903135166,-4.067084952918114,55.60046410560608
hier3,12,0.6,aniso,1000,4,-0.051923458885249386,-0.00029482470294718284,-0.051628634182302215,-5.115673477030469,53.99163508415222
star,20,0.1,iso,100,0,-0.101376946032744,-0.09621374952295644,-0.005163196509787554,-0.24364070085321524,26.6050226688385
star,20,0.1,iso,100,1,-0.10553275710593718,-0.09615936595925273,-0.009373391146684463,-0.4568911031864613,22.119906425476074
star,20,0.1,iso,100,2,-0.09175035039183896,-0.09648869217859003,0.00473834178675106,0.2204067283178744,19.581189155578613
star,20,0.1,iso,100,3,-0.09111268537945877,-0.09588845726020508,0.004775771880746321,0.2285879545012495,19.69879722595215
star,20,0.1,iso,100,4,-0.09645917864324187,-0.09693982944929866,0.00048065080605678984,0.022897866501180985,19.662147521972656
star,20,0.1,iso,1000,0,-0.10128497784418918,-0.09493359827995312,-0.006351379564236065,-0.30722252738111744,58.65460443496704
star,20,0.1,iso,1000,1,-0.10429910568189872,-0.09561120981335962,-0.008687895868539089,-0.4275607875795388,58.03254246711731
star,20,0.1,iso,1000,2,-0.09083289986744306,-0.095343471116818,0.004510571249374942,0.2218844742576728,61.35090398788452
star,20,0.1,iso,1000,3,-0.09154424227052936,-0.09545003971659953,0.0039057974460701694,0.1915540285632116,57.997768878936775
star,20,0.1,iso,1000,4,-0.0964607288616156,-0.09586050686460568,-0.000600221997009931,-0.029137715345925613,56.99212694168091
star,20,0.1,aniso,100,0,-0.10120273860114316,-0.09622442050388784,-0.004978318097255338,-0.24066687299633666,21.807684421539307
star,20,0.1,aniso,100,1,-0.10328425865334707,-0.09648423999053912,-0.00680001866280798,-0.3343634290174431,20.83337903022766
star,20,0.1,aniso,100,2,-0.09391590275374503,-0.09699156461211812,0.0030756618583730605,0.1462568969915301,21.248582124710087
star,20,0.1,aniso,100,3,-0.09423117493374514,-0.09611276008086,0.0018815851471148527,0.08800394697865024,22.00862193107605
star,20,0.1,aniso,100,4,-0.09466855762334868,-0.0965149574333027,0.0018463998099540048,0.08614967396645573,21.460381031036373
star,20,0.1,aniso,1000,0,-0.1018088714177377,-0.09560774749506863,-0.006201123922669083,-0.2990664801250957,64.06603217124939
star,20,0.1,aniso,1000,1,-0.10405369356792994,-0.09533114468453063,-0.008722548883399295,-0.4295576607417296,59.56961107254028
star,20,0.1,aniso,1000,2,-0.09025826931739664,-0.0956274723365087,0.005369203019112047,0.2565243139918085,58.90656542778015
star,20,0.1,aniso,1000,3,-0.09102930266880586,-0.09500732435595527,0.003978021687149405,0.19494145321670825,59.77835011482239
star,20,0.1,aniso,1000,4,-0.09710141754666872,-0.09591076346292872,-0.0011906540837400006,-0.057541267545974474,66.9823513031006
star,20,0.3,iso,100,0,-0.09003759911283139,-0.08346918990205672,-0.006568409210774673,-0.3414088862786557,22.71787428855896
star,20,0.3,iso,100,1,-0.09498211453576624,-0.08479494789433087,-0.010187166641435376,-0.5305649233991522,21.951629877090454
star,20,0.3,iso,100,2,-0.08235354562933442,-0.08411081620335863,0.0017572705740242086,0.09198391807110318,24.056617021560672
star,20,0.3,iso,100,3,-0.08549240378258566,-0.08417546082922432,-0.0013169429533613358,-0.07097087377778885,19.65146398544311
