model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_l,imagenet,16,1000,0.05516517798182461,0.00015983522008465516,0.07069412238054949,0.0027808656764665984,-0.01552894439872488,50,0.0196078431372549,50,187.4192614555359
i21k_l,imagenet,17,1000,0.055301081381663834,0.00022780273009619301,0.07069018906002111,0.002776788616028616,-0.015389107678357272,50,0.0196078431372549,50,179.1867973804474
i21k_l,imagenet,18,1000,0.05546231030321045,0.00010784399750762876,0.0706861399684792,0.0027837058081361496,-0.015223829665268744,50,0.0196078431372549,50,183.49714422225952
i21k_l,imagenet,19,1000,0.05550104482197443,0.00019212142209058784,0.07079979805597783,0.0027809980297385612,-0.015298753234003412,50,0.0196078431372549,50,181.53141665458682
i21k_l,imagenet,20,1000,0.053922810589910684,0.0001977516898897944,0.0707040911988596,0.0027804266762669213,-0.016781280608948918,50,0.0196078431372549,50,182.72648358345032
i21k_l,imagenet,21,1000,0.05409233153122113,0.0002273156722426585,0.07068013931006333,0.0027801860848287413,-0.016587807778842195,50,0.0196078431372549,50,198.98863792419436
i21k_l,imagenet,22,1000,0.05575660048382549,0.00011861004888000508,0.07071290806211787,0.0027821925813086928,-0.014956307578292381,50,0.0196078431372549,50,166.6689352989197
i21k_l,imagenet,23,1000,0.05508813866337477,0.00012546656359670337,0.0707848603510379,0.0027868669808850787,-0.015696721687663125,50,0.0196078431372549,50,194.15034198760983
i21k_l,imagenet,24,1000,0.05500416406507468,0.00018412243800010583,0.07073474149176652,0.002793488856463986,-0.015730577426691844,50,0.0196078431372549,50,189.03923749923703
i21k_l,imagenet,25,1000,0.05516764212760803,0.0002060187705762581,0.07066732431693215,0.002783731609933893,-0.015499682189324118,50,0.0196078431372549,50,196.49300837516785
i21k_l,imagenet,26,1000,0.05507543121583185,0.00015316227858924367,0.07068087683203864,0.0027840228918086067,-0.015605445616206791,50,0.0196078431372549,50,180.63232398033142
i21k_l,imagenet,27,1000,0.05480321099821223,0.0002549956665945937,0.0707449540724324,0.002783068678262784,-0.01594174307422018,50,0.0196078431372549,50,186.0342981815338
i21k_l,imagenet,28,1000,0.05507766701250225,0.00017341420918629184,0.07072955791612365,0.0027877851334969232,-0.015651890903621398,50,0.0196078431372549,50,194.29948806762692
i21k_l,imagenet,29,1000,0.054577162519754883,0.00011864659392990484,0.07071226331884732,0.0027810792792196263,-0.016135100799092437,50,0.0196078431372549,50,148.56737160682678
dinov1_b,fashionmnist,-1,10,0.13503588484727033,0.0,0.14630690822651002,0.019501587585048046,-0.011271023379239686,37,0.27450980392156865,50,23.24376678466797
dinov1_b,fashionmnist,0,10,0.13589384416139172,0.0,0.14634112870501295,0.019442838024739846,-0.01044728454362123,35,0.3137254901960784,50,23.322704792022705
dinov1_b,fashionmnist,1,10,0.1344530449997766,2.7755575615628914e-17,0.1463213513403883,0.0194520164835603,-0.0118683063406117,37,0.27450980392156865,50,23.055592775344852
dinov1_b,fashionmnist,2,10,0.1349936551194248,0.0,0.14608537018155754,0.01945546444520869,-0.011091715062132744,37,0.27450980392156865,50,24.310264348983765
dinov1_b,fashionmnist,3,10,0.13463535439039914,2.7755575615628914e-17,0.1460675842542077,0.01942130458576129,-0.011432229863808568,37,0.27450980392156865,50,24.68891668319702
dinov1_b,fashionmnist,4,10,0.1340365515982098,0.0,0.14610272638857594,0.01941647830898496,-0.012066174790366145,38,0.2549019607843137,50,25.082677364349365
dinov1_b,fashionmnist,5,10,0.13367924430645542,0.0,0.14600848402060046,0.019532644148218575,-0.01232923971414504,38,0.2549019607843137,50,25.051284551620483
dinov1_b,fashionmnist,6,10,0.13542818528889036,0.0,0.1467563111290037,0.019506482824201588,-0.011328125840113334,37,0.27450980392156865,50,24.887094974517822
dinov1_b,fashionmnist,7,10,0.13400300092413167,2.7755575615628914e-17,0.14625064816353806,0.0194950774478843,-0.012247647239406384,38,0.2549019607843137,50,24.976173162460327
dinov1_b,fashionmnist,8,10,0.13427946274906175,0.0,0.14611953977065464,0.01946092559369432,-0.0118400770215929,38,0.2549019607843137,50,24.8666570186615
dinov1_b,fashionmnist,9,10,0.13564224719069198,0.0,0.14658267287435364,0.019602843778908027,-0.010940425683661659,36,0.29411764705882354,50,22.140407800674442
dinov1_b,fashionmnist,10,10,0.13458951101144592,0.0,0.14624327742084847,0.019497267827468308,-0.01165376640940255,38,0.2549019607843137,50,20.57610011100769
dinov1_b,fashionmnist,11,10,0.134908902468949,0.0,0.14629300095668188,0.019540420427566558,-0.011384098487732893,37,0.27450980392156865,50,21.733624696731567
dinov1_b,fashionmnist,12,10,0.13552927614433918,0.0,0.14636072583062185,0.019505917254583904,-0.010831449686282664,36,0.29411764705882354,50,20.447474241256714
dinov1_b,fashionmnist,13,10,0.13462978694512162,0.0,0.14635260548483436,0.019554356227463696,-0.011722818539712744,38,0.2549019607843137,50,19.79964160919189
dinov1_b,fashionmnist,14,10,0.135187423686366,0.0,0.14637631971029044,0.01948357150734477,-0.01118889602392445,36,0.29411764705882354,50,22.78203821182251
dinov1_b,fashionmnist,15,10,0.13448028906837511,2.7755575615628914e-17,0.146414661030556,0.01955889412677834,-0.011934371962180891,38,0.2549019607843137,50,23.52251124382019
dinov1_b,fashionmnist,16,10,0.13449516836793102,0.0,0.14615786558591126,0.019512217794114443,-0.011662697217980215,38,0.2549019607843137,50,23.07018780708313
dinov1_b,fashionmnist,17,10,0.13547488103193614,0.0,0.1467028052637641,0.0195389411095119,-0.011227924231827974,37,0.27450980392156865,50,23.047473669052124
dinov1_b,fashionmnist,18,10,0.13408895422176986,0.0,0.14597418222839667,0.01943426254235131,-0.011885228006626836,38,0.2549019607843137,50,22.68544220924377
dinov1_b,fashionmnist,19,10,0.13398526787524395,0.0,0.14611263655936338,0.019420275142199833,-0.012127368684119429,38,0.2549019607843137,50,21.206430196762085
dinov1_b,fashionmnist,20,10,0.13661976673193255,2.7755575615628914e-17,0.1460468110371126,0.019514888391310374,-0.009427044305180016,34,0.3333333333333333,50,20.817885398864746
dinov1_b,fashionmnist,21,10,0.13499820059994588,2.7755575615628914e-17,0.14618707685475069,0.01953672907856476,-0.011188876254804804,37,0.27450980392156865,50,24.339237451553345
dinov1_b,fashionmnist,22,10,0.13437975510492967,0.0,0.1464535432783111,0.01961406956431836,-0.012073788173381422,38,0.2549019607843137,50,25.043524265289307
dinov1_b,fashionmnist,23,10,0.13461764607581955,2.7755575615628914e-17,0.14601324530192314,0.01946989630648889,-0.011395599226103588,37,0.27450980392156865,50,24.771526336669922
dinov1_b,fashionmnist,24,10,0.13426139464593947,0.0,0.14615352795518918,0.019513769679452186,-0.011892133309249708,38,0.2549019607843137,50,22.136417388916016
dinov1_b,fashionmnist,25,10,0.13514484524503326,0.0,0.1465170011795668,0.01956672807825632,-0.011372155934533584,37,0.27450980392156865,50,21.608640432357788
dinov1_b,fashionmnist,26,10,0.13515978864681782,2.7755575615628914e-17,0.14630118370208176,0.019549068006004287,-0.011141395055263929,37,0.27450980392156865,50,21.900783777236942
dinov1_b,fashionmnist,27,10,0.13302660107908032,2.7755575615628914e-17,0.1457659523162327,0.019394581812398486,-0.012739351237152393,40,0.21568627450980396,50,23.89090943336487
dinov1_b,fashionmnist,28,10,0.13607915241314933,0.0,0.14638422081845034,0.019530314558864944,-0.010305068405301016,35,0.3137254901960784,50,23.97049570083618
dinov1_b,fashionmnist,29,10,0.1340549151695753,2.7755575615628914e-17,0.1463760347761942,0.019466395961801858,-0.012321119606618913,39,0.2352941176470588,50,20.334015607833862
dinov2_s,fashionmnist,-1,10,0.10671717081770522,1.3877787807814454e-17,0.14338581944140186,0.018893079176796692,-0.036668648623696606,50,0.0196078431372549,50,21.63719081878662
dinov2_s,fashionmnist,0,10,0.10590383837650237,1.3877787807814454e-17,0.14341436463527985,0.018938309984074756,-0.03751052625877746,50,0.0196078431372549,50,22.776798248291016
dinov2_s,fashionmnist,1,10,0.10659782507933682,1.3877787807814454e-17,0.14345127664739604,0.01890784991114712,-0.03685345156805922,50,0.0196078431372549,50,23.158958911895752
dinov2_s,fashionmnist,2,10,0.10783957000703766,0.0,0.1433793933383187,0.018862295444428537,-0.035539823331281035,50,0.0196078431372549,50,22.97772336006165
dinov2_s,fashionmnist,3,10,0.10438522934470283,0.0,0.14357975327570882,0.0189059373511074,-0.039194523931006,50,0.0196078431372549,50,23.23056936264038
dinov2_s,fashionmnist,4,10,0.10503196139044067,0.0,0.14356264008009909,0.01890883504108011,-0.0385306786896584,50,0.0196078431372549,50,23.056640148162842
dinov2_s,fashionmnist,5,10,0.10767314171181604,0.0,0.1432637660570152,0.01888589642869903,-0.035590624345199176,50,0.0196078431372549,50,21.8800048828125
dinov2_s,fashionmnist,6,10,0.10609372978304568,0.0,0.1435151485283136,0.01893199293444064,-0.03742141874526792,50,0.0196078431372549,50,21.844048261642453
