model,template,d,delta,delta_sd,null_mean,null_sd,excess,z,time_s
gpt2_m,concept,1024,0.12304300932737736,0.00482960483019013,0.10673652283420987,0.003643294417276179,0.016306486493167474,2.6954277902430426,18.812485456466675
gpt2_m,discussion,1024,0.10600660985422636,0.0030395589664951317,0.12637842858233722,0.005482588597580336,-0.020371818728110863,-3.2497223427077366,15.33791470527649
gpt2_l,photo,1280,0.09094921337600172,0.0025327495004577824,0.12422078992977198,0.007607571893789445,-0.03327157655377026,-4.149557319778948,266.41473174095154
gpt2_l,name_only,1280,0.08821399707338783,0.0025333923433253276,0.10572584789112723,0.004445990810893672,-0.0175118508177394,-3.4222087496454665,11.071412801742554
gpt2_l,image,1280,0.07856981833313557,0.0036500494408443075,0.12713301050420064,0.006967991785936816,-0.04856319217106507,-6.173719823365816,11.22486925125122
gpt2_l,closeup,1280,0.08380319643074417,0.002180600393425078,0.12988818812696845,0.007487717736911615,-0.04608499169622428,-5.909258213296369,11.215977430343628
gpt2_l,this_is,1280,0.10474444291356014,0.0055531498596451175,0.15556284590012873,0.010224577462668676,-0.05081840298656859,-4.367617806110121,10.56140661239624
gpt2_l,wild,1280,0.10169562238477439,0.002388626805549781,0.13108558859410102,0.006198431620097906,-0.02938996620932663,-4.424369103790895,10.146631717681885
gpt2_l,def_pair,1280,0.08395996553908965,0.005611400501416293,0.10260811896807054,0.0035103882148754045,-0.018648153428980893,-2.817383909532894,13.3226637840271
gpt2_l,gloss_only,1280,0.0951979321315863,0.0053046747496094514,0.10811819107589382,0.0046851912772355115,-0.012920258944307525,-1.8255475003340385,12.80825662612915
gpt2_l,concept,1280,0.10034836277441753,0.0062552782113114,0.1348260091137248,0.00871381308945467,-0.03447764633930728,-3.214232068586518,10.084893226623535
gpt2_l,discussion,1280,0.09350263803277917,0.004610255613925737,0.11995479693223088,0.007320539365557598,-0.02645215889945171,-3.057598396016881,9.962108612060547
gpt2_xl,photo,1600,0.08013685919846276,0.004437178444207813,0.1212072783735697,0.00809015119248381,-0.04107041917510694,-4.451071911639436,537.4539353847504
gpt2_xl,name_only,1600,0.09269232679077131,0.0031948017442242137,0.11349862933881698,0.006927402938057379,-0.020806302548045663,-2.7274046360694357,12.544745445251465
gpt2_xl,image,1600,0.08015147814531735,0.004443007385581035,0.11984026435840965,0.006230565745041909,-0.0396887862130923,-5.1864035253237954,11.676908254623413
gpt2_xl,closeup,1600,0.08032767047806619,0.00425571040366762,0.1201363949266925,0.007696634670104188,-0.039808724448626306,-4.526371451790128,14.787902593612671
gpt2_xl,this_is,1600,0.08352960687238163,0.004802785339838811,0.11587760549801139,0.0072322296163177605,-0.03234799862562976,-3.7259987658268883,12.609622240066528
gpt2_xl,wild,1600,0.10739798658569917,0.004687498116335089,0.12398444211634578,0.008633694219323737,-0.01658645553064661,-1.6883402472695743,12.012584447860718
gpt2_xl,def_pair,1600,0.08636893123868246,0.003508476610857687,0.10186077775641263,0.0034958778453751996,-0.015491846517730168,-3.127874830921169,13.129770517349243
gpt2_xl,gloss_only,1600,0.09093571150074219,0.004632995548685783,0.10369203236107609,0.0039733396041615335,-0.012756320860333903,-2.0900188260952874,13.20451283454895
gpt2_xl,concept,1600,0.08467170405639458,0.005248224311642619,0.1199153217381715,0.006297715526185255,-0.03524361768177692,-4.299118663168195,12.506246089935303
gpt2_xl,discussion,1600,0.08792379867155821,0.004632655376184194,0.11334239477836257,0.006351848578287127,-0.02541859610680436,-3.233188722177117,12.14705777168274
