model,paradigm,dataset,n_classes,d_eucl,null_eucl,exc_eucl,d_cos,null_cos,exc_cos
clip_b,Contrastive,dtd,47,0.11979528802337283,0.18461004618202778,-0.06481475815865495,0.11945251031757842,0.19002864081490878,-0.07057613049733036
clip_l,Contrastive,dtd,47,0.1307219730309844,0.1840078404652552,-0.0532858674342708,0.13019448370666548,0.1888481276812571,-0.058653643974591635
siglip_b,Contrastive,dtd,47,0.12091829871670065,0.18326251939545604,-0.06234422067875539,0.1231657983430317,0.191794478685177,-0.0686286803421453
i21k_t,Supervised,cifar10,10,0.12219879620197657,0.17355839543942098,-0.0513595992374444,0.11459414803614362,0.19485754908868233,-0.08026340105253871
i21k_s,Supervised,cifar10,10,0.08592529784489071,0.17535234780923722,-0.08942704996434651,0.08530558458071465,0.20197841269641373,-0.11667282811569908
i21k_b,Supervised,cifar10,10,0.08912335947310047,0.1699225830744271,-0.08079922360132662,0.09017317755469254,0.19052001402446547,-0.10034683646977294
i21k_l,Supervised,cifar10,10,0.08357815749110105,0.17404913299289934,-0.09047097550179829,0.07889483183945922,0.18903084042258145,-0.11013600858312222
dinov1_b,SSL,cifar10,10,0.08839522628605256,0.17861056414001952,-0.09021533785396696,0.09091166024554567,0.1957444351381262,-0.10483277489258053
dinov2_s,SSL,cifar10,10,0.08393180116410728,0.1711625748745016,-0.08723077371039431,0.08531122546753994,0.18736652953242897,-0.10205530406488902
dinov2_b,SSL,cifar10,10,0.04576619530477449,0.16880079459942413,-0.12303459929464963,0.04535635584505929,0.19574444065647967,-0.15038808481142038
dinov2_l,SSL,cifar10,10,0.027459458662460006,0.1717964907814341,-0.1443370321189741,0.03909830052109295,0.19685388858984665,-0.1577555880687537
dinov2_g,SSL,cifar10,10,0.025407403002162116,0.17122272290072685,-0.14581531989856472,0.026252993172110717,0.1959693491461755,-0.1697163559740648
clip_b,Contrastive,cifar10,10,0.10510009138196408,0.17426047474234543,-0.06916038336038136,0.10704968285632681,0.1785625726185218,-0.07151288976219498
clip_l,Contrastive,cifar10,10,0.09893099602982094,0.1741135746942005,-0.07518257866437955,0.1000796526676508,0.17760747606689944,-0.07752782339924864
siglip_b,Contrastive,cifar10,10,0.08738363341151584,0.1685211030430581,-0.08113746963154225,0.0893525805769128,0.17430474212903238,-0.08495216155211958
i21k_t,Supervised,fashionmnist,10,0.1533356490177405,0.1686535439855101,-0.015317894967769613,0.15313820846070758,0.18757975224438792,-0.034441543783680334
i21k_s,Supervised,fashionmnist,10,0.10164670080883054,0.16271956221487535,-0.061072861406044815,0.09798699956686208,0.17905811057847518,-0.0810711110116131
i21k_b,Supervised,fashionmnist,10,0.09840654422505626,0.1689787474016383,-0.07057220317658203,0.10094193954832854,0.17991944744431887,-0.07897750789599033
i21k_l,Supervised,fashionmnist,10,0.09336748126687248,0.1688601621531117,-0.07549268088623921,0.08858594243854062,0.18040847080728525,-0.09182252836874463
dinov1_b,SSL,fashionmnist,10,0.13503588484727033,0.17188794884241188,-0.03685206399514154,0.14239406052417708,0.18610854522986994,-0.04371448470569286
dinov2_s,SSL,fashionmnist,10,0.10671717081770521,0.16871678483893937,-0.06199961402123416,0.10163544444060049,0.19104133714140833,-0.08940589270080784
dinov2_b,SSL,fashionmnist,10,0.08306454514354546,0.17757151911906058,-0.09450697397551512,0.09270334089976592,0.20470812675230413,-0.1120047858525382
dinov2_l,SSL,fashionmnist,10,0.10601734515806413,0.16989169502612142,-0.06387434986805729,0.1136353731471303,0.19809449246001642,-0.08445911931288612
