model_a,model_b,knn_R_raw,knn_R_null_mean,knn_R_null_sd,knn_R_tau95,knn_R_p,knn_R_cal,knn_R_nullcentered,knn_H_raw,knn_H_null_mean,knn_H_null_sd,knn_H_tau95,knn_H_p,knn_H_cal,knn_H_nullcentered,cka_R_raw,cka_R_null_mean,cka_R_null_sd,cka_R_tau95,cka_R_p,cka_R_cal,cka_R_nullcentered,cka_H_raw,cka_H_null_mean,cka_H_null_sd,cka_H_tau95,cka_H_p,cka_H_cal,cka_H_nullcentered,time_s
i21k_t,siglip_b,0.6818,0.009954999999999999,0.001192427952586886,0.0118,0.004975124378109453,0.678000404776361,0.6718449999999999,0.645,0.009936500000000001,0.0011723008129229885,0.0118,0.004975124378109453,0.6407609795587937,0.6350635,0.8504669134866448,0.029238568538201545,0.0014207524984397452,0.03176786824997975,0.004975124378109453,0.8455607063534617,0.8212283449484433,0.8566704945495659,0.0291922142454919,0.0014254448829394619,0.03179473698524325,0.004975124378109453,0.8519637199614669,0.827478280304074,9.453992128372192
i21k_s,i21k_b,0.7574,0.009933,0.0011658503485335841,0.012,0.004975124378109453,0.7544534412955465,0.747467,0.7081000000000001,0.0098395,0.0015080653352147518,0.0127,0.004975124378109453,0.7043451838347008,0.6982605000000001,0.8507629134936336,0.06625863192113397,0.0013926212641380336,0.06893613969781082,0.004975124378109453,0.8397133721225851,0.7845042815724996,0.8537903847285242,0.06587967056258993,0.001390744905340737,0.06848147354321239,0.004975124378109453,0.8430416453147609,0.7879107141659343,13.050213098526001
i21k_s,i21k_l,0.6965,0.009909,0.0011707142517696119,0.012,0.004975124378109453,0.6928137651821863,0.6865910000000001,0.6495,0.009878499999999998,0.0016376192273139507,0.013000000000000001,0.004975124378109453,0.6448834853090172,0.6396215,0.8544593013588079,0.06443373769478114,0.0014794714765455793,0.06718201768951641,0.004975124378109453,0.8439773874419697,0.7900255636640268,0.8577629464756155,0.0641604799992122,0.0014739369821958428,0.06682292933066213,0.004975124378109453,0.8475776377334663,0.7936024664764032,17.704800367355347
i21k_s,dinov1_b,0.6259,0.0099435,0.0012342506322119418,0.0121,0.004975124378109453,0.6213179471606438,0.6159565,0.5416000000000001,0.0099545,0.002265688964181108,0.014199999999999999,0.004975124378109453,0.5349969567863665,0.5316455000000001,0.7498627604426574,0.07681982168785273,0.0013650899123439882,0.07935714206359669,0.004975124378109453,0.7283015477706322,0.6730429387548047,0.7587304514102893,0.07604497452324091,0.0013505109487112566,0.07841068777170841,0.004975124378109453,0.7382027488943528,0.6826854768870484,11.948338985443115
i21k_s,dinov2_s,0.5326,0.0099235,0.0014115808700757527,0.0125,0.004975124378109453,0.5266835443037975,0.5226765,0.42990000000000006,0.0098605,0.0030792039939213033,0.0161,0.004975124378109453,0.42057119625978256,0.42003950000000007,0.4893181395670621,0.09962037663173487,0.0013351442885647079,0.1018174341422976,0.004975124378109453,0.4314275517636307,0.3896977629353272,0.49954383661296975,0.09970889741625846,0.0013105640509105411,0.10189261795121737,0.004975124378109453,0.44276578347972323,0.3998349391967113,7.7426652908325195
i21k_s,dinov2_b,0.3076,0.00999,0.0023033294669164957,0.0144,0.004975124378109453,0.2974837662337662,0.29761,0.2493,0.0097985,0.004307402504022383,0.0194,0.004975124378109453,0.23444829696104424,0.2395015,0.4601155849593761,0.1385436815156026,0.0011937656384014843,0.14049558125450923,0.004975124378109453,0.3718654572728963,0.3215719034437735,0.47165350720181864,0.13827116720216895,0.0011712602350028355,0.14020278642158307,0.004975124378109453,0.38549871475014497,0.3333823399996497,12.603132486343384
i21k_s,dinov2_l,0.22480000000000003,0.010099499999999999,0.0024702551594448334,0.0149,0.004975124378109453,0.21307481473962037,0.21470050000000002,0.1986,0.009876000000000001,0.004608101234231365,0.0194,0.004975124378109453,0.18274525800530286,0.188724,0.4645678391816572,0.15564219437822405,0.0010745168298425258,0.1575133238237446,0.004975124378109453,0.3644621618842957,0.3089256448034332,0.4792240402653411,0.15565647255295784,0.0010443180702617454,0.15756933176488136,0.004975124378109453,0.38181742501649685,0.32356756771238326,16.212833166122437
i21k_s,dinov2_g,0.22490000000000002,0.010044499999999998,0.002498576428859896,0.014499999999999999,0.004975124378109453,0.21349568746829023,0.21485550000000003,0.20870000000000002,0.009780500000000001,0.004688269307055365,0.020300000000000002,0.004975124378109453,0.19230376645912015,0.19891950000000003,0.4606528167617484,0.1622375605223972,0.001123394479429535,0.1640683927047356,0.004975124378109453,0.3547950830769992,0.29841525623935117,0.47431405115090236,0.1626820644756769,0.0010731467167072284,0.16439419086750404,0.004975124378109453,0.3708924194832358,0.31163198667522546,25.420958518981934
i21k_s,clip_b,0.6235999999999999,0.009928,0.001167532294324854,0.0118,0.004975124378109453,0.6191054442420562,0.6136719999999999,0.557,0.009862000000000001,0.0013183498136518164,0.0123,0.004975124378109453,0.5514832438999697,0.547138,0.8360574366327345,0.03588047618898061,0.0014655440764569526,0.03861942348481676,0.004975124378109453,0.8294717332843095,0.8001769604437539,0.8398075800543815,0.03549891379339942,0.0014508882576850443,0.03824347237781375,0.004975124378109453,0.8334376577181413,0.8043086662609821,10.44750189781189
i21k_s,clip_l,0.6486,0.009968500000000002,0.0011370232448356023,0.0118,0.004975124378109453,0.6444039668083383,0.6386314999999999,0.593,0.009879,0.0013762008004706582,0.012199999999999999,0.004975124378109453,0.5879732739420935,0.583121,0.8286854807441572,0.044405328830632126,0.0014557833164481242,0.04695410121370489,0.004975124378109453,0.8202452584140889,0.7842801519135251,0.834458115254337,0.04420180411208091,0.0014491480134146068,0.04675800956194843,0.004975124378109453,0.8263380270632118,0.790256311142256,13.026187658309937
