model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
clip_l,cifar100,10,iso,10,-0.0064164427952190795,-0.049079642832524986,0.0020540706974097305,0.04266320003730591,7.644680843207177,0.1406566097510245,0.002964240248211589,17.871521949768066
clip_l,cifar100,10,aniso,10,-0.0064164427952190795,-0.002590276373383832,0.0035237719450119803,-0.0038261664218352475,-0.6100023526235495,0.1406566097510245,0.002964240248211589,20.693928718566895
clip_l,cifar100,5,iso,10,-0.0009956376676813483,-0.026847533829863695,0.0035168436796524562,0.025851896162182347,3.281512172008624,0.1406566097510245,0.002964240248211589,19.558693170547485
clip_l,cifar100,5,aniso,10,-0.0009956376676813483,-0.0008347582537010179,0.004074095271736208,-0.00016087941398033043,-0.019758981750568495,0.1406566097510245,0.002964240248211589,18.6913161277771
siglip_b,cifar100,20,iso,10,-0.022771883689656214,-0.049490839021200085,0.00443767569728168,0.02671895533154387,2.7655647504668703,0.14569211362869644,0.003471695574866869,20.948299169540405
siglip_b,cifar100,20,aniso,10,-0.022771883689656214,-0.0017030545676220837,0.004562035775907168,-0.02106882912203413,-2.1677866344870065,0.14569211362869644,0.003471695574866869,23.539835214614868
siglip_b,cifar100,10,iso,10,-0.013208718183219365,-0.0544031972394044,0.003082962661682991,0.041194479056185035,4.094059161940417,0.14569211362869644,0.003471695574866869,18.901183366775513
siglip_b,cifar100,10,aniso,10,-0.013208718183219365,-0.0008496585243889423,0.00321896136468679,-0.012359059658830423,-1.223122811120049,0.14569211362869644,0.003471695574866869,18.49001121520996
siglip_b,cifar100,5,iso,10,0.0003332967258774522,-0.031266939899944356,0.004661223251821855,0.03160023662582181,3.2557014268776268,0.14569211362869644,0.003471695574866869,19.734578847885132
siglip_b,cifar100,5,aniso,10,0.0003332967258774522,-0.00010824460636426613,0.002546169374971839,0.00044154133224171834,0.049688355634981515,0.14569211362869644,0.003471695574866869,20.241015195846558
dinov2_g,imagenet,30,iso,10,-0.02841619491956754,-0.004844486224382725,0.0015010465304541643,-0.023571708695184813,-1.5651164238439625,0.08081277950780391,0.00775670136192715,85.5984365940094
dinov2_g,imagenet,30,aniso,10,-0.02841619491956754,0.0005697875106583609,0.006411038400558249,-0.0289859824302259,-1.7783407590685483,0.08081277950780391,0.00775670136192715,90.03319978713989
dinov2_g,imagenet,10,iso,10,-0.01901938344598611,-0.015612047393740378,0.002125234049439136,-0.0034073360522457324,-0.20656847043899218,0.08081277950780391,0.00775670136192715,97.53461122512817
dinov2_g,imagenet,10,aniso,10,-0.01901938344598611,-0.0019569653950707614,0.00503852098206322,-0.017062418050915348,-0.9968764451608013,0.08081277950780391,0.00775670136192715,101.20005011558533
dinov2_g,imagenet,60,iso,10,-0.0043651138558222224,-0.0024543874720030453,0.0011313681327171487,-0.0019107263838191771,-0.22096548177042558,0.08081277950780391,0.00775670136192715,113.15028238296509
dinov2_g,imagenet,60,aniso,10,-0.0043651138558222224,0.00034236107755158534,0.004622053972187502,-0.004707474933373808,-0.4833407500715443,0.08081277950780391,0.00775670136192715,107.82990169525146
clip_b,imagenet,30,iso,10,-0.015869835461763626,-0.01020423171595708,0.002951701300106859,-0.005665603745806547,-0.7181489526679133,0.11952016031417192,0.00527248911176936,50.31082010269165
clip_b,imagenet,30,aniso,10,-0.015869835461763626,0.0005381052587337439,0.004148051630725975,-0.01640794072049737,-1.9509375149849153,0.11952016031417192,0.00527248911176936,44.56605410575867
clip_b,imagenet,10,iso,10,-0.015556571339541164,-0.019657714547495524,0.0024117244257040884,0.00410114320795436,0.4119366948039484,0.11952016031417192,0.00527248911176936,48.80716395378113
clip_b,imagenet,10,aniso,10,-0.015556571339541164,0.0002551760514701823,0.003206845161283407,-0.015811747391011346,-1.5535750566264028,0.11952016031417192,0.00527248911176936,58.57132363319397
clip_b,imagenet,60,iso,10,-0.018573927770025672,-0.0037084451910637402,0.0023250808406639076,-0.014865482578961932,-1.7752280094960393,0.11952016031417192,0.00527248911176936,47.1954460144043
clip_b,imagenet,60,aniso,10,-0.018573927770025672,0.0012564117789140628,0.004948485990208124,-0.019830339548939736,-2.099621261041048,0.11952016031417192,0.00527248911176936,52.80170035362244
clip_l,imagenet,30,iso,10,-0.0072190432601489385,-0.011333931722492216,0.0022456262754437877,0.004114888462343277,0.4585566106864757,0.11773132952248236,0.005182869614368171,58.19235324859619
clip_l,imagenet,30,aniso,10,-0.0072190432601489385,0.0006002085297779833,0.0037230562751348352,-0.007819251789926922,-0.8272454930859939,0.11773132952248236,0.005182869614368171,77.84807682037354
clip_l,imagenet,10,iso,10,-0.011281406553252632,-0.022238412476284674,0.0022100491823380834,0.010957005923032042,1.3577569009042543,0.11773132952248236,0.005182869614368171,79.75445532798767
clip_l,imagenet,10,aniso,10,-0.011281406553252632,-0.0010362962629687944,0.002441860249340865,-0.010245110290283837,-1.259158884987496,0.11773132952248236,0.005182869614368171,66.94808506965637
clip_l,imagenet,60,iso,10,-0.009227465708505078,-0.00490421276424109,0.0024113257043054583,-0.004323252944263988,-0.5823690650505916,0.11773132952248236,0.005182869614368171,61.46083688735962
clip_l,imagenet,60,aniso,10,-0.009227465708505078,0.0019400522620016208,0.003837711254191062,-0.0111675179705067,-1.3956910421356157,0.11773132952248236,0.005182869614368171,63.608598709106445
siglip_b,imagenet,30,iso,10,-0.009716675422748747,-0.010259063132189713,0.0013741635168651352,0.0005423877094409661,0.04969509176644467,0.11368781032794306,0.009047941610363618,76.01011490821838
siglip_b,imagenet,30,aniso,10,-0.009716675422748747,0.0008434304194981617,0.004514183128554875,-0.010560105842246908,-0.9002032195421371,0.11368781032794306,0.009047941610363618,80.71486926078796
siglip_b,imagenet,10,iso,10,-0.010615852374867146,-0.022404394886843766,0.0018086963893188955,0.01178854251197662,0.9781956020535063,0.11368781032794306,0.009047941610363618,54.838518381118774
siglip_b,imagenet,10,aniso,10,-0.010615852374867146,-0.0014619030228696123,0.0018694758166729226,-0.009153949351997533,-0.7589970745739312,0.11368781032794306,0.009047941610363618,58.01948165893555
siglip_b,imagenet,60,iso,10,-0.015790258097581528,-0.0040948575899942925,0.002423008129393095,-0.011695400507587234,-1.0734825404461923,0.11368781032794306,0.009047941610363618,55.43908429145813
siglip_b,imagenet,60,aniso,10,-0.015790258097581528,0.0027034341710891045,0.003387545971611285,-0.018493692268670633,-1.6587663321852255,0.11368781032794306,0.009047941610363618,55.11252045631409
