epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,loss_k30,loss_k6,loss_k2,lr_enc,t
0,3900,3901,78.1,0.90234375,0.4116,0.0163,0.0009,0.0005,1e-05,1790072873.4425735
0,3950,3951,78.1,0.92578125,0.3125,0.1264,0.004,0.0079,1e-05,1790073043.7914073
0,4000,4001,78.0,0.94921875,0.4879,0.0494,0.0079,0.0008,1e-05,1790073215.3201025
0,4050,4051,78.0,0.93359375,0.5472,0.0493,0.0433,0.0243,1e-05,1790073388.9933586
0,4100,4101,77.9,0.8984375,0.5923,0.0716,0.0019,0.0013,1e-05,1790073562.6405296
0,4150,4151,77.9,0.90625,0.4401,0.0488,0.035,0.0295,1e-05,1790073730.0147438
0,4200,4201,77.8,0.89453125,0.9198,0.3811,0.4277,0.109,1e-05,1790073901.3792353
0,4250,4251,77.8,0.95703125,0.1451,0.0756,0.0032,0.0034,1e-05,1790074069.7816882
0,4300,4301,77.8,0.90625,0.629,0.071,0.0022,0.0018,1e-05,1790074238.254177
0,4350,4351,77.8,0.94140625,0.2897,0.0479,0.0024,0.0018,1e-05,1790074408.2166674
0,4400,4401,77.7,0.92578125,0.7367,0.0271,0.0179,0.0232,1e-05,1790074577.9595907
0,4450,4451,77.7,0.91015625,0.6532,0.0252,0.0177,0.0109,1e-05,1790074749.055024
0,4500,4501,77.7,0.94921875,0.1999,0.0203,0.0012,0.0008,1e-05,1790074924.8497705
0,4550,4551,77.5,0.91015625,0.3485,0.0384,0.0084,0.0086,1e-05,1790075115.5137541
0,4600,4601,77.4,0.921875,0.8187,0.0325,0.0266,0.0095,1e-05,1790075307.0113437
0,4650,4651,77.4,0.91796875,0.173,0.0382,0.0238,0.0003,1e-05,1790075476.812291
0,4700,4701,77.3,0.91796875,0.3677,0.0232,0.0047,0.0026,1e-05,1790075647.8502154
0,4750,4751,77.3,0.9375,0.2196,0.0875,0.015,0.0058,1e-05,1790075816.2360518
0,4800,4801,77.3,0.91796875,0.773,0.0663,0.0519,0.0003,1e-05,1790075986.5413198
0,4850,4851,77.3,0.9296875,0.463,0.1369,0.0009,0.0006,1e-05,1790076153.8111143
0,4900,4901,77.3,0.93359375,0.1773,0.109,0.0103,0.0067,1e-05,1790076320.9765434
0,4950,4951,77.5,0.9609375,0.127,0.0753,0.0095,0.0006,1e-05,1790076442.9028628
0,5000,5001,77.9,0.9921875,0.0523,0.0103,0.0026,0.0003,1e-05,1790076529.9624438
0,5003,5004,77.9,0.98046875,0.043,0.0051,0.0007,0.0006,1e-05,1790076534.2143166
1,0,5005,67.7,0.4609375,3.2477,0.3626,0.0578,0.0754,1e-05,1790076539.9364805
1,50,5055,58.3,0.89453125,0.7051,0.0935,0.0188,0.0046,1e-05,1790076760.2608492
1,100,5105,65.0,0.9375,0.2044,0.1929,0.0184,0.0222,1e-05,1790076934.1208603
1,150,5155,68.3,0.9765625,0.0823,0.0636,0.0123,0.0156,1e-05,1790077102.1459444
1,200,5205,70.6,0.96484375,0.1221,0.0689,0.0023,0.003,1e-05,1790077264.832866
1,250,5255,72.9,0.94921875,0.1944,0.0894,0.0486,0.0546,1e-05,1790077418.0375063
1,300,5305,74.2,0.97265625,0.1642,0.048,0.0258,0.0335,1e-05,1790077574.8837757
1,350,5355,75.0,0.96484375,0.1217,0.0795,0.024,0.024,1e-05,1790077733.7697704
1,400,5405,75.4,0.9296875,0.5329,0.0287,0.0017,0.0023,1e-05,1790077897.928019
1,450,5455,75.6,0.96875,0.2371,0.0267,0.0057,0.0051,1e-05,1790078063.1139119
1,500,5505,76.1,0.95703125,0.1262,0.0411,0.0439,0.0128,1e-05,1790078221.1988347
1,550,5555,76.3,0.9609375,0.2163,0.0892,0.0364,0.0334,1e-05,1790078383.7086895
1,600,5605,76.4,0.9375,0.2689,0.0477,0.004,0.0054,1e-05,1790078549.3711839
1,650,5655,76.6,0.9453125,0.3155,0.037,0.0092,0.0051,1e-05,1790078712.3721166
1,700,5705,76.6,0.96875,0.1196,0.0081,0.0054,0.0195,1e-05,1790078877.5752
1,750,5755,76.5,0.984375,0.0745,0.0465,0.015,0.0011,1e-05,1790079048.4717202
1,800,5805,76.6,0.90234375,0.5261,0.1437,0.0007,0.0006,1e-05,1790079213.8088286
1,850,5855,76.5,0.96484375,0.1698,0.0589,0.0004,0.0004,1e-05,1790079385.4398408
1,900,5905,76.4,0.98046875,0.0836,0.0458,0.0006,0.0004,1e-05,1790079555.0448437
1,950,5955,76.3,0.96484375,0.115,0.0466,0.0015,0.0009,1e-05,1790079725.8710072
1,1000,6005,76.2,0.94921875,0.3109,0.0692,0.0004,0.0004,1e-05,1790079897.9827278
1,1050,6055,76.2,0.90234375,0.3302,0.0817,0.0007,0.001,1e-05,1790080069.0148954
1,1100,6105,76.1,0.97265625,0.0858,0.0269,0.0049,0.0031,1e-05,1790080239.5419304
1,1150,6155,76.1,0.91796875,0.3119,0.0435,0.0437,0.0133,1e-05,1790080405.6950066
1,1200,6205,76.2,0.9609375,0.2196,0.0889,0.0194,0.0167,1e-05,1790080570.627185
1,1250,6255,76.1,0.984375,0.0496,0.0053,0.0006,0.0005,1e-05,1790080745.344776
1,1300,6305,76.0,0.9453125,0.2561,0.1219,0.0531,0.0142,1e-05,1790080919.1556726
1,1350,6355,75.9,0.93359375,0.305,0.1081,0.0102,0.0104,1e-05,1790081094.0251772
1,1400,6405,75.8,0.875,0.5585,0.0405,0.0246,0.0185,1e-05,1790081267.829639
1,1450,6455,75.8,0.9375,0.1836,0.0085,0.0014,0.001,1e-05,1790081436.9994345
1,1500,6505,75.7,0.95703125,0.1499,0.0049,0.0008,0.0004,1e-05,1790081614.4488432
1,1550,6555,75.6,0.96875,0.1364,0.0205,0.0369,0.0283,1e-05,1790081786.0653222
1,1600,6605,75.6,0.92578125,0.3949,0.1747,0.1349,0.0091,1e-05,1790081959.2630517
1,1650,6655,75.4,0.9296875,0.2555,0.098,0.0393,0.0047,1e-05,1790082139.7461302
1,1700,6705,75.3,0.9453125,0.2345,0.111,0.0525,0.0281,1e-05,1790082320.9781907
1,1750,6755,75.1,0.984375,0.0696,0.0929,0.0272,0.0231,1e-05,1790082505.1588604
1,1800,6805,74.9,0.9140625,0.3551,0.0654,0.0473,0.0452,1e-05,1790082689.4936233
1,1850,6855,74.8,0.94921875,0.1989,0.1178,0.0006,0.0005,1e-05,1790082869.8974853
1,1900,6905,74.8,0.97265625,0.0766,0.0607,0.0004,0.0006,1e-05,1790083045.6305435
1,1950,6955,74.7,0.9140625,0.4367,0.0777,0.0026,0.0026,1e-05,1790083222.1825058
1,2000,7005,74.6,0.9375,0.184,0.0519,0.0014,0.0006,1e-05,1790083400.5758295
1,2050,7055,74.5,0.94140625,0.2391,0.0868,0.0147,0.0005,1e-05,1790083580.0736778
1,2100,7105,74.6,0.94921875,0.2895,0.1424,0.0218,0.0166,1e-05,1790083745.0253105
1,2150,7155,74.7,0.96484375,0.0762,0.0089,0.0015,0.0009,1e-05,1790083911.8542218
1,2200,7205,74.7,0.921875,0.2718,0.0365,0.001,0.0013,1e-05,1790084078.748867
1,2250,7255,74.7,0.93359375,0.2686,0.0065,0.0142,0.0109,1e-05,1790084249.2093604
1,2300,7305,74.7,0.9609375,0.1668,0.0037,0.0016,0.0004,1e-05,1790084419.7506921
1,2350,7355,74.7,0.96875,0.0978,0.0382,0.0277,0.0163,1e-05,1790084593.9471445
1,2400,7405,74.7,0.9453125,0.3338,0.0688,0.0011,0.0007,1e-05,1790084769.6432815
1,2450,7455,74.2,0.9296875,0.2808,0.0162,0.0057,0.0042,1e-05,1790084989.5319963
1,2500,7505,74.0,0.96484375,0.1596,0.0357,0.0005,0.0005,1e-05,1790085190.8323452
1,2550,7555,74.0,0.94921875,0.1565,0.0495,0.0319,0.0028,1e-05,1790085366.4490278
1,2600,7605,73.9,0.98828125,0.0706,0.0543,0.0013,0.0026,1e-05,1790085545.6125147
1,2650,7655,73.9,0.94140625,0.2579,0.1063,0.0021,0.0032,1e-05,1790085713.830765
1,2700,7705,74.0,0.87890625,0.556,0.0958,0.0391,0.0326,1e-05,1790085886.0254292
1,2750,7755,73.9,0.9453125,0.2151,0.1103,0.0537,0.0059,1e-05,1790086063.540741
1,2800,7805,73.9,0.90625,0.3271,0.3069,0.0635,0.0027,1e-05,1790086243.778739
1,2850,7855,73.8,0.9140625,0.366,0.0543,0.0086,0.0001,1e-05,1790086422.24789
1,2900,7905,73.8,0.98046875,0.062,0.1245,0.0659,0.061,1e-05,1790086594.7818186
1,2950,7955,73.9,0.97265625,0.071,0.0187,0.0018,0.0012,1e-05,1790086765.754793
1,3000,8005,73.9,0.9375,0.3337,0.0603,0.0002,0.0003,1e-05,1790086936.2778106
1,3050,8055,73.9,0.9453125,0.2315,0.1059,0.0428,0.0,1e-05,1790087110.3814518
1,3100,8105,73.9,0.921875,0.5876,0.0483,0.0221,0.0046,1e-05,1790087282.6191123
1,3150,8155,73.8,0.94921875,0.1968,0.0884,0.0235,0.0084,1e-05,1790087459.4649694
1,3200,8205,73.9,0.92578125,0.3446,0.1049,0.0482,0.0193,1e-05,1790087627.4974835
1,3250,8255,73.9,0.9296875,0.2345,0.0275,0.0019,0.002,1e-05,1790087797.388607
1,3300,8305,73.9,0.9140625,0.3141,0.0249,0.0122,0.0078,1e-05,1790087969.5662947
1,3350,8355,73.9,0.9140625,0.2498,0.0266,0.0012,0.0014,1e-05,1790088144.5652766
1,3400,8405,73.9,0.89453125,0.6108,0.3225,0.0026,0.0016,1e-05,1790088317.4264174
1,3450,8455,73.9,0.88671875,0.427,0.0318,0.0016,0.0009,1e-05,1790088484.1566577
1,3500,8505,74.0,0.9140625,0.3669,0.0161,0.001,0.0008,1e-05,1790088645.6160715
1,3550,8555,74.1,0.94921875,0.1352,0.0108,0.0022,0.0031,1e-05,1790088808.7196496
1,3600,8605,74.1,0.90625,0.3418,0.2611,0.0105,0.0076,1e-05,1790088978.2057433
