model,dataset,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
i21k_l,dtd,cosine_geodesic,haar,p999,0.09560906006373696,0.00019950350643383998,0.1198722767927251,0.003673232712176797,-0.024263216728988138,-6.5956912706975315,1.0,200,0.0049751243781094535,65.40843844413757,True,0.00746268656716418,True
dinov1_b,dtd,cosine_geodesic,haar,p999,0.1212650789899834,0.00033443412818026717,0.14543103729305562,0.004747262216477594,-0.024165958303072218,-5.07791922617716,1.0,200,0.0049751243781094535,68.74994492530823,True,0.00746268656716418,True
dinov2_s,dtd,cosine_geodesic,haar,p999,0.13486643515577962,0.0003730587571946809,0.15280017782090682,0.004214925767039524,-0.017933742665127206,-4.238249656147376,1.0,200,0.0049751243781094535,68.25284004211426,True,0.00746268656716418,True
dinov2_b,dtd,cosine_geodesic,haar,p999,0.11324546768831804,0.0004658243343639474,0.13457344828917694,0.0035050401905512016,-0.0213279806008589,-6.031909204337469,1.0,200,0.0049751243781094535,70.10989689826964,True,0.00746268656716418,True
dinov2_l,dtd,cosine_geodesic,haar,p999,0.1056006124569644,0.00041482106177088144,0.1292086161063083,0.0034700667450120433,-0.0236080036493439,-6.755231967827332,1.0,200,0.0049751243781094535,69.97585225105286,True,0.00746268656716418,True
dinov2_g,dtd,cosine_geodesic,haar,p999,0.1128823003311746,0.000465284024682724,0.12938756379123068,0.0033350439580267072,-0.016505263460056083,-4.901566974388459,1.0,200,0.0049751243781094535,62.96188521385193,True,0.00746268656716418,True
clip_b,dtd,cosine_geodesic,haar,p999,0.0972860000562949,0.00034324951702626783,0.12858378623667555,0.006148883433449442,-0.031297786180380684,-5.082082769600063,1.0,200,0.0049751243781094535,74.55983138084413,True,0.00746268656716418,True
clip_l,dtd,cosine_geodesic,haar,p999,0.09810975123599756,0.00032427964718825716,0.12883560973952646,0.005630598328721236,-0.03072585850352888,-5.447916202212783,1.0,200,0.0049751243781094535,85.76805901527405,True,0.00746268656716418,True
siglip_b,dtd,cosine_geodesic,haar,p999,0.09866352899619044,0.00020743102620576472,0.1254039566842722,0.005313590013970228,-0.02674042768808177,-5.028629478360256,1.0,200,0.0049751243781094535,86.10444688796997,True,0.00746268656716418,True
i21k_t,fashionmnist,cosine_geodesic,haar,p999,0.15893768664209415,0.0,0.15173853177503305,0.02077942982740589,0.007199154867061103,0.3464558424777455,0.365,73,0.6368159203980099,80.81306767463684,False,0.6368159203980099,False
i21k_s,fashionmnist,cosine_geodesic,haar,p999,0.09975660679750713,1.3877787807814454e-17,0.14889354049483658,0.020141433144045286,-0.049136933697329466,-2.4395947073833995,1.0,200,0.0049751243781094535,80.04352736473082,True,0.00746268656716418,True
i21k_b,fashionmnist,cosine_geodesic,haar,p999,0.10678700800636252,0.0,0.14828150571543994,0.01961574254944824,-0.041494497709077455,-2.115367165146885,0.995,199,0.009950248756218905,61.88968467712402,True,0.013777267508610792,True
i21k_l,fashionmnist,cosine_geodesic,haar,p999,0.08788493082739537,1.3877787807814454e-17,0.15361487359516932,0.01971123953480836,-0.06572994276777394,-3.3346427885319185,1.0,200,0.0049751243781094535,59.318488597869866,True,0.00746268656716418,True
dinov1_b,fashionmnist,cosine_geodesic,haar,p999,0.14635756777980374,2.7755575615628914e-17,0.15202149245373422,0.020539723627550268,-0.005663924673930482,-0.2757546682046572,0.58,116,0.4228855721393035,58.30778670310974,False,0.44127190136275146,False
dinov2_s,fashionmnist,cosine_geodesic,haar,p999,0.10585365183943912,1.3877787807814454e-17,0.15999871746469502,0.020407995060128383,-0.05414506562525588,-2.6531300828781794,1.0,200,0.0049751243781094535,57.672324419021606,True,0.00746268656716418,True
dinov2_b,fashionmnist,cosine_geodesic,haar,p999,0.09093683715734004,0.0,0.17153797717256425,0.02189128910665322,-0.0806011400152242,-3.6818818491016976,1.0,200,0.0049751243781094535,56.80444550514221,True,0.00746268656716418,True
dinov2_l,fashionmnist,cosine_geodesic,haar,p999,0.11579431093016065,0.0,0.16722884745242453,0.021188537920413232,-0.051434536522263874,-2.427469828992371,1.0,200,0.0049751243781094535,57.83107972145081,True,0.00746268656716418,True
dinov2_g,fashionmnist,cosine_geodesic,haar,p999,0.10566078026171066,0.0,0.16957922881094178,0.021253369694715658,-0.06391844854923112,-3.0074500875559287,1.0,200,0.0049751243781094535,58.597546815872185,True,0.00746268656716418,True
clip_b,fashionmnist,cosine_geodesic,haar,p999,0.13633821268634744,2.7755575615628914e-17,0.17388947808227076,0.027474234711948358,-0.037551265395923315,-1.3667811238284475,0.925,185,0.07960199004975124,58.83051633834839,False,0.0955223880597015,False
clip_l,fashionmnist,cosine_geodesic,haar,p999,0.11629324323769567,1.3877787807814454e-17,0.15456208405315144,0.02444721418337861,-0.03826884081545577,-1.5653661201804474,0.96,192,0.04477611940298507,59.54085540771485,True,0.055584148224395266,False
siglip_b,fashionmnist,cosine_geodesic,haar,p999,0.1067874057715665,0.0,0.15860356665834666,0.020824185177855527,-0.051816160886780135,-2.4882683497206664,0.995,199,0.009950248756218905,59.246744632720954,True,0.013777267508610792,True
i21k_t,mnist,cosine_geodesic,haar,p999,0.13651908518733372,0.0,0.16275458261727346,0.024590259997384727,-0.02623549742993972,-1.0669060608846743,0.835,167,0.1691542288557214,58.62349653244018,False,0.19331911869225302,False
i21k_s,mnist,cosine_geodesic,haar,p999,0.13388426477664447,0.0,0.17004603168620902,0.02827418362851705,-0.03616176690956455,-1.2789676754129926,0.915,183,0.08955223880597014,58.1036148071289,False,0.10570100318081722,False
i21k_b,mnist,cosine_geodesic,haar,p999,0.13798511568504962,2.7755575615628914e-17,0.1479496534870702,0.02160161929059015,-0.009964537802020584,-0.4612866131920592,0.65,130,0.35323383084577115,58.46380972862244,False,0.37959456449097795,False
i21k_l,mnist,cosine_geodesic,haar,p999,0.12586348539871434,2.7755575615628914e-17,0.16837542179393075,0.024855342496566697,-0.042511936395216415,-1.7103741942436983,0.98,196,0.02487562189054726,59.83669686317444,True,0.03198294243070362,True
dinov1_b,mnist,cosine_geodesic,haar,p999,0.10686137688822757,1.3877787807814454e-17,0.14500636047202886,0.022712500781204025,-0.03814498358380128,-1.6794708760282606,0.965,193,0.03980099502487562,59.19318628311157,True,0.050274941084053414,False
dinov2_s,mnist,cosine_geodesic,haar,p999,0.15567375115147228,0.0,0.1595679051529247,0.02361592466086988,-0.003894154001452432,-0.16489525849075914,0.565,113,0.4378109452736319,56.36730146408081,False,0.4503198294243071,False
dinov2_b,mnist,cosine_geodesic,haar,p999,0.14369389965732296,0.0,0.1627131844109348,0.027255362327838213,-0.01901928475361184,-0.6978180852942039,0.735,147,0.26865671641791045,59.56122612953186,False,0.2975889781859931,False
dinov2_l,mnist,cosine_geodesic,haar,p999,0.14959090517905,2.7755575615628914e-17,0.16916623793456964,0.027160459654167312,-0.019575332755519648,-0.7207290673564188,0.725,145,0.27860696517412936,59.00894331932068,False,0.3039348710990502,False
dinov2_g,mnist,cosine_geodesic,haar,p999,0.15098116969235015,0.0,0.1738775586399891,0.02795016827694213,-0.02289638894763896,-0.8191860857785119,0.785,157,0.21890547263681592,60.884790897369385,False,0.2462686567164179,False
clip_b,mnist,cosine_geodesic,haar,p999,0.14058328680495552,2.7755575615628914e-17,0.13843017580644024,0.02121811813976326,0.002153110998515284,0.10147511595197983,0.465,93,0.5373134328358209,59.21895956993103,False,0.5448812276644944,False
clip_l,mnist,cosine_geodesic,haar,p999,0.16594388783636366,0.0,0.17352074656651711,0.02138719064936723,-0.0075768587301534565,-0.3542708742991277,0.62,124,0.38308457711442784,62.17282915115357,False,0.40561896400351183,False
siglip_b,mnist,cosine_geodesic,haar,p999,0.1170302349913582,0.0,0.16090545150312546,0.023545094556004925,-0.04387521651176728,-1.8634546744930092,0.985,197,0.01990049751243781,61.31312870979309,True,0.026051560379918588,True
