level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,6,0.6,iso,100,2,-0.10158226964764139,-0.09625267488584206,-0.005329594761799325,-0.1716642246924777,10.68780255317688
star,6,0.6,iso,100,3,-0.09148206506554422,-0.09902096566260499,0.007538900597060763,0.2580919074303187,11.550943613052368
star,6,0.6,iso,100,4,-0.09209618419422852,-0.09449873570654031,0.002402551512311793,0.08718765811657259,11.15838360786438
star,6,0.6,iso,1000,0,-0.08639524425647137,-0.08601929675252314,-0.00037594750394823184,-0.014233989861672323,37.79719018936157
star,6,0.6,iso,1000,1,-0.09855316840037587,-0.08810214272725893,-0.01045102567311694,-0.36782033370454376,37.200241804122925
star,6,0.6,iso,1000,2,-0.09970703302860709,-0.08836752737746932,-0.011339505651137768,-0.4017493493584323,40.08604383468628
star,6,0.6,iso,1000,3,-0.08796817421498529,-0.08863457431481801,0.000666400099832723,0.0234953047128959,37.7524790763855
star,6,0.6,iso,1000,4,-0.09113286627297881,-0.08631572127120334,-0.0048171450017754774,-0.17721498930258947,39.6372447013855
star,6,0.6,aniso,100,0,-0.02369819396979747,-0.0988943252305861,0.07519613126078863,3.789927896253179,11.507874965667725
star,6,0.6,aniso,100,1,-0.03517842472000782,-0.0975889448853872,0.06241052016537939,2.556543608402082,11.477757453918457
star,6,0.6,aniso,100,2,-0.018466198864514255,-0.0968918684286643,0.07842566956415005,3.058156497921221,11.31341004371643
star,6,0.6,aniso,100,3,-0.037446866226870074,-0.0980787838920436,0.06063191766517352,2.4974282892120248,11.974880695343018
star,6,0.6,aniso,100,4,-0.013692938460649146,-0.09369076649002418,0.07999782802937504,5.014106119195428,11.60924768447876
star,6,0.6,aniso,1000,0,-0.010080655894638524,-0.0866041978852543,0.07652354199061577,4.55434525370516,35.13839077949524
star,6,0.6,aniso,1000,1,-0.011823337878348383,-0.08806127182344918,0.0762379339451008,4.367025896642551,37.28216862678528
star,6,0.6,aniso,1000,2,-0.00782067662827296,-0.08890672184082533,0.08108604521255237,4.949992840065858,36.888569831848145
star,6,0.6,aniso,1000,3,-0.005822304256748373,-0.08796138305592427,0.0821390787991759,6.400734486121655,37.939316749572754
star,6,0.6,aniso,1000,4,-0.008732138466665845,-0.08657481782935861,0.07784267936269276,4.433643498473479,37.862457275390625
hier2,6,0.1,iso,100,0,-0.11010045188135073,-0.11850340662028709,0.00840295473893636,0.24160129263803617,10.487545728683472
hier2,6,0.1,iso,100,1,-0.11919167316405223,-0.11618555867975032,-0.0030061144843019083,-0.07968635360047042,11.10190486907959
hier2,6,0.1,iso,100,2,-0.11598346750503558,-0.11803175383967528,0.0020482863346397012,0.057419157713404875,11.176206588745117
hier2,6,0.1,iso,100,3,-0.10866600027058275,-0.11680888384952338,0.008142883578940635,0.23769583118991036,11.077413558959961
hier2,6,0.1,iso,100,4,-0.10608919887598436,-0.11366738706184448,0.0075781881858601186,0.22582324828259503,11.603485345840454
