model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
i21k_l,1000,random,0,0.07941509650802527,0.003791620055693206,0.11507719897366543,-0.035662102465640166,0.86142,0.86176,0.034000000000000696,50000,10.470716714859009
dinov2_l,10,random,0,0.022621475117981,0.0,0.15302926936750566,-0.13040779424952467,0.926,0.938,1.19999999999999,500,0.0197751522064209
dinov2_l,10,random,1,0.033158464616548096,0.0,0.1512334951461039,-0.11807503052955581,0.968,0.97,0.20000000000000018,500,0.015595197677612305
dinov2_l,10,random,2,0.02049032671845375,0.0,0.15208367697650121,-0.13159335025804747,0.99,0.992,0.20000000000000018,500,0.017620563507080078
dinov2_l,10,random,3,0.04428220230033147,0.0,0.1532874920898047,-0.10900528978947321,0.924,0.938,1.3999999999999901,500,0.013658523559570312
dinov2_l,10,random,4,0.03180721225178279,0.0,0.14990288717766947,-0.11809567492588668,0.926,0.948,2.199999999999991,500,0.012821435928344727
dinov2_l,10,coherent,0,0.030951012528359106,0.0,0.16438605104988713,-0.13343503852152802,0.822,0.822,0.0,500,0.016521453857421875
dinov2_l,10,coherent,1,0.05977492639189478,0.0,0.17863310966361307,-0.11885818327171829,0.844,0.844,0.0,500,0.01354074478149414
dinov2_l,10,coherent,2,0.10052443270095965,0.0,0.1664299062977563,-0.06590547359679666,0.922,0.928,0.6000000000000005,500,0.016709566116333008
dinov2_l,10,coherent,3,0.032720398725511544,0.0,0.15433476133667362,-0.12161436261116207,0.97,0.976,0.6000000000000005,500,0.017770051956176758
dinov2_l,10,coherent,4,0.11709236923001713,0.0,0.1551079606367079,-0.038015591406690766,0.848,0.84,-0.8000000000000007,500,0.015419721603393555
dinov2_l,20,random,0,0.04438200810244715,0.0,0.20170840306697102,-0.15732639496452389,0.934,0.954,1.9999999999999907,1000,0.1434628963470459
dinov2_l,20,random,1,0.03909167390790664,0.0,0.19559544653639638,-0.15650377262848975,0.949,0.959,1.0000000000000009,1000,0.1818103790283203
dinov2_l,20,random,2,0.03373474664342065,0.0,0.19855142027910705,-0.1648166736356864,0.974,0.978,0.40000000000000036,1000,0.21538877487182617
dinov2_l,20,random,3,0.04428220230033147,0.0,0.19753479793676093,-0.15325259563642946,0.925,0.938,1.29999999999999,1000,0.14681148529052734
dinov2_l,20,random,4,0.04052111192098312,0.0,0.19530300981487364,-0.15478189789389052,0.922,0.941,1.8999999999999906,1000,0.14206171035766602
dinov2_l,20,coherent,0,0.06881966992750733,0.0,0.19599855235606978,-0.12717888242856246,0.87,0.872,0.20000000000000018,1000,0.1470499038696289
dinov2_l,20,coherent,1,0.053064251921423375,0.0,0.19575551192695656,-0.14269126000553317,0.91,0.911,0.10000000000000009,1000,0.14726924896240234
dinov2_l,20,coherent,2,0.11159365640517703,0.0,0.19858557053136494,-0.08699191412618791,0.846,0.844,-0.20000000000000018,1000,0.14625096321105957
dinov2_l,20,coherent,3,0.032720398725511544,0.0,0.1991979130073862,-0.16647751428187466,0.952,0.96,0.8000000000000007,1000,0.15924286842346191
dinov2_l,20,coherent,4,0.13347621653064515,0.0,0.19838252144181245,-0.0649063049111673,0.832,0.829,-0.30000000000000027,1000,0.21213340759277344
dinov2_l,50,random,0,0.04530001253852323,0.0005751643908700558,0.17195022197222254,-0.1266502094336993,0.9024,0.928,2.5600000000000067,2500,0.8189992904663086
dinov2_l,50,random,1,0.04328726598891317,0.0003420773742065872,0.1722903946524164,-0.12900312866350325,0.9352,0.948,1.2799999999999923,2500,0.7183225154876709
dinov2_l,50,random,2,0.050519835426920914,0.00110179069452708,0.17156503713203464,-0.12104520170511372,0.96,0.9648,0.48000000000000265,2500,0.707794189453125
dinov2_l,50,random,3,0.053806085157566,0.0035329624482545357,0.17284099194080033,-0.11903490678323433,0.914,0.9272,1.319999999999999,2500,0.8429796695709229
dinov2_l,50,random,4,0.05122852421945194,0.0010093603473932931,0.17573201975816619,-0.12450349553871425,0.9088,0.9316,2.279999999999993,2500,0.6977114677429199
dinov2_l,50,coherent,0,0.06837645470799572,0.0003069847173237439,0.17905699715787826,-0.11068054244988254,0.862,0.8724,1.0399999999999965,2500,0.811316728591919
dinov2_l,50,coherent,1,0.052972203834370436,0.0012596064430275842,0.1730487556530947,-0.12007655181872426,0.9348,0.9352,0.0400000000000067,2500,0.7560076713562012
dinov2_l,50,coherent,2,0.11445959807613489,0.000875576897767416,0.18798833933677211,-0.07352874126063723,0.8276,0.8284,0.08000000000000229,2500,0.7192559242248535
dinov2_l,50,coherent,3,0.08537805134792617,0.002401335914350992,0.1822160011104299,-0.09683794976250373,0.8844,0.8928,0.8400000000000074,2500,0.7620575428009033
dinov2_l,50,coherent,4,0.11190995692622918,2.104372806430166e-05,0.17590318000611915,-0.06399322307988997,0.8512,0.8576,0.6400000000000072,2500,0.708505392074585
dinov2_l,100,random,0,0.07823231439760364,0.006902326364450051,0.14055365287581145,-0.06232133847820781,0.904,0.9208,1.6799999999999926,5000,1.5645666122436523
dinov2_l,100,random,1,0.046130279420410814,0.0021825589843542247,0.1409076878131706,-0.09477740839275978,0.901,0.9138,1.2799999999999923,5000,1.6154789924621582
dinov2_l,100,random,2,0.0719281608667319,0.003384189711476976,0.14155606704207813,-0.06962790617534623,0.9268,0.9348,0.8000000000000007,5000,1.6516225337982178
dinov2_l,100,random,3,0.05245903597454147,0.004660871566961891,0.13994992275089954,-0.08749088677635808,0.919,0.9338,1.4799999999999924,5000,1.6598615646362305
dinov2_l,100,random,4,0.05342354899258284,0.002173758702807105,0.14189349100390214,-0.0884699420113193,0.914,0.9344,2.0399999999999974,5000,1.5946402549743652
dinov2_l,100,coherent,0,0.05923130648840482,0.006123971943908093,0.1424952572047645,-0.08326395071635967,0.8608,0.8748,1.4000000000000012,5000,1.6501450538635254
dinov2_l,100,coherent,1,0.05497998035992323,0.0026310141522775366,0.1396756706711363,-0.08469569031121306,0.9198,0.9232,0.34000000000000696,5000,1.8272161483764648
dinov2_l,100,coherent,2,0.11848456208547158,0.009841289184157059,0.15537576015008378,-0.036891198064612205,0.8136,0.8178,0.41999999999999815,5000,1.711245059967041
dinov2_l,100,coherent,3,0.07952584749523631,0.0033676795239073807,0.14538472811415842,-0.06585888061892212,0.8382,0.8482,1.0000000000000009,5000,2.2260682582855225
