model,C,mode,seed,delta,delta_sd,null_mean,excess,nc_R,nc_H,nc_adv_pp,n_test,time_s
clip_l,20,random,0,0.10169785237545159,0.0,0.1898345061849404,-0.08813665380948882,0.973,0.975,0.20000000000000018,1000,0.11582231521606445
clip_l,20,random,1,0.09259160748188805,0.0,0.18788544524346257,-0.09529383776157452,0.966,0.971,0.5000000000000004,1000,0.19316887855529785
clip_l,20,random,2,0.08215478560255407,0.0,0.19052297670609988,-0.10836819110354581,0.98,0.984,0.40000000000000036,1000,0.20709872245788574
clip_l,20,random,3,0.09494356631190934,0.0,0.1898567296434619,-0.09491316333155256,0.965,0.963,-0.20000000000000018,1000,0.13367819786071777
clip_l,20,random,4,0.08107600004008197,0.0,0.1899563937874229,-0.10888039374734093,0.979,0.98,0.10000000000000009,1000,0.11936235427856445
clip_l,20,coherent,0,0.12061802613436912,0.0,0.19275583566684446,-0.07213780953247534,0.775,0.774,-0.10000000000000009,1000,0.12289929389953613
clip_l,20,coherent,1,0.11773652060544151,0.0,0.20054707940042274,-0.08281055879498123,0.895,0.888,-0.7000000000000006,1000,0.12089419364929199
clip_l,20,coherent,2,0.17248619213676064,0.0,0.19735862241966667,-0.024872430282906033,0.706,0.697,-0.9000000000000008,1000,0.12286067008972168
clip_l,20,coherent,3,0.11891266015875233,0.0,0.19374250664413278,-0.07482984648538045,0.951,0.952,0.10000000000000009,1000,0.12746906280517578
clip_l,20,coherent,4,0.11359874312260726,0.0,0.1955860002258729,-0.08198725710326565,0.814,0.818,0.40000000000000036,1000,0.12521100044250488
clip_l,50,random,0,0.10584775246268933,0.00634090324590225,0.18958598505999513,-0.0837382325973058,0.938,0.9416,0.36000000000000476,2500,1.0955305099487305
clip_l,50,random,1,0.11317766517759871,0.0006752266852742842,0.1791768448574637,-0.065999179679865,0.9432,0.9476,0.43999999999999595,2500,0.7002003192901611
clip_l,50,random,2,0.10667815713706046,0.0021846554054120015,0.18275550098177698,-0.07607734384471652,0.9636,0.9676,0.40000000000000036,2500,0.67433762550354
clip_l,50,random,3,0.10293666239497275,0.004538588984144607,0.18199448196838663,-0.07905781957341389,0.936,0.9376,0.15999999999999348,2500,0.9304423332214355
clip_l,50,random,4,0.11970610406749489,0.007202791400910968,0.19616374321296115,-0.07645763914546626,0.9416,0.9448,0.31999999999999806,2500,0.7062976360321045
clip_l,50,coherent,0,0.13116987830123866,0.003469245397840657,0.18635091708354268,-0.055181038782304015,0.8292,0.83,0.07999999999999119,2500,0.6758413314819336
clip_l,50,coherent,1,0.14315085643840056,0.0005674060990805925,0.20701464852105292,-0.06386379208265236,0.918,0.9108,-0.7199999999999984,2500,0.7507896423339844
clip_l,50,coherent,2,0.18612267445695901,0.006278686143493627,0.2079666373800627,-0.0218439629231037,0.7004,0.6956,-0.48000000000000265,2500,0.7228620052337646
clip_l,50,coherent,3,0.12884562484903225,0.000397001104541048,0.19190483613400225,-0.06305921128497,0.8732,0.8696,-0.35999999999999366,2500,0.709322452545166
clip_l,50,coherent,4,0.14433065931165373,0.0038693852985710766,0.19646215426129604,-0.05213149494964231,0.8296,0.8212,-0.8399999999999963,2500,0.860830545425415
clip_l,100,random,0,0.10889176203391744,0.0034754791310622067,0.17135412784294457,-0.06246236580902713,0.9116,0.9144,0.28000000000000247,5000,1.9281823635101318
clip_l,100,random,1,0.11152117853360552,0.001872574782777213,0.16157282079045582,-0.0500516422568503,0.9014,0.9042,0.28000000000000247,5000,1.893493413925171
clip_l,100,random,2,0.11857931349517763,0.008942357604530538,0.164560222939219,-0.04598090944404136,0.9242,0.9256,0.13999999999999568,5000,2.3169639110565186
clip_l,100,random,3,0.10912544490711507,0.004485724333951322,0.16452584430245606,-0.055400399395341,0.922,0.923,0.10000000000000009,5000,2.0860538482666016
clip_l,100,random,4,0.12654284993048928,0.006785252412263742,0.16608137999172973,-0.039538530061240446,0.918,0.9204,0.23999999999999577,5000,1.5071864128112793
clip_l,100,coherent,0,0.1135522348982642,0.0019968973796833387,0.164693718598171,-0.0511414836999068,0.833,0.8306,-0.23999999999999577,5000,1.6781318187713623
clip_l,100,coherent,1,0.1454389509971505,0.004449554583398998,0.1719357984153203,-0.026496847418169794,0.8988,0.8964,-0.24000000000000687,5000,1.654306411743164
clip_l,100,coherent,2,0.14393641391188913,0.0038898620848271254,0.19310907538006988,-0.04917266146818075,0.6704,0.6676,-0.28000000000000247,5000,1.6087570190429688
clip_l,100,coherent,3,0.11222579314409538,0.00434887165740272,0.15223377884142858,-0.0400079856973332,0.8168,0.8128,-0.40000000000000036,5000,1.8042552471160889
clip_l,100,coherent,4,0.135190069646983,0.006137375344427315,0.16932074085562585,-0.034130671208642854,0.8326,0.8286,-0.40000000000000036,5000,1.9171562194824219
clip_l,200,random,0,0.10705206608912898,0.001902765178600018,0.15020856788071713,-0.04315650179158814,0.8711,0.8712,0.009999999999998899,10000,2.7671127319335938
clip_l,200,random,1,0.1129199310636392,0.007838535715702467,0.1537021371483417,-0.04078220608470248,0.8684,0.8705,0.21000000000001018,10000,3.4503073692321777
clip_l,200,random,2,0.11503808077832663,0.005941583657057728,0.14999914709926307,-0.03496106632093644,0.8891,0.8884,-0.07000000000000339,10000,3.1123077869415283
clip_l,200,random,3,0.11281284902851825,0.004422064679543101,0.15159644808681424,-0.038783599058295995,0.8892,0.8849,-0.42999999999999705,10000,2.953892946243286
clip_l,200,random,4,0.11952622814613205,0.0062770974124112386,0.15416861793512612,-0.034642389788994074,0.8926,0.8955,0.29000000000000137,10000,3.0687310695648193
clip_l,200,coherent,0,0.11284563487799493,0.007019907344741201,0.14731407879078157,-0.03446844391278664,0.7833,0.7796,-0.37000000000000366,10000,3.0769145488739014
clip_l,200,coherent,1,0.13110716982538728,0.007586243212642275,0.1525834652474068,-0.02147629542201951,0.8089,0.8063,-0.25999999999999357,10000,2.9554004669189453
clip_l,200,coherent,2,0.13426902439317537,0.0036375102946668066,0.15388827116601078,-0.019619246772835414,0.7298,0.7269,-0.29000000000000137,10000,3.1908228397369385
clip_l,200,coherent,3,0.10955638685813666,0.005552742327155448,0.1455373061035548,-0.035980919245418144,0.7912,0.7875,-0.37000000000000366,10000,3.447765588760376
clip_l,200,coherent,4,0.13183129869238577,0.007980419452188059,0.14766748133039975,-0.01583618263801398,0.7221,0.7176,-0.44999999999999485,10000,3.186765432357788
clip_l,500,random,0,0.11272057885770956,0.006732506053439135,0.14403761390569111,-0.031317035047981556,0.80496,0.80184,-0.31200000000000117,25000,3.4078638553619385
clip_l,500,random,1,0.11247401720013817,0.003962915282749021,0.1427921330228415,-0.03031811582270333,0.81284,0.81048,-0.23600000000000287,25000,3.2898671627044678
clip_l,500,coherent,0,0.10478837708680615,0.0051194621849661075,0.13137670646080749,-0.026588329374001338,0.748,0.7434,-0.46000000000000485,25000,3.063992738723755
clip_l,500,coherent,1,0.12412931538329644,0.003126637463146145,0.15224017967463596,-0.02811086429133952,0.7804,0.77668,-0.37199999999999456,25000,3.751984119415283
clip_l,1000,random,0,0.11233999629503337,0.0038025812661417312,0.13488563047564284,-0.022545634180609467,0.75052,0.74522,-0.5299999999999971,50000,7.31148362159729
