model,dataset,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,store_centroids,time_s
dinov1_b,fashionmnist,0.13503588484727033,0.0,0.16993331938563694,0.027407432002644744,-0.03489743453836664,-1.2732836310603317,0.9,0,8.049360275268555
dinov2_s,fashionmnist,0.10671717081770522,1.3877787807814454e-17,0.1672860989718905,0.02691567919103452,-0.06056892815418528,-2.2503213730664653,1.0,0,7.09683895111084
dinov2_b,fashionmnist,0.08306454514354546,0.0,0.1719110660724866,0.031355111405720976,-0.08884652092894113,-2.8335578138858226,1.0,0,7.935055255889893
dinov2_l,fashionmnist,0.10601734515806413,0.0,0.17451354563136848,0.02962019595657229,-0.06849620047330435,-2.312483029272669,1.0,0,9.089911460876463
dinov2_g,fashionmnist,0.10173915569675243,1.3877787807814454e-17,0.1771707015345363,0.028685770359809508,-0.07543154583778383,-2.6295806210408763,1.0,0,10.574206590652468
clip_b,fashionmnist,0.13816459551684931,0.0,0.18065380232655912,0.0298533323612556,-0.0424892068097098,-1.4232651248291917,0.95,0,7.7769880294799805
clip_l,fashionmnist,0.11607822501778645,1.3877787807814454e-17,0.17368955940976016,0.030899453000387742,-0.0576113343919737,-1.8644774841564595,1.0,0,7.643001079559326
siglip_b,fashionmnist,0.11203997664263372,0.0,0.17983663787033527,0.027093692109413148,-0.06779666122770155,-2.5023042615940483,1.0,0,7.996989965438843
i21k_t,mnist,0.13427752465995454,0.0,0.1748555157519016,0.031732404409024195,-0.04057799109194701,-1.2787556394688857,0.95,0,6.645490407943728
i21k_s,mnist,0.12767443878048385,0.0,0.17869761057766115,0.032603931416231004,-0.0510231717971773,-1.5649392444672108,1.0,0,7.22407603263855
i21k_b,mnist,0.13347234307490144,0.0,0.1740811539105438,0.030311550038982,-0.04060881083564236,-1.3397140952349065,1.0,0,8.228019714355469
i21k_l,mnist,0.12442113794682512,0.0,0.18426810660819126,0.026055744642989632,-0.05984696866136625,-2.2968819153463818,1.0,0,9.503123044967653
dinov1_b,mnist,0.10843945881596892,0.0,0.16611916665372778,0.029577079419756805,-0.05767970783775887,-1.950148864232692,1.0,0,8.364657402038574
dinov2_s,mnist,0.14935831439413907,0.0,0.1779323897714058,0.028723043420692755,-0.02857407537726672,-0.9948136400017168,0.85,0,7.0811381340026855
dinov2_b,mnist,0.14131261088643954,0.0,0.17711066692963665,0.03412040898622476,-0.03579805604319708,-1.0491684334044655,0.9,0,8.122591972351074
dinov2_l,mnist,0.15036074346998407,0.0,0.18226289931842002,0.030011950663314017,-0.031902155848435865,-1.0629817503809371,0.95,0,9.477049112319945
dinov2_g,mnist,0.1472739529811991,2.7755575615628914e-17,0.1839157819012152,0.029287511848079668,-0.036641828920016016,-1.2511076089387418,0.95,0,10.68224048614502
clip_b,mnist,0.13803716575248368,0.0,0.16585608667045848,0.02780288957425937,-0.027818920917974804,-1.0005766071067044,0.8,0,7.680531978607178
clip_l,mnist,0.16480574915157226,0.0,0.188299919965159,0.026539565853522087,-0.02349417081358673,-0.8852507589331498,0.75,0,7.679568529129027
siglip_b,mnist,0.1132885938861466,0.0,0.1800054360547497,0.02386841400097551,-0.06671684216860309,-2.7951937722328912,1.0,0,8.076081991195679
i21k_t,imagenet,0.12265660377499435,0.003726257716344887,0.14138116527422798,0.007317743350897869,-0.01872456149923364,-2.280189922930406,1.0,0,17.853818655014038
dinov2_s,imagenet,0.118540418659274,0.010082760431329104,0.10672012995854528,0.0027163221808745104,0.011820288700728735,1.131968230672803,0.0,0,26.302894830703732
i21k_s,imagenet,0.09710775274121362,0.00643771707378804,0.11852216594410885,0.005120990277091144,-0.021414413202895208,-2.6032275109496124,1.0,0,44.55380368232727
i21k_b,imagenet,0.08813706792283382,0.006249006262011937,0.11471333960527932,0.004931484557861501,-0.0265762716824455,-3.338516339373284,1.0,0,108.87487149238586
i21k_l,imagenet,0.08417299741796473,0.004392220806412441,0.11506508056957013,0.003783103507230136,-0.030892083151605413,-5.329115031260232,1.0,0,182.69784116744995
dinov1_b,imagenet,0.11314413824770322,0.005554511413452446,0.11776179002317905,0.00379413928123011,-0.004617651775475809,-0.6864691954396843,0.8,0,37.36170125007629
clip_b,imagenet,0.11952016031417192,0.00527248911176936,0.14602972022422311,0.007715245101690782,-0.02650955991005119,-2.8368432432698327,1.0,0,58.258421659469604
siglip_b,imagenet,0.11368781032794305,0.009047941610363621,0.13115284906121333,0.005941020888859905,-0.017465038733270266,-1.613533778657516,1.0,0,72.0493447780609
clip_l,imagenet,0.11773132952248234,0.0051828696143681715,0.13762513045976305,0.007401019833127795,-0.019893800937280687,-2.20177852944486,1.0,0,35.100946187973015
dinov2_b,imagenet,0.09264803677029444,0.010022778245263935,0.08577731302601882,0.001969459481555478,0.0068707237442756225,0.6726478831015416,0.0,0,39.1437177658081
dinov2_l,imagenet,0.07059325784273303,0.007479214010511662,0.07901086560592381,0.0015553584902065947,-0.008417607763190782,-1.101892673369203,1.0,0,45.60841059684754
dinov2_g,imagenet,0.08081277950780391,0.00775670136192715,0.07644199151669648,0.0016691770568685897,0.004370787991107433,0.5508749391365452,0.0,0,60.7936327457428
