model,dataset,paradigm,NC_R,NC_H,NC_RT,NC_COS,NC_COSC,FS_R,FS_H,FS_RT,FS_COS,FS_COSC,FS_HR_diff_mean,FS_HR_diff_ci95,FS_HRT_diff_mean,FS_HRT_diff_ci95,time_s
dinov2_g,mnist,SSL,0.7926,0.7861,0.7947,0.7958,0.786,0.7292266666666667,0.7375866666666667,0.7348399999999999,0.7322,0.7300266666666666,0.008359999999999998,0.0016976352930460521,0.0027466666666666677,0.0015259638010793194,4.042783737182617
clip_b,imagenet,Contrastive,0.6142,0.59938,0.61476,0.61582,0.61614,0.9677733333333333,0.9681066666666666,0.9677466666666666,0.9673999999999999,0.9676266666666665,0.00033333333333333517,0.0006866530225181663,0.000360000000000002,0.000681609738271591,3.3894495964050293
clip_b,cifar100,Contrastive,0.6561,0.6513,0.6592,0.6548,0.665,0.8772533333333333,0.8890399999999999,0.8816666666666666,0.8769866666666667,0.8910533333333334,0.011786666666666666,0.0014021072794840707,0.007373333333333335,0.0011795345933865423,1.4492228031158447
clip_b,cifar10,Contrastive,0.8795,0.8834,0.8813,0.8795,0.8825,0.8950666666666666,0.9010133333333333,0.8970933333333333,0.8932,0.9039733333333334,0.005946666666666667,0.0010606025871613427,0.003920000000000002,0.0009564814280499358,1.9443109035491943
clip_b,dtd,Contrastive,0.6367021276595745,0.6324468085106383,0.6404255319148936,0.6388297872340426,0.6425531914893617,0.8220133333333334,0.8305866666666667,0.8255866666666666,0.81976,0.8290799999999999,0.008573333333333334,0.0014407861509359706,0.005,0.0013208002288175316,0.9352881908416748
clip_b,fashionmnist,Contrastive,0.7586,0.7514,0.7595,0.7588,0.7676,0.7879466666666667,0.7886133333333335,0.7896133333333333,0.7885066666666667,0.78764,0.0006666666666666671,0.0013964837620888322,-0.0010000000000000002,0.0013169164657554318,2.077422857284546
clip_b,mnist,Contrastive,0.7013,0.6657,0.7029,0.7023,0.7084,0.709,0.69672,0.7112666666666666,0.7094133333333333,0.6986266666666666,-0.012280000000000001,0.002012565141500325,-0.014546666666666666,0.001836546658409624,2.1734275817871094
clip_l,imagenet,Contrastive,0.75052,0.74522,0.7505,0.75504,0.75418,0.9841199999999999,0.98552,0.9841466666666665,0.9841999999999999,0.9861199999999999,0.0013999999999999996,0.0005304326385131291,0.0013733333333333317,0.0004905770326824886,7.408657073974609
clip_l,cifar100,Contrastive,0.746,0.745,0.7472,0.7492,0.7512,0.8997066666666665,0.9082666666666667,0.9036266666666668,0.90088,0.9087866666666666,0.008560000000000002,0.001196962583846667,0.004640000000000002,0.0010218420729121176,2.180987596511841
clip_l,cifar10,Contrastive,0.9593,0.9588,0.9602,0.9606,0.9581,0.924,0.9300933333333333,0.9265333333333333,0.9256399999999999,0.9313066666666666,0.006093333333333333,0.0008908941108397165,0.0035600000000000007,0.0008087458139448596,2.3352606296539307
clip_l,dtd,Contrastive,0.6861702127659575,0.6898936170212766,0.6888297872340425,0.6845744680851064,0.6930851063829787,0.8516666666666667,0.8616133333333335,0.85524,0.8508533333333332,0.8591199999999999,0.009946666666666666,0.001335994686243591,0.006373333333333333,0.0012036991773030337,0.9655945301055908
clip_l,fashionmnist,Contrastive,0.762,0.7594,0.7621,0.7639,0.7614,0.7677200000000001,0.7732933333333333,0.7710533333333333,0.7689333333333334,0.7727733333333333,0.005573333333333331,0.0015101530566491153,0.0022399999999999976,0.0013350465980448442,2.519120693206787
clip_l,mnist,Contrastive,0.8522,0.861,0.8602,0.8519,0.8632,0.8371733333333333,0.8466266666666666,0.8429333333333334,0.8379466666666667,0.8483999999999999,0.009453333333333333,0.0015434867466097657,0.0036933333333333323,0.0013600061355155716,2.5157361030578613
