model_a,model_b,knn_R,knn_H,knn_null,knn_cal_R,knn_cal_H,cka_R,cka_H,cka_null,cka_null_H,cka_cal_R,cka_cal_H,time_s
dinov1_b,dinov2_g,0.2011,0.1748,0.011666666666666667,0.18943333333333334,0.16313333333333335,0.5578195452690125,0.5674278296040297,0.20240833858648935,0.20228888166349404,0.35541120668252313,0.3651389479405357,0.17578506469726562
dinov1_b,clip_b,0.5836,0.4867,0.009899999999999999,0.5737,0.4768,0.7354559302330017,0.7391559363929928,0.04396966348091761,0.043346743999313396,0.6914862667520841,0.6958091923936794,0.060836076736450195
dinov1_b,clip_l,0.5769,0.4929,0.010066666666666666,0.5668333333333333,0.48283333333333334,0.7514128684997559,0.7542062208500038,0.054618630558252335,0.05417577592916817,0.6967942379415035,0.7000304449208357,0.06604361534118652
dinov1_b,siglip_b,0.5964,0.5009,0.0095,0.5869000000000001,0.4914,0.7531701922416687,0.7584022411372102,0.05307534461220106,0.052682784315077814,0.7000948476294676,0.7057194568221324,0.0658731460571289
dinov2_s,dinov2_b,0.4689,0.5077,0.011166666666666667,0.4577333333333333,0.4965333333333334,0.6636310815811157,0.6703453439963815,0.22321013609568277,0.22446187996241831,0.440420945485433,0.4458834640339632,0.06380629539489746
dinov2_s,dinov2_l,0.3409,0.4181,0.010366666666666666,0.3305333333333333,0.40773333333333334,0.582144558429718,0.5914641027429386,0.2513545552889506,0.25342767832333074,0.3307900031407674,0.33803642441960785,0.10184311866760254
dinov2_s,dinov2_g,0.3423,0.41929999999999995,0.010366666666666666,0.3319333333333333,0.40893333333333326,0.6211551427841187,0.6289786227811217,0.26218748092651367,0.2649816830207698,0.358967661857605,0.3639969397603519,0.18351531028747559
dinov2_s,clip_b,0.47919999999999996,0.3624,0.009766666666666667,0.4694333333333333,0.35263333333333335,0.40833988785743713,0.4150134847281983,0.05711995313564936,0.056957133706412554,0.35121993472178775,0.3580563510217858,0.056227684020996094
dinov2_s,clip_l,0.49029999999999996,0.3895,0.010166666666666666,0.4801333333333333,0.37933333333333336,0.4500740170478821,0.45565485299486225,0.07089169571797053,0.07111301594532926,0.37918232132991153,0.384541837049533,0.0669260025024414
dinov2_s,siglip_b,0.5093,0.395,0.009,0.5003,0.386,0.4540005028247833,0.46000589120730695,0.06860724588235219,0.06888839950435008,0.38539325694243115,0.39111749170295684,0.06348347663879395
dinov2_b,dinov2_l,0.7191,0.8089000000000001,0.0044,0.7147,0.8045000000000001,0.6900845766067505,0.6935695484795034,0.34907376766204834,0.3512331333034762,0.34101080894470215,0.34233641517602714,0.10448336601257324
dinov2_b,dinov2_g,0.6845,0.7423,0.003966666666666667,0.6805333333333333,0.7383333333333333,0.7303069233894348,0.7341216903968238,0.3644056518872579,0.36760047479311614,0.36590127150217694,0.3665212156037077,0.1767134666442871
