model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
i21k_t,dtd,2,47,80,0.10948173523534946,0.0003349489735427536,0.12348552919155553,0.006799795346628024,-0.014003793956206073,197,200,227.39126896858215
i21k_t,dtd,3,47,80,0.11026090903816435,0.00047924690913213135,0.12412937091738695,0.006851777803681676,-0.013868461879222596,197,200,226.0542585849762
i21k_t,dtd,4,47,80,0.11116254753614734,0.00033621991156173973,0.1239771060953072,0.0068763057168541,-0.012814558559159861,191,200,227.40172219276428
i21k_t,dtd,5,47,80,0.10934207528320694,0.0003339884543520118,0.12376842799365807,0.0068160028742619205,-0.014426352710451132,198,200,224.78873348236084
i21k_t,dtd,6,47,80,0.10800127314135648,0.00014454878188820304,0.12377409944469264,0.0068130280598240845,-0.015772826303336165,199,200,220.1870219707489
i21k_t,dtd,7,47,80,0.11132050023228306,0.0002866580079298531,0.12473238738860415,0.006835453164968564,-0.013411887156321092,193,200,227.17674016952515
i21k_t,dtd,8,47,80,0.1076006931693874,0.0004258882256349081,0.12388925565469151,0.006912515136975489,-0.01628856248530411,199,200,224.55108857154846
i21k_t,dtd,9,47,80,0.1116442039854382,0.0006171442855327255,0.12413856878220454,0.006912179057117473,-0.012494364796766341,191,200,218.59536695480347
i21k_t,dtd,10,47,80,0.10999568299324118,0.00019189372942507606,0.12500032397668284,0.006910458444691389,-0.015004640983441661,199,200,224.41928005218506
i21k_t,dtd,11,47,80,0.10889797135912486,0.0003523439087357502,0.12374353284511966,0.0068781339886618,-0.014845561485994793,198,200,223.0477328300476
i21k_t,dtd,12,47,80,0.11169481726481001,0.00035903204392902596,0.1251595444338756,0.006944822123624703,-0.013464727169065605,194,200,222.10193061828613
i21k_t,dtd,13,47,80,0.10989517317045636,0.0004197912072494189,0.12498420463342345,0.0068927445100556,-0.015089031462967098,199,200,225.2292938232422
i21k_t,dtd,14,47,80,0.11031172687250246,0.00041902114274952195,0.1235458105812018,0.006880101354164702,-0.013234083708699343,193,200,222.16445469856262
i21k_t,dtd,15,47,80,0.11184062873865741,0.0005184228536142428,0.12425398850343355,0.006865844575295437,-0.012413359764776144,191,200,222.26077604293823
i21k_t,dtd,16,47,80,0.11099745041670597,0.00041027964808338757,0.12427575586990038,0.006866262892292711,-0.013278305453194403,193,200,216.0004096031189
i21k_t,dtd,17,47,80,0.11080103165414487,0.0002518387743262383,0.12322405098109959,0.006825385551690099,-0.01242301932695472,191,200,222.00280117988586
i21k_t,dtd,18,47,80,0.10954719980153367,0.0002751276983400956,0.1247752790314192,0.00682802663881144,-0.015228079229885533,199,200,226.42185187339783
i21k_t,dtd,19,47,80,0.1111427385483132,0.00028099608688842917,0.12262814152679752,0.006832371487097971,-0.011485402978484313,187,200,218.0593078136444
i21k_t,dtd,20,47,80,0.11031217771844351,0.00035346067103610233,0.12498964818080559,0.006896187286560145,-0.014677470462362077,198,200,214.8589518070221
i21k_t,dtd,21,47,80,0.10796780405660863,0.0002807190483949015,0.1247513096981809,0.006830602370848445,-0.01678350564157227,199,200,211.51328706741333
i21k_t,dtd,22,47,80,0.10817028562337003,0.00033216567349977715,0.12394159936456622,0.0067435004069595645,-0.015771313741196197,199,200,214.15526032447815
i21k_t,dtd,23,47,80,0.11136854665513678,0.000329051926031286,0.12452806634671486,0.0068607968456346384,-0.013159519691578081,192,200,225.27415704727173
i21k_t,dtd,24,47,80,0.10800708911629271,0.00034512719475055155,0.12336916288256909,0.006849940053511828,-0.01536207376627638,199,200,227.79052233695984
i21k_t,dtd,25,47,80,0.10944828569338834,0.00036382269354627946,0.12419271831764864,0.006865078851509006,-0.014744432624260298,199,200,223.90445041656494
i21k_t,dtd,26,47,80,0.11082901854253135,0.0003649589920872091,0.12454370640478739,0.006894914020688629,-0.013714687862256034,197,200,216.3033151626587
i21k_t,dtd,27,47,80,0.1123115750005457,0.0001970159363513295,0.12429091015894159,0.00680298773499625,-0.011979335158395887,190,200,219.386070728302
i21k_t,dtd,28,47,80,0.11037154426314792,0.0003889936902392228,0.12313152375431918,0.006859496132741398,-0.012759979491171261,191,200,221.38776326179504
i21k_t,dtd,29,47,80,0.11245736404806997,0.0005609383733547965,0.12425452440947496,0.006853093756747105,-0.01179716036140499,190,200,207.30207800865173
