model,dataset,b,n_classes,n_per_class,delta,delta_sd,null_mean,null_sd,excess,r_above,n_rep,time_s
clip_b,dtd,15,47,80,0.09538704889071292,0.000265130358392948,0.12218537099009515,0.006307542141819677,-0.026798322099382224,200,200,215.34486365318298
clip_b,dtd,16,47,80,0.09651682387000465,0.00022205851713003556,0.12103502072952628,0.006326472108194142,-0.024518196859521627,200,200,215.42006754875183
clip_b,dtd,17,47,80,0.10060747180285272,0.00023456758777990413,0.12172206424906407,0.0063314562154557245,-0.021114592446211347,200,200,214.71941328048706
clip_b,dtd,18,47,80,0.09619785163132884,0.0001787747402373444,0.12340806439519966,0.006430210348552006,-0.027210212763870825,200,200,215.61737942695618
clip_b,dtd,19,47,80,0.09994626388532621,0.00035916901929186444,0.1223483649779537,0.006417714674823637,-0.022402101092627497,200,200,217.5249228477478
clip_b,dtd,20,47,80,0.09569351987930859,0.00014840144646347157,0.12299798050620345,0.0064023954305757825,-0.027304460626894858,200,200,214.1657998561859
clip_b,dtd,21,47,80,0.09696133075254706,0.0004324875369461028,0.1231272895409103,0.006390244430716531,-0.02616595878836324,200,200,215.48091077804565
clip_b,dtd,22,47,80,0.09406529183079934,0.00027829535339130154,0.12244540395705313,0.0063672031813017905,-0.028380112126253784,200,200,218.90767741203308
clip_b,dtd,23,47,80,0.09545893454228,0.00024534574316516396,0.12274033413510727,0.006424951360996094,-0.02728139959282727,200,200,206.21022367477417
clip_b,dtd,24,47,80,0.09788531567097206,0.0002700860190666742,0.12117268292201358,0.0063691835213861205,-0.023287367251041524,200,200,216.53648591041565
clip_b,dtd,25,47,80,0.09711768818682462,0.00016814181039222461,0.12219949444506863,0.0063675166129535995,-0.025081806258244008,200,200,216.15809035301208
clip_b,dtd,26,47,80,0.0996866272964137,0.0003555643619991316,0.12303325458831595,0.006480030145485394,-0.023346627291902247,200,200,218.26059675216675
clip_b,dtd,27,47,80,0.09724155675624165,0.0003435041329264345,0.12173862151608247,0.006342203362145885,-0.024497064759840828,200,200,217.4576964378357
clip_b,dtd,28,47,80,0.0990454923147032,0.0003797187284465968,0.12113839886684605,0.006328592539555613,-0.02209290655214284,200,200,216.89063715934753
clip_b,dtd,29,47,80,0.09979139886390885,0.0004096297229750136,0.12198551425603349,0.006377519547184269,-0.02219411539212464,200,200,212.19061970710754
