model,dataset,b,n,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,n_rep,time_s
i21k_s,imagenet,-1,1000,0.06289278478250815,0.00026560569479597545,0.07534224109031132,0.0030346473083308965,-0.01244945630780317,50,0.0196078431372549,50,513.2588970661163
i21k_s,imagenet,0,1000,0.06457836210081813,0.0002543415249366631,0.07495820229056509,0.0029965516736443426,-0.010379840189746956,50,0.0196078431372549,50,536.2484121322632
i21k_s,imagenet,1,1000,0.06299009295955793,0.0002500471918371427,0.07497632503614968,0.002995078832919002,-0.011986232076591746,50,0.0196078431372549,50,529.3643050193787
i21k_s,imagenet,2,1000,0.06395472993476038,0.0002048664085639552,0.07498951402143098,0.0030043065355692053,-0.011034784086670593,50,0.0196078431372549,50,520.3409531116486
i21k_s,imagenet,3,1000,0.06293568758932819,0.00021948925584358095,0.0751385832208397,0.003001832685540469,-0.012202895631511515,50,0.0196078431372549,50,470.4437429904938
i21k_s,imagenet,4,1000,0.06351555489680641,0.0001693659246777704,0.0751423176120019,0.003004073332879742,-0.011626762715195485,50,0.0196078431372549,50,453.3765697479248
i21k_s,imagenet,5,1000,0.061944394502464084,0.000387374139070159,0.0749932502747841,0.0029889331371214566,-0.013048855772320012,50,0.0196078431372549,50,504.5979754924774
i21k_s,imagenet,6,1000,0.06318545709719843,0.0002956410660599919,0.074998258860921,0.0029956055772978113,-0.011812801763722569,50,0.0196078431372549,50,479.9419779777527
i21k_s,imagenet,7,1000,0.06341493991565597,0.0002397406325978753,0.07497989567349554,0.00299505220838146,-0.01156495575783957,50,0.0196078431372549,50,459.10244369506836
i21k_s,imagenet,8,1000,0.0633922163124268,0.00023668076817884184,0.07505857442431704,0.003003846986059055,-0.011666358111890249,50,0.0196078431372549,50,481.0583894252777
i21k_s,imagenet,9,1000,0.06240766902682963,0.0002129358790739188,0.0750363376200029,0.0030125095325998523,-0.012628668593173277,50,0.0196078431372549,50,473.41217708587646
i21k_s,imagenet,10,1000,0.06298819677463419,0.00024174952185404214,0.07510796326484409,0.002994247230172343,-0.012119766490209904,50,0.0196078431372549,50,456.5225691795349
i21k_s,imagenet,11,1000,0.06340396181191102,0.00027550145794004314,0.07511458589038691,0.0029862835627457477,-0.011710624078475895,50,0.0196078431372549,50,487.5037684440613
i21k_s,imagenet,12,1000,0.06290437864882213,0.0001745515581886486,0.07507263092686406,0.002995698351924264,-0.012168252278041927,50,0.0196078431372549,50,466.50402998924255
i21k_s,imagenet,13,1000,0.06312113236245534,0.00025383219273479086,0.07506142237700184,0.0030103456125191,-0.011940290014546495,50,0.0196078431372549,50,440.0312306880951
i21k_s,imagenet,14,1000,0.06316519137098817,0.00026554032211368217,0.07496522863660211,0.003004047713139546,-0.011800037265613947,50,0.0196078431372549,50,491.08846139907837
i21k_s,imagenet,15,1000,0.06159898359906033,0.00011005866408820619,0.07508155956052644,0.003004615004607541,-0.013482575961466105,50,0.0196078431372549,50,456.8922290802002
i21k_s,imagenet,16,1000,0.06165966001286487,0.0002720506327801201,0.07508804254249313,0.0030001160358473053,-0.01342838252962826,50,0.0196078431372549,50,499.39014625549316
i21k_s,imagenet,17,1000,0.0627252707178906,0.00025879221781034006,0.07501701337336243,0.0029957054703080377,-0.012291742655471838,50,0.0196078431372549,50,471.85453152656555
i21k_s,imagenet,18,1000,0.0621614579809016,0.0002784900141987674,0.07500778148106274,0.0029968662588528423,-0.012846323500161141,50,0.0196078431372549,50,404.98527574539185
i21k_s,imagenet,19,1000,0.06352353821955939,0.0003392905163243821,0.07508422718880989,0.0029992677996325268,-0.011560688969250499,50,0.0196078431372549,50,413.1244783401489
i21k_s,imagenet,20,1000,0.06357914591281912,0.0002725078530904321,0.07498942729688497,0.0029967537394587833,-0.011410281384065857,50,0.0196078431372549,50,434.342764377594
i21k_s,imagenet,21,1000,0.06251867561110466,0.00027513926377103337,0.0750921108334464,0.002992596313891241,-0.012573435222341736,50,0.0196078431372549,50,380.8062219619751
i21k_s,imagenet,22,1000,0.062098640865356505,0.0002847165830666955,0.07499229047052319,0.002992489348301591,-0.012893649605166688,50,0.0196078431372549,50,352.09590339660645
i21k_s,imagenet,23,1000,0.06298818992027584,0.00030504436654443015,0.07511139815981094,0.0030019323098210383,-0.012123208239535097,50,0.0196078431372549,50,325.0425863265991
i21k_s,imagenet,24,1000,0.06334662424477833,0.00019355245724691052,0.07497962210242125,0.0029994817209320792,-0.011632997857642921,50,0.0196078431372549,50,340.4651834964752
i21k_s,imagenet,25,1000,0.06322292185858647,0.00024615608210240564,0.07498071023336485,0.0030029629438458865,-0.01175778837477838,50,0.0196078431372549,50,325.62050342559814
i21k_s,imagenet,26,1000,0.06318725407613004,0.00033092502352193167,0.07497343759752223,0.0030109153523354302,-0.011786183521392185,50,0.0196078431372549,50,312.8996706008911
i21k_s,imagenet,27,1000,0.06331491480230719,0.0003748646794358851,0.07501607380307398,0.0030073284524279385,-0.011701159000766792,50,0.0196078431372549,50,342.1890823841095
